framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,204,868,2,"254,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\AuthenticationHelper.java,276,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\AuthenticationHelper.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,140,670,2,"263,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\CognitoHelper.java,181,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\CognitoHelper.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,92,484,2,"26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\AuthHttpClient.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\AuthHttpClient.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,65,403,2,"109,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\AuthenticationHelper.java,125,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\AuthenticationHelper.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,99,397,2,"25,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\CognitoJWTParser.java,20,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\CognitoJWTParser.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,39,382,2,"214,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\AuthenticationHelper.java,233,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\AuthenticationHelper.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,68,321,2,"38,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\AuthenticationHelper.java,33,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\AuthenticationHelper.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,31,169,2,"78,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\CognitoHelper.java,92,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\CognitoHelper.java"
aws-samples,aws-samples/aws-cognito-java-desktop-app,Blanxs,Blanxs/LBRY-Mass-Uploader,26,149,2,"144,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Blanxs\LBRY-Mass-Uploader\src\massuploader\CognitoHelper.java,135,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\aws-samples\aws-cognito-java-desktop-app\src\main\java\com\amazonaws\sample\cognitoui\CognitoHelper.java"
