framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror,211,507,6,"26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Seo-GwangHyeon\InvisibleMirror\app\src\main\java\com\example\invisiblemirror\logger\Log.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicHistoryApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\Log.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicHistorySessions\app\src\main\java\com\google\android\gms\fit\samples\common\logger\Log.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicRecordingApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\Log.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicSensorsApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\Log.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\StepCounter\app\src\main\java\com\google\android\gms\fit\samples\common\logger\Log.java"
googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror,121,385,4,"24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Seo-GwangHyeon\InvisibleMirror\app\src\main\java\com\example\invisiblemirror\logger\LogView.java,25,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicRecordingApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java,25,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicSensorsApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java,25,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\StepCounter\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java"
googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror,76,233,6,"69,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Seo-GwangHyeon\InvisibleMirror\app\src\main\java\com\example\invisiblemirror\logger\LogView.java,70,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicHistoryApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java,70,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicHistorySessions\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java,70,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicRecordingApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java,70,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicSensorsApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java,70,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\StepCounter\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogView.java"
googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror,36,159,2,"86,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Seo-GwangHyeon\InvisibleMirror\app\src\main\java\com\example\invisiblemirror\mover\MoveActivity.java,64,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\StepCounter\app\src\main\java\com\google\android\gms\fit\samples\stepcounter\MainActivity.java"
googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror,27,145,2,"127,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Seo-GwangHyeon\InvisibleMirror\app\src\main\java\com\example\invisiblemirror\mover\MoveActivity.java,107,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\StepCounter\app\src\main\java\com\google\android\gms\fit\samples\stepcounter\MainActivity.java"
googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror,52,114,6,"25,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\Seo-GwangHyeon\InvisibleMirror\app\src\main\java\com\example\invisiblemirror\logger\LogWrapper.java,24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicHistoryApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogWrapper.java,24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicHistorySessions\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogWrapper.java,24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicRecordingApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogWrapper.java,24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\BasicSensorsApi\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogWrapper.java,24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-fit\StepCounter\app\src\main\java\com\google\android\gms\fit\samples\common\logger\LogWrapper.java"
