framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,216,772,2,"333,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,329,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,115,706,2,"68,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AttestationApplicationId.java,71,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AttestationApplicationId.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,74,432,2,"41,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\Asn1Utils.java,40,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\Asn1Utils.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,79,415,2,"614,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,610,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,63,334,2,"45,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,44,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,60,275,2,"24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AttestationPackageInfo.java,24,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AttestationPackageInfo.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,50,256,2,"138,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,137,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,59,235,2,"26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\RootOfTrust.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\RootOfTrust.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,54,213,2,"281,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,274,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,28,181,2,"39,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AttestationApplicationId.java,41,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AttestationApplicationId.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,41,179,2,"237,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,230,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,20,156,2,"119,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,117,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,26,149,2,"145,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\Attestation.java,133,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\Attestation.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,65,145,2,"550,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,542,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
googlesamples,googlesamples/android-testdpc,jalong4,jalong4/UniqueID,37,143,2,"693,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\jalong4\UniqueID\app\src\main\java\com\google\jimlongja\uniqueid\AuthorizationList.java,685,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlesamples\android-testdpc\app\src\main\java\com\afwsamples\testdpc\policy\utils\AuthorizationList.java"
