framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-FingerprintDialog,kylecheng3146,kylecheng3146/Whot,68,345,2,"73,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\kylecheng3146\Whot\app\src\main\java\whot\what\hot\util\FingerprintUiHelper.java,68,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-FingerprintDialog\Application\src\main\java\com\example\android\fingerprintdialog\FingerprintUiHelper.java"
googlearchive,googlearchive/android-FingerprintDialog,kylecheng3146,kylecheng3146/Whot,37,154,2,"94,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\kylecheng3146\Whot\app\src\main\java\whot\what\hot\util\FingerprintAuthenticationDialogFragment.java,103,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-FingerprintDialog\Application\src\main\java\com\example\android\fingerprintdialog\FingerprintAuthenticationDialogFragment.java"
googlearchive,googlearchive/android-FingerprintDialog,kylecheng3146,kylecheng3146/Whot,46,151,2,"130,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\kylecheng3146\Whot\app\src\main\java\whot\what\hot\util\FingerprintAuthenticationDialogFragment.java,139,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-FingerprintDialog\Application\src\main\java\com\example\android\fingerprintdialog\FingerprintAuthenticationDialogFragment.java"
googlearchive,googlearchive/android-FingerprintDialog,kylecheng3146,kylecheng3146/Whot,42,140,2,"32,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\kylecheng3146\Whot\app\src\main\java\whot\what\hot\util\FingerprintUiHelper.java,27,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-FingerprintDialog\Application\src\main\java\com\example\android\fingerprintdialog\FingerprintUiHelper.java"
googlearchive,googlearchive/android-FingerprintDialog,kylecheng3146,kylecheng3146/Whot,48,117,2,"218,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\kylecheng3146\Whot\app\src\main\java\whot\what\hot\ui\login\LoginActivity.java,219,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-FingerprintDialog\Application\src\main\java\com\example\android\fingerprintdialog\MainActivity.java"
