framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,60,414,2,"226,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\DeviceControlActivity.java,242,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceControlActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,40,165,2,"187,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\DeviceControlActivity.java,114,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceControlActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,36,161,2,"65,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\DeviceControlActivity.java,79,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceControlActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,40,147,2,"70,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\BluetoothLeService.java,87,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\BluetoothLeService.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,31,145,2,"32,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\DeviceControlActivity.java,48,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceControlActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,61,143,2,"222,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\BluetoothLeService.java,238,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\BluetoothLeService.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,20,132,2,"62,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\LeDeviceListAdapter.java,227,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceScanActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,33,131,2,"121,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\DeviceControlActivity.java,172,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceControlActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,38,130,2,"25,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\LeDeviceListAdapter.java,190,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\DeviceScanActivity.java"
googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0,39,126,2,"167,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\wekingtan1991\BleDemo_6.0\app\src\main\java\com\example\a123\bledemo\BluetoothLeService.java,182,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothLeGatt\Application\src\main\java\com\example\android\bluetoothlegatt\BluetoothLeService.java"
