framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,226,830,2,"262,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\main\java\com\example\android\pictureinpicture\widget\MovieView.java,284,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\main\java\com\example\android\pictureinpicture\widget\MovieView.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,150,779,2,"53,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\androidTest\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivityTest.java,53,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\androidTest\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivityTest.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,203,754,2,"138,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\main\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivity.java,144,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\main\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivity.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,133,710,2,"50,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\androidTest\java\com\example\android\pictureinpicture\MainActivityTest.java,50,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\androidTest\java\com\example\android\pictureinpicture\MainActivityTest.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,141,628,2,"129,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\main\java\com\example\android\pictureinpicture\widget\MovieView.java,133,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\main\java\com\example\android\pictureinpicture\widget\MovieView.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,136,537,2,"171,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\main\java\com\example\android\pictureinpicture\MainActivity.java,171,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\main\java\com\example\android\pictureinpicture\MainActivity.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,130,405,2,"42,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\main\java\com\example\android\pictureinpicture\MainActivity.java,42,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\main\java\com\example\android\pictureinpicture\MainActivity.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,101,353,2,"38,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\main\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivity.java,39,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\main\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivity.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,44,214,4,"90,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\androidTest\java\com\example\android\pictureinpicture\MainActivityTest.java,101,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\androidTest\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivityTest.java,90,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\androidTest\java\com\example\android\pictureinpicture\MainActivityTest.java,101,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\androidTest\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivityTest.java"
googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017,53,208,4,"130,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\androidTest\java\com\example\android\pictureinpicture\MainActivityTest.java,150,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\prashant31191\NewSample-2017\Google\arch-comp\Android-PIP\app\src\androidTest\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivityTest.java,130,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\androidTest\java\com\example\android\pictureinpicture\MainActivityTest.java,150,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-PictureInPicture\app\src\androidTest\java\com\example\android\pictureinpicture\MediaSessionPlaybackActivityTest.java"
