framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-Camera2Video,IvonLiu,IvonLiu/focal-distance,57,233,2,"957,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\IvonLiu\focal-distance\app\src\main\java\com\ivon\focaldistance\MainActivityFragment.java,693,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Video\Application\src\main\java\com\example\android\camera2video\Camera2VideoFragment.java"
googlearchive,googlearchive/android-Camera2Video,IvonLiu,IvonLiu/focal-distance,30,217,2,"760,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\IvonLiu\focal-distance\app\src\main\java\com\ivon\focaldistance\MainActivityFragment.java,544,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Video\Application\src\main\java\com\example\android\camera2video\Camera2VideoFragment.java"
googlearchive,googlearchive/android-Camera2Video,IvonLiu,IvonLiu/focal-distance,51,207,2,"10,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\IvonLiu\focal-distance\app\src\main\java\com\ivon\focaldistance\AutoFitTextureView.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Video\Application\src\main\java\com\example\android\camera2video\AutoFitTextureView.java"
