framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,423,1700,2,"479,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,476,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,403,1272,2,"77,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,74,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,117,436,2,"900,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,898,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,71,249,3,"289,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,193,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\NewCameraActivity.java,286,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,52,217,3,"547,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,460,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\NewCameraActivity.java,544,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,50,213,3,"369,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,701,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\NewCameraActivity.java,366,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,24,208,3,"748,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,382,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\NewCameraActivity.java,745,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,51,207,2,"26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\AutoFitTextureView.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\AutoFitTextureView.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,73,197,3,"671,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,626,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\NewCameraActivity.java,668,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture,30,137,3,"496,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\Camera2BasicFragment.java,409,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\ckwcc\App-Architecture\app\src\main\java\com\ckw\zfsoft\ckwapparchitecture\modules\firstmodule\camera2\NewCameraActivity.java,493,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-Camera2Basic\Application\src\main\java\com\example\android\camera2basic\Camera2BasicFragment.java"
