framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-BluetoothAdvertisements,rogerlsmith,rogerlsmith/BluetoothAdvertisements,223,664,2,"26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\rogerlsmith\BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\AdvertiserService.java,26,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\AdvertiserService.java"
googlearchive,googlearchive/android-BluetoothAdvertisements,rogerlsmith,rogerlsmith/BluetoothAdvertisements,134,659,2,"34,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\rogerlsmith\BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\ScanResultAdapter.java,34,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\ScanResultAdapter.java"
googlearchive,googlearchive/android-BluetoothAdvertisements,rogerlsmith,rogerlsmith/BluetoothAdvertisements,185,656,2,"45,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\rogerlsmith\BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\ScannerFragment.java,45,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\ScannerFragment.java"
googlearchive,googlearchive/android-BluetoothAdvertisements,rogerlsmith,rogerlsmith/BluetoothAdvertisements,141,478,2,"35,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\rogerlsmith\BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\AdvertiserFragment.java,35,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\AdvertiserFragment.java"
googlearchive,googlearchive/android-BluetoothAdvertisements,rogerlsmith,rogerlsmith/BluetoothAdvertisements,99,348,2,"32,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\rogerlsmith\BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\MainActivity.java,32,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothAdvertisements\Application\src\main\java\com\example\android\bluetoothadvertisements\MainActivity.java"
