framework,sample,watcher,watcher_repo,lines,tokens,occurrences,paths
googlearchive,googlearchive/android-BluetoothChat,noirmist,noirmist/Bluetooth-Sensor-Transmitter,172,681,2,"44,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\noirmist\Bluetooth-Sensor-Transmitter\Receiver\app\src\main\java\me\jungwoo\noirmist\receiver\DeviceListActivity.java,45,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothChat\Application\src\main\java\com\example\android\bluetoothchat\DeviceListActivity.java"
googlearchive,googlearchive/android-BluetoothChat,noirmist,noirmist/Bluetooth-Sensor-Transmitter,31,131,3,"166,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\noirmist\Bluetooth-Sensor-Transmitter\Publisher\app\src\main\java\me\jungwoo\noirmist\publisher\DeviceListActivity.java,170,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\noirmist\Bluetooth-Sensor-Transmitter\Receiver\app\src\main\java\me\jungwoo\noirmist\receiver\DeviceListActivity.java,171,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothChat\Application\src\main\java\com\example\android\bluetoothchat\DeviceListActivity.java"
googlearchive,googlearchive/android-BluetoothChat,noirmist,noirmist/Bluetooth-Sensor-Transmitter,20,102,3,"111,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\noirmist\Bluetooth-Sensor-Transmitter\Publisher\app\src\main\java\me\jungwoo\noirmist\publisher\DeviceListActivity.java,114,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\.\watchers\noirmist\Bluetooth-Sensor-Transmitter\Receiver\app\src\main\java\me\jungwoo\noirmist\receiver\DeviceListActivity.java,115,C:\Users\mrgab\Documents\gabrielsmenezes\SampleUsage\SampleUsage2.5\3-UsingPMD\4-RunPMD\..\3-DownloadSamples\code-samples\googlearchive\android-BluetoothChat\Application\src\main\java\com\example\android\bluetoothchat\DeviceListActivity.java"
