full_name,JAVA correlation,JAVA pvalue,framework,CLASSES correlation,CLASSES pvalue,PKG correlation,PKG pvalue,BWR correlation,BWR pvalue,SAR correlation,SAR pvalue,FANIN correlation,FANIN pvalue,FANOUT correlation,FANOUT pvalue,CC correlation,CC pvalue,CCM correlation,CCM pvalue,CCS correlation,CCS pvalue,EC correlation,EC pvalue,KNTS correlation,KNTS pvalue,NPATH correlation,NPATH pvalue,NPLOG correlation,NPLOG pvalue,PL correlation,PL pvalue,LOC correlation,LOC pvalue,DLOC correlation,DLOC pvalue,ELOC correlation,ELOC pvalue,CLOC correlation,CLOC pvalue,BL correlation,BL pvalue,NV correlation,NV pvalue,AM correlation,AM pvalue,NPRM correlation,NPRM pvalue,NPM correlation,NPM pvalue,PM correlation,PM pvalue,LM correlation,LM pvalue,STMT correlation,STMT pvalue,DSTMT correlation,DSTMT pvalue,ESTMT correlation,ESTMT pvalue,CCR correlation,CCR pvalue,WMC correlation,WMC pvalue,NOC correlation,NOC pvalue,DIT correlation,DIT pvalue,LCOM correlation,LCOM pvalue,CBO correlation,CBO pvalue,RFC correlation,RFC pvalue,NIV correlation,NIV pvalue,questions correlation,questions pvalue
googlesamples/io2014-codelabs,-0.570351825472031,0.429648174527969,googlesamples,-0.5703518254720301,0.4296481745279699,,,0.5703518254720304,0.42964817452796955,-0.5289633313338183,0.47103666866618166,0.5695818308087458,0.4304181691912542,0.5696999475197,0.4303000524803,0.5691315965633675,0.43086840343663246,0.5690534220966255,0.43094657790337454,0.5692078359625268,0.4307921640374732,0.5703518254720303,0.42964817452796966,0.5678951004899404,0.4321048995100596,0.5687894044101163,0.4312105955898837,0.5098641346808931,0.4901358653191069,0.5690584907646832,0.4309415092353168,0.5679859966816826,0.4320140033183174,0.5703518254720301,0.4296481745279699,0.5664704089864134,0.43352959101358657,0.5703518254720319,0.4296481745279681,0.5703518254720307,0.42964817452796933,0.5703518254720303,0.42964817452796966,0.5703518254720317,0.42964817452796833,0.570351825472031,0.429648174527969,0.5703518254720292,0.42964817452797077,-0.5703518254720525,0.42964817452794746,0.5703518254720291,0.4296481745279709,0.568621497997476,0.43137850200252403,0.5703518254720299,0.4296481745279701,0.5672826280591892,0.43271737194081084,0.5703518254720308,0.4296481745279692,0.5679252375394228,0.4320747624605772,0.5703518254720309,0.4296481745279691,-0.5703518254720344,0.42964817452796555,-0.5703518254720301,0.4296481745279699,0.21387595560531408,0.786124044394686,0.5703518254720317,0.42964817452796833,0.5703518254720297,0.42964817452797033,1.0,0.0
googlesamples/android-play-publisher-api,0.7079502600608618,5.138480681211505e-10,googlesamples,0.7079502600608618,5.138480681211505e-10,,,,,0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,,,0.7079502600608618,5.138480681211505e-10,0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,,,,,,,,,,,,,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,-0.7079502600608618,5.138480681211505e-10,,,,,,,,,0.7079502600608618,5.138480681211505e-10,,,,,1.0,0.0
googlesamples/androidtv-sample-inputs,0.894262457599357,1.927970456008398e-19,googlesamples,0.895704328994125,1.3829443744378513e-19,0.8782952028183754,5.705760228292561e-18,-0.3751290047726516,0.005644943220392882,0.2929772391768527,0.03325357633353165,-0.7836355650570387,4.0035670460589715e-12,-0.8768391770225653,7.58780473583452e-18,-0.7933973209518105,1.4013677837153305e-12,-0.7933973209518105,1.4013677837153305e-12,-0.7820651956304883,4.716296955596506e-12,-0.8752909033303677,1.0234318927680802e-17,-0.9013679953721113,3.5718645319785204e-20,0.6653909914794988,5.46435705079037e-08,-0.8803088873733497,3.823533845901419e-18,0.7165148963905852,1.6083348244109354e-09,0.716519349303519,1.6077877739242936e-09,0.5674643651274133,9.382837026803274e-06,0.7148216875844524,1.8295907831554612e-09,0.6904495395169233,1.0617356692911834e-08,0.5857738499711515,4.069025033209997e-06,-0.14565048827469648,0.29804765426178437,0.9026017763771386,2.630920615348497e-20,0.6909072744870876,1.028867853870271e-08,0.1647750297790725,0.23837588774115637,-0.7856135500576051,3.2507417738659085e-12,0.6918168725669951,9.663780632057132e-09,0.6243067318875896,5.873389183597895e-07,0.5714179233947816,7.867264620762734e-06,0.6701445421760831,4.053153009591837e-08,0.6485572485218059,1.5096137364363403e-07,0.7180620308943325,1.428483355197845e-09,0.8196027117017288,6.191149103777628e-14,-0.543790354726662,2.5735588484364368e-05,0.598600009587931,2.1970378867978016e-06,0.6061195250205523,1.5116374233555262e-06,0.9026017763771386,2.630920615348497e-20,0.44175400840770385,0.0009280868486207381,1.0,0.0
googlesamples/android-AppUsageStatistics,,,googlesamples,,,,,,,-0.3545344244386745,0.0018034118374834548,-0.33439509137176143,0.003365493147421602,0.1418745762704651,0.2246766772195545,,,,,,,,,,,,,,,0.5823586101470377,4.235569648167378e-08,0.5838948895342624,3.82659812781655e-08,0.18495890161716083,0.11214450762199336,-0.3341929381494341,0.0033859459268369024,0.10535263654312259,0.3683527751008754,,,,,,,,,,,,,,,-0.334035961085444,0.0034019043803452864,,,-0.334035961085444,0.0034019043803452864,-0.6876928809607922,9.410426077230416e-12,,,,,,,,,0.21511073780565557,0.06382710151988748,,,,,1.0,0.0
googlesamples/android-testing-templates,,,googlesamples,,,,,,,0.2756759285057243,0.12671610734312036,-0.2756759285057243,0.12671610734312036,,,,,,,,,0.2756759285057243,0.12671610734312036,,,,,,,-0.2756759285057243,0.12671610734312036,-0.2756759285057243,0.12671610734312036,-0.2756759285057243,0.12671610734312036,-0.16438136423977912,0.3686407192408352,-0.2756759285057243,0.12671610734312036,0.2756759285057243,0.12671610734312036,0.2756759285057243,0.12671610734312036,,,-0.2756759285057243,0.12671610734312036,0.2756759285057243,0.12671610734312036,0.2756759285057243,0.12671610734312036,,,,,-0.16438136423977912,0.3686407192408352,-0.16438136423977912,0.3686407192408352,,,,,,,,,,,-0.2756759285057243,0.12671610734312036,,,,,0.9999999999999998,7.44413601674818e-232
googlesamples/io2015-codelabs,0.1754116038614059,0.5486267279225092,googlesamples,0.1754116038614059,0.5486267279225092,0.1754116038614059,0.5486267279225092,-0.1754116038614059,0.5486267279225092,0.27467999890128,0.34191253498973995,-0.4577999981688,0.09974937329396961,-0.4577999981688,0.09974937329396961,0.27467999890128,0.34191253498973995,0.27467999890128,0.34191253498973995,0.27467999890128,0.34191253498973995,-0.4577999981688,0.09974937329396961,0.27467999890128,0.34191253498973995,0.27467999890128,0.34191253498973995,0.2742697223483025,0.34266327342164615,-0.4577999981688,0.09974937329396961,-0.10255158176779589,0.7271946798473305,-0.4577999981688,0.09974937329396961,-0.4577999981688,0.09974937329396961,-0.4598699408939057,0.09803094203972564,0.09155999963376,0.755572644569836,-0.27592196453634343,0.33964551901934004,-0.4577999981688,0.09974937329396961,0.1754116038614059,0.5486267279225092,-0.4577999981688,0.09974937329396961,0.1754116038614059,0.5486267279225092,-0.10267506354855008,0.7268776425059653,-0.4577999981688,0.09974937329396961,-0.7187254448398506,0.0037764248361301,-0.4577999981688,0.09974937329396961,0.4577999981688,0.09974937329396961,-0.4577999981688,0.09974937329396961,0.6164863353408979,0.018874903936807387,-0.1754116038614059,0.5486267279225092,-0.4598699408939057,0.09803094203972564,-0.27467999890128,0.34191253498973995,-0.4577999981688,0.09974937329396961,-0.4598699408939057,0.09803094203972564,1.0,0.0
googlesamples/google-services,-0.38263090770367286,0.0016571802014327046,googlesamples,-0.09357096635092793,0.45846039451756526,-0.731828320273842,4.3493886580479115e-12,0.1647082595949951,0.18981396818476431,-0.27564346791151584,0.026253883232082904,0.27338151170841263,0.02756186763587259,0.2977280564342685,0.016010123202465854,0.46970677160296803,7.900410533057017e-05,0.382782593573743,0.0016495402333444827,0.4708056582705202,7.561282921389913e-05,0.46789753207468693,8.489462260067805e-05,0.8498045200805566,3.530593175461423e-19,0.4723399705660409,7.110212311723655e-05,0.6905025407297162,1.961207513540489e-10,0.5008880019980679,2.1424372461207716e-05,0.4589812893883449,0.00012029931458419559,0.5591710569205175,1.2883058371335685e-06,0.4428374503309917,0.00022078925027884207,-0.18640563048168635,0.13707944535654695,0.6915711177116384,1.7915223845380709e-10,0.3615921106555089,0.003081121563450187,0.32177919827083046,0.008952914184239326,-0.7327287244175239,3.972135665296562e-12,0.5431806964368355,2.9372155047377504e-06,0.003375732738666443,0.978708573463213,0.32162647978979986,0.008987323050013717,0.5698016988942032,7.270092964044181e-07,0.6656000415743593,1.4559856655062284e-09,0.447016525168108,0.00018921947166555326,-0.08196978684999083,0.5162527885744763,0.4497628777633017,0.00017078713849896402,,,0.4083756204231372,0.0007326060622145789,0.811761377310795,2.350881578492874e-16,0.8311507801935305,1.0470177003847825e-17,0.32177919827083046,0.008952914184239326,0.5186327242693445,9.61281966568894e-06,0.9999999999999998,0.0
googlesamples/android-testdpc,0.958852997132363,3.297519464775936e-42,googlesamples,0.9552900767934651,6.682446073154118e-41,0.9341244453183659,7.715136623405418e-35,0.5430088124775642,4.0227169238525775e-07,0.8806953660797943,1.0127368182035674e-25,-0.9552857233656504,6.706040443095416e-41,-0.9600537336853265,1.1261900427072336e-42,-0.9579456222976952,7.271815640388188e-42,-0.9577899899133734,8.313638728093534e-42,-0.9580305126891434,6.758229247660506e-42,-0.9462307482778377,5.237722503417027e-38,-0.1155499711596331,0.32023224105025927,0.7707764575528947,3.86149542587268e-16,-0.9466410518365043,3.974274589157568e-38,0.9548188262126849,9.766815772777044e-41,0.9538142899138807,2.1641718144556706e-40,0.9595302429380625,1.806186263969654e-42,0.8918867493523878,3.256342580337338e-27,0.31712437338050947,0.005250606065331838,0.9645104792363594,1.531929472205401e-44,0.910370780797515,4.440738205275829e-30,0.9643048448345678,1.8901001932211027e-44,0.9478719625125037,1.7133250821572485e-38,0.8966537608625501,6.7036433080236995e-28,0.14662575275576603,0.20626139877705835,0.9606904116211884,6.286022295624643e-43,0.9531917603765937,3.5122844164158e-40,0.9584691130449595,4.6177233180060165e-42,0.9265786226575695,3.720325581127636e-33,0.4846675415751672,9.140023998569747e-06,0.9619920642900616,1.850856879468511e-43,0.7852739460937961,4.572638918608014e-17,-0.7766781185903915,1.6516359378094807e-16,0.9565797664074349,2.3154012803036686e-41,0.9413636991681384,1.1843685502529257e-36,0.9643048448345678,1.8901001932211027e-44,0.9569617757802051,1.6811088334826194e-41,1.0,0.0
googlesamples/android-vision,0.72351866537602,9.583218386014772e-11,googlesamples,0.9086928309299811,2.738461183964544e-23,0.72351866537602,9.583218386014772e-11,0.32430928113139473,0.012213998798805492,-0.16053126176308538,0.2245275066081354,-0.7948139229705983,5.6677072933286836e-14,-0.6968435119242149,8.785633068127003e-10,-0.7734156141192965,6.982698450959745e-13,-0.7142835663850218,2.1228915039485982e-10,-0.9807249175395338,4.0939325555947076e-42,-0.7590262579037321,3.2581960709647704e-12,-0.9442851762540609,3.4350303991832195e-29,-0.8858587902331445,1.1530767371334772e-20,-0.9443155914434141,3.3833893534515485e-29,0.9618198200002243,9.15328982523527e-34,0.9830312008423094,1.1174378879547506e-43,0.9599183862469701,3.5641750840179135e-33,0.9615465153438923,1.117524405028283e-33,0.9601923202857836,2.94230003471023e-33,0.9454105382601294,1.9499759364455164e-29,-0.7343148340199898,3.6286529923887414e-11,-0.02654145210820559,0.8418388989923976,0.9592187261913958,5.781480383681686e-33,0.5376847362085101,1.1258061249442441e-05,-0.7351381887914362,3.363141542629853e-11,0.9574239460488353,1.9255755125341248e-32,0.9614554137917817,1.1940179392511033e-33,0.9596446062252237,4.311281787012847e-33,0.9615465153438923,1.117524405028283e-33,-0.46304448526623515,0.00022170460944700608,0.9603139958395007,2.700920044731822e-33,0.44918276808000496,0.0003588709241387506,-0.7347069077206786,3.499823752850017e-11,0.5161913861077994,2.8549746145325617e-05,0.9596750262276401,4.221352820426978e-33,-0.02654145210820559,0.8418388989923976,0.7421865806459355,1.734504837706277e-11,1.0,0.0
googlesamples/easypermissions,0.9774367689047497,2.9479427999802633e-44,googlesamples,0.9381258147601104,1.0291069005432911e-30,0.9110998109484603,6.172824829532627e-26,0.7122765317540776,2.8637038189592908e-11,0.528477675016541,6.041824998745248e-06,-0.9097957777664646,9.570995045225754e-26,-0.540133014380434,3.4204306397612516e-06,-0.9278171871646905,1.1278448560924654e-28,-0.9278171871646905,1.1278448560924654e-28,-0.9277738636416016,1.1486026473990107e-28,-0.9328350118235884,1.2586028028676813e-29,-0.8432208390712842,1.2280023364898176e-18,-0.9167971151291017,8.366080108483931e-27,-0.914104672828138,2.1887936602176978e-26,0.7697984918249471,6.694145566612797e-14,0.7808264620403255,1.7108737488336016e-14,0.7915559772705947,4.198476065094312e-15,0.7519377208491989,5.234423821309316e-13,-0.05309764488355146,0.6744290712367491,0.834553091860076,5.8234190031952265e-18,0.7636420084912809,1.3880145869145115e-13,0.48352801334713036,4.499929748718765e-05,0.7952524853290175,2.5385168655742685e-15,-0.08175605980472594,0.5173509830084464,0.5234183349023454,7.68421725782921e-06,0.7836560426692767,1.1903551692161523e-14,0.7721006983411682,5.066913767140267e-14,0.7806891078570409,1.7410294388332933e-14,0.763536407022158,1.4052147940190359e-13,-0.12718422548011302,0.31268535865441455,0.7639012126468271,1.3466466529967053e-13,0.2758521427429632,0.02613589896248675,-0.8684114218109938,7.352342345484813e-21,0.7873718260694024,7.331369484361128e-15,0.7836309231204925,1.1942231029350171e-14,0.48352801334713036,4.499929748718765e-05,0.8531469222957222,1.8324611466020876e-19,1.0,0.0
