full_name,framework,JAVA trend,JAVA pvalue,CLASSES trend,CLASSES pvalue,PKG trend,PKG pvalue,BWR trend,BWR pvalue,SAR trend,SAR pvalue,FANIN trend,FANIN pvalue,FANOUT trend,FANOUT pvalue,CC trend,CC pvalue,CCM trend,CCM pvalue,CCS trend,CCS pvalue,EC trend,EC pvalue,KNTS trend,KNTS pvalue,NPATH trend,NPATH pvalue,NPLOG trend,NPLOG pvalue,PL trend,PL pvalue,LOC trend,LOC pvalue,DLOC trend,DLOC pvalue,ELOC trend,ELOC pvalue,CLOC trend,CLOC pvalue,BL trend,BL pvalue,NV trend,NV pvalue,AM trend,AM pvalue,NPRM trend,NPRM pvalue,NPM trend,NPM pvalue,PM trend,PM pvalue,LM trend,LM pvalue,STMT trend,STMT pvalue,DSTMT trend,DSTMT pvalue,ESTMT trend,ESTMT pvalue,CCR trend,CCR pvalue,WMC trend,WMC pvalue,NOC trend,NOC pvalue,DIT trend,DIT pvalue,LCOM trend,LCOM pvalue,CBO trend,CBO pvalue,RFC trend,RFC pvalue,NIV trend,NIV pvalue,questions trend,questions pvalue
googlesamples/android-play-safetynet,googlesamples,increasing,2.276024559932921e-07,no trend,0.29861767444881027,no trend,1.0,no trend,0.05601141341025917,decreasing,0.012835138114431599,increasing,1.6332424079834595e-08,increasing,1.6332424079834595e-08,increasing,1.768854252182095e-06,increasing,1.768854252182095e-06,increasing,1.768854252182095e-06,decreasing,1.2913292432692458e-05,increasing,0.00010056709456862656,increasing,1.768854252182095e-06,increasing,0.00024081731704805875,decreasing,0.0006158556652133829,decreasing,0.0006158556652133829,decreasing,1.760413730322874e-05,increasing,3.6808302406043936e-08,no trend,0.5784824183588568,decreasing,0.0006158556652133829,increasing,2.276024559932921e-07,decreasing,0.00024081731704805875,decreasing,0.00034653769344017427,no trend,0.29861767444881027,decreasing,2.276024559932921e-07,decreasing,0.00024081731704805875,decreasing,0.0006158556652133829,decreasing,1.760413730322874e-05,increasing,4.127335362369422e-08,increasing,1.768854252182095e-06,increasing,5.183233708905277e-08,no trend,0.29861767444881027,increasing,2.276024559932921e-07,decreasing,5.0084632774449744e-06,increasing,6.926259721318218e-08,decreasing,0.00024081731704805875,decreasing,0.00024081731704805875,increasing,0.0
googlesamples/mlkit,googlesamples,increasing,1.7143394770435805e-07,increasing,6.580587545990113e-06,increasing,2.7480202353658e-06,decreasing,0.0013905824276538858,no trend,0.22413430196016693,no trend,0.19167059142275544,no trend,0.0791092150986985,decreasing,0.02166739992842648,decreasing,0.042763425833193924,decreasing,0.01702379603221149,decreasing,0.027376765789661528,no trend,0.06490335860944318,no trend,0.6204252937103818,decreasing,0.027376765789661528,increasing,1.454341586715202e-06,increasing,9.226612573964843e-07,increasing,5.807852703210159e-07,increasing,9.226612573964843e-07,no trend,0.16280544974369304,increasing,5.434517408975381e-06,increasing,2.274530014556575e-06,increasing,2.274530014556575e-06,increasing,0.00012975985804297707,increasing,0.00018632600716106396,increasing,0.0008528465186221634,increasing,1.454341586715202e-06,increasing,9.226612573964843e-07,increasing,5.807852703210159e-07,increasing,9.226612573964843e-07,no trend,0.09574665647381542,increasing,2.274530014556575e-06,increasing,0.00018632600716106396,decreasing,0.02166739992842648,increasing,0.00012975985804297707,increasing,1.454341586715202e-06,increasing,2.274530014556575e-06,increasing,1.454341586715202e-06,increasing,1.650717158518944e-06
aws-samples/aws-dynamodb-examples,aws-samples,increasing,0.0,increasing,0.0,increasing,0.0,no trend,0.5431484398662707,no trend,0.0791094557599199,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,no trend,0.05426789778816654,no trend,0.05426789778816654,no trend,0.31895662329458085,no trend,0.05426789778816654,decreasing,0.0,decreasing,0.0,decreasing,0.0,no trend,0.05426789778816654,decreasing,0.0,no trend,1.0,decreasing,0.0,decreasing,0.0,no trend,0.05426478195055351,decreasing,0.0,no trend,0.05426478195055351,decreasing,0.0,no trend,1.0,decreasing,0.0,no trend,0.05426478195055351,decreasing,0.0,decreasing,0.0,no trend,0.05426478195055351,increasing,1.0319189946983442e-10
aws-samples/amazon-kinesis-learning,aws-samples,no trend,0.5158124507889887,no trend,0.5158124507889887,decreasing,0.0001775933012204689,no trend,0.8280415721560013,decreasing,2.4602233583692623e-09,increasing,6.447697235012484e-06,increasing,2.0009593981740181e-10,increasing,1.2303060614726746e-07,increasing,1.2303060614726746e-07,increasing,1.2303060614726746e-07,no trend,0.5158124507889887,increasing,6.447697235012484e-06,increasing,6.447697235012484e-06,no trend,0.5158124507889887,increasing,0.0,increasing,0.0,increasing,3.375077994860476e-14,increasing,0.0,increasing,0.00017039485490166761,increasing,3.375077994860476e-14,increasing,0.0001775933012204689,increasing,0.0001775933012204689,increasing,0.0001775933012204689,increasing,0.0001775933012204689,no trend,1.0,increasing,0.0001775933012204689,increasing,0.0,increasing,3.375077994860476e-14,increasing,4.440892098500626e-16,decreasing,0.0,increasing,3.375077994860476e-14,no trend,1.0,no trend,1.0,decreasing,0.0002318534457785848,increasing,3.375077994860476e-14,increasing,0.0001775933012204689,increasing,3.375077994860476e-14,no trend,0.09332190247102479
aws-samples/eb-java-scorekeep,aws-samples,increasing,3.960677119607681e-09,increasing,3.194323028310464e-09,no trend,1.0,no trend,0.44922082030363963,decreasing,6.31961784698376e-05,decreasing,0.01332393103629892,decreasing,0.038781496245107405,decreasing,0.0019542574663782286,decreasing,0.0019542574663782286,decreasing,0.002313392936456493,decreasing,0.0011121337652475471,no trend,0.08231729300690982,no trend,0.1944356830741263,decreasing,2.6136457593750606e-05,decreasing,0.0009152185646392752,decreasing,0.00047352719503246377,decreasing,2.6357252220776672e-06,decreasing,0.0006188099701427419,no trend,0.1460427323871536,decreasing,7.6068532033346514e-06,increasing,5.262845714781861e-10,increasing,1.514494284649004e-06,decreasing,2.445489459823591e-07,decreasing,7.841317186674246e-07,no trend,1.0,decreasing,2.291243292873446e-07,decreasing,0.0004948271794171788,decreasing,3.215474853557332e-05,decreasing,0.0008047234019716853,no trend,0.15627438799983584,decreasing,0.0015799057095668978,no trend,1.0,decreasing,3.0012095031395347e-09,decreasing,1.0722339680580006e-06,decreasing,0.006399538720061049,increasing,1.514494284649004e-06,decreasing,1.7374987544283016e-06,no trend,0.09817864717557212
aws-samples/amazon-ecs-java-microservices,aws-samples,increasing,0.019964453305216123,increasing,0.019964453305216123,no trend,1.0,no trend,0.0825792741523268,no trend,0.0825792741523268,decreasing,0.007773956552267203,no trend,0.0825792741523268,decreasing,0.019964453305216123,decreasing,0.019964453305216123,decreasing,0.019964453305216123,decreasing,0.007773956552267203,decreasing,0.019964453305216123,decreasing,0.019964453305216123,decreasing,0.019964453305216123,no trend,0.0825792741523268,increasing,0.019964453305216123,increasing,0.007773956552267203,increasing,0.019964453305216123,increasing,0.019964453305216123,no trend,0.0825792741523268,no trend,0.0825792741523268,no trend,0.0825792741523268,no trend,0.0825792741523268,decreasing,0.019964453305216123,increasing,0.007773956552267203,no trend,0.0825792741523268,increasing,0.019964453305216123,no trend,0.0825792741523268,no trend,0.0825792741523268,no trend,0.0825792741523268,increasing,0.019964453305216123,increasing,0.019964453305216123,no trend,0.0825792741523268,increasing,0.019964453305216123,increasing,0.019964453305216123,no trend,0.0825792741523268,increasing,0.019964453305216123,no trend,0.17524424540000583
aws-samples/aws-cognito-java-desktop-app,aws-samples,increasing,0.01909205224870747,increasing,0.01909205224870747,increasing,0.01909205224870747,increasing,5.059732179502063e-05,increasing,0.011431551959794506,no trend,0.9625362296885662,no trend,0.9625362296885662,no trend,0.9625362296885662,no trend,0.9625362296885662,no trend,0.9625362296885662,decreasing,0.01909205224870747,decreasing,0.01909205224870747,no trend,0.08222276964914954,decreasing,0.01909205224870747,no trend,0.9625362296885662,no trend,0.850967148939278,increasing,0.000532649527339446,no trend,0.11026153136611949,decreasing,0.0014029790718343982,increasing,0.01909205224870747,no trend,1.0,decreasing,0.01909205224870747,decreasing,0.01909205224870747,decreasing,0.01909205224870747,decreasing,0.01909205224870747,decreasing,1.5177290773049634e-06,no trend,0.9625362296885662,no trend,0.9625362296885662,no trend,0.9625362296885662,decreasing,0.01909205224870747,no trend,0.850967148939278,no trend,1.0,decreasing,0.01909205224870747,decreasing,0.029886583927613897,increasing,0.01909205224870747,decreasing,0.01909205224870747,no trend,0.850967148939278,increasing,1.9006352047767905e-10
aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app,aws-samples,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,0.54029137460742
aws-samples/aws-cloudhsm-jce-examples,aws-samples,increasing,2.7990995521420814e-08,increasing,2.7990995521420814e-08,no trend,1.0,increasing,0.0021763789422184487,increasing,0.007909532007881248,decreasing,1.1663023611996337e-05,decreasing,6.024849503383223e-05,decreasing,2.568504116284842e-06,decreasing,1.161905201163549e-06,decreasing,2.568504116284842e-06,decreasing,9.125070677074021e-06,decreasing,8.870879615319183e-07,decreasing,0.00022161175440138514,decreasing,5.540549003812956e-06,increasing,3.884591152569783e-05,increasing,0.00030380457815493145,increasing,2.2603174887336763e-09,increasing,5.1361497499513575e-08,increasing,0.01317345769591416,increasing,2.7875255437237456e-09,increasing,0.0002824731802226754,no trend,0.0894386714762565,decreasing,0.0020755629257427355,increasing,0.01900857221469554,no trend,1.0,no trend,0.09161062991750146,increasing,0.0009657580881534678,increasing,8.148714814026903e-09,increasing,0.0005401566326450613,decreasing,0.009313013807996207,no trend,0.06245073627962894,no trend,1.0,no trend,1.0,no trend,0.051832045323343845,increasing,3.4496170364661793e-09,no trend,0.0894386714762565,decreasing,1.6108427836059036e-07,increasing,1.2167399887186292e-05
aws-samples/aws-transcribe-streaming-example-java,aws-samples,no trend,0.11857143244439361,no trend,0.11857143244439361,no trend,1.0,decreasing,0.02361716481556897,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.02361716481556897,decreasing,0.02361716481556897,no trend,1.0,increasing,0.02361716481556897,increasing,0.02361716481556897,no trend,1.0,no trend,1.0,increasing,0.02361716481556897,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.02361716481556897,increasing,0.02361716481556897,no trend,1.0,no trend,1.0,increasing,0.03255233418065684,no trend,1.0,increasing,0.02361716481556897,decreasing,0.02361716481556897,increasing,0.0005559224557991627
