metric,positive correlation,negative correlation,inconclusive
JAVA,76,15,95
CLASSES,89,18,79
PKG,61,13,112
BWR,48,45,93
SAR,39,80,67
FANIN,40,70,76
FANOUT,52,58,76
CC,42,72,72
CCM,41,72,73
CCS,41,71,74
EC,35,76,75
KNTS,40,48,98
NPATH,48,71,67
NPLOG,34,46,106
PL,85,33,68
LOC,85,28,73
DLOC,74,39,73
ELOC,81,31,74
CLOC,73,35,78
BL,76,37,73
NV,56,31,99
AM,63,38,85
NPRM,50,45,91
NPM,59,22,105
PM,29,34,123
LM,62,40,84
STMT,75,42,69
DSTMT,70,41,75
ESTMT,77,42,67
CCR,45,50,91
WMC,77,35,74
NOC,17,14,155
DIT,29,47,110
LCOM,50,48,88
CBO,73,39,74
RFC,63,38,85
NIV,56,39,91
questions,185,0,1
