metric,no trend,increasing,decreasing
JAVA,79,87,20
CLASSES,68,100,18
PKG,102,67,17
BWR,84,52,50
SAR,51,47,88
FANIN,57,49,80
FANOUT,60,58,68
CC,54,49,83
CCM,55,48,83
CCS,55,48,83
EC,57,38,91
KNTS,86,44,56
NPATH,49,56,81
NPLOG,89,41,56
PL,52,95,39
LOC,55,94,37
DLOC,60,82,44
ELOC,53,94,39
CLOC,67,78,41
BL,57,87,42
NV,89,59,38
AM,67,73,46
NPRM,71,59,56
NPM,91,64,31
PM,113,34,39
LM,71,69,46
STMT,51,86,49
DSTMT,61,78,47
ESTMT,53,83,50
CCR,67,51,68
WMC,58,88,40
NOC,156,17,13
DIT,100,30,56
LCOM,69,56,61
CBO,61,84,41
RFC,67,73,46
NIV,76,59,51
