,,JAVA,CLASSES,PKG,BWR,SAR,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,ELOC,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2014,10,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2014,11,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2014,12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999967,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,1,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,2,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,3,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,4,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,5,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,6,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,7,0.0,0.0,0.0,0.0,0.9999999999999986,1.0,1.0,0.9999999999999973,1.0,1.0,1.0,1.0,0.8767576627875732,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.597462012229814e-16,1.0,1.0,1.0,1.0,0.999999999999991,3.2482068564666594e-15,3.415257494799263e-15,0.0,0.0,1.0,0.0,1.0,1.0,0.0
