"sample","issue_id","issue_number","issue_title","issue_state","issue_html","category","documentation","source code","configuration file","link for commit or pull request"
"spring-guides/gs-multi-module",814447233,42,"bootRun' not found in project ' : for both library and aplication from complete folder in windows","closed","https://github.com/spring-guides/gs-multi-module/issues/42","Importing",1,0,1,"https://github.com/spring-guides/gs-multi-module/commit/225c0170c7288ba861f7628e1f9ee58b5275e0b5"
"spring-guides/gs-multi-module",335922191,10,"Build fails with 'A problem occurred evaluating project ':library'. > Could not find method bootJar()'","closed","https://github.com/spring-guides/gs-multi-module/issues/10","Importing",0,0,1,"https://github.com/spring-guides/gs-multi-module/commit/d23745188f1171d0dd0dae31ad89a4d4d9697d35"
"spring-guides/gs-gradle",336588014,23,"Getting error on gradle build: Could not find method bootJar","closed","https://github.com/spring-guides/gs-gradle/issues/23","Importing",0,0,1,"https://github.com/spring-guides/gs-gradle/commit/5cec2afceb4c85d11b1a73ce08ef9917e36d8bb8"
"spring-guides/gs-consuming-rest",256929047,26,"Source code for Application.java (Standalone Version) does not compile","closed","https://github.com/spring-guides/gs-consuming-rest/issues/26","Importing",1,0,0,"https://github.com/spring-guides/gs-consuming-rest/commit/8df2553a6aaf8ec358ad8e4a3bde42657a3a5cdc"
"spring-guides/gs-centralized-configuration",325725273,8,"Wrong gradle version set for configuration-client sub project","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/8","Importing",0,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/2ca25c1577d72c88059fdc928601714fd24fda09"
"spring-guides/gs-accessing-data-jpa",19331066,3,"org.springframework.' is an invalid name on this platform","closed","https://github.com/spring-guides/gs-accessing-data-jpa/issues/3","Importing",0,0,1,"https://github.com/spring-guides/gs-accessing-data-jpa/commit/a31f816a01a4f56e94bf9b3cdbed5bf2d1c35a72"
"spring-guides/gs-messaging-redis",562111737,17,"Application hangs for me due to race condition","closed","https://github.com/spring-guides/gs-messaging-redis/issues/17","Importing",1,1,1,"https://github.com/spring-guides/gs-messaging-redis/commit/77870db7f4b79c478d0ec9168bd5b7b8eac398b5"
"spring-guides/gs-contract-rest",295447821,4,"java.lang.IllegalStateException: Exception occurred while trying to download a stub for group [com.example] module [contract-rest-service] and classifier [stubs] in []","closed","https://github.com/spring-guides/gs-contract-rest/issues/4","Importing",0,0,1,"https://github.com/spring-guides/gs-contract-rest/commit/465250962a987295c90f48154ff88bcc72413e30"
"spring-guides/tut-rest",490476447,80,"Missing import information","closed","https://github.com/spring-guides/tut-rest/issues/80","Improvement",1,0,0,"https://github.com/spring-guides/tut-rest/commit/9fd3522904fbc387767a82ced62f652ff1959b9f"
"spring-guides/tut-rest",273262270,44,"Several issues regarding README.adoc","closed","https://github.com/spring-guides/tut-rest/issues/44","Improvement",1,0,0,"https://github.com/spring-guides/tut-rest/pull/60/commits/4717d228499cf9a2876a753dca766b5160bd5da6"
"spring-guides/tut-rest",185320152,19,"Remove deprecated classes","closed","https://github.com/spring-guides/tut-rest/issues/19","Improvement",1,1,1,"https://github.com/spring-guides/tut-rest/commit/115b6d3b5975459a865304e8f83f4b9fe4638036"
"spring-guides/tut-rest",169996642,15,"Fix the method for https://github.com/spring-projects/spring-boot/issues/1801","closed","https://github.com/spring-guides/tut-rest/issues/15","Improvement",1,1,1,"https://github.com/spring-guides/tut-rest/commit/7f3644ea186e5fa5db6312af00f926e273384125"
"spring-guides/tut-rest",129301934,12,"Tutorial has insufficient Spring initializer projects","closed","https://github.com/spring-guides/tut-rest/issues/12","Improvement",1,0,0,"https://github.com/spring-guides/tut-rest/commit/d5c8076cfd6ed4799cc5fa1c10a4959a9c48c665"
"spring-guides/tut-rest",47799180,5,"Typo (ReservationRestController instead of BookmarkRestController)","closed","https://github.com/spring-guides/tut-rest/issues/5","Improvement",1,1,0,"https://github.com/spring-guides/tut-rest/commit/7f1365ef9189315c50b911de61d9288fa2ab8d98"
"spring-guides/tut-rest",46674989,1,"Use declarative SSL termination","closed","https://github.com/spring-guides/tut-rest/issues/1","Improvement",1,1,1,"https://github.com/spring-guides/tut-rest/commit/a72771661e8514919bf946a342edf7e144438210"
"spring-guides/gs-vault-config",375370023,4,"Can't get configuration property","closed","https://github.com/spring-guides/gs-vault-config/issues/4","Improvement",0,0,1,"https://github.com/spring-guides/gs-vault-config/commit/998f1e8a4eacd010004a6599b6b9f489a67a5318"
"spring-guides/gs-spring-boot",589723479,89,"HelloControllerIT assertion is always returning true","closed","https://github.com/spring-guides/gs-spring-boot/issues/89","Improvement",0,1,0,"https://github.com/spring-guides/gs-spring-boot/commit/eb4662606d87b6de94aae4619f748fbdcc139ce0"
"spring-guides/gs-spring-boot",209259328,32,"Asciidoctor include tags show up in build.gradle that is included by README.adoc","closed","https://github.com/spring-guides/gs-spring-boot/issues/32","Improvement",0,0,1,"https://github.com/spring-guides/gs-spring-boot/commit/8186863cf11dd89e36ef370510c010aaf75a6a9c"
"spring-guides/gs-spring-boot",170284818,25,"SpringApplicationConfiguration annotation marked as deprecated","closed","https://github.com/spring-guides/gs-spring-boot/issues/25","Improvement",0,1,0,"https://github.com/spring-guides/gs-spring-boot/pull/26/commits/583db8d66de74dc69f06f6d2f399975ab5a7a6e8"
"spring-guides/gs-spring-boot",54085321,19,"Test code appears to be missing from the published guide","closed","https://github.com/spring-guides/gs-spring-boot/issues/19","Improvement",1,0,0,"https://github.com/spring-guides/gs-spring-boot/commit/581b4738e6b33726a71094297a0d0b8174b51c05"
"spring-guides/gs-spring-boot",33097529,15,"Getting Started Guide should not reference snapshot repository.","closed","https://github.com/spring-guides/gs-spring-boot/issues/15","Improvement",0,0,1,"https://github.com/spring-guides/gs-spring-boot/commit/0f37f766c9cde4a5fd28df4e4603a8d1115e2b69"
"spring-guides/gs-spring-boot",18561379,3,"MultiPartUpload does not add much to the guide","closed","https://github.com/spring-guides/gs-spring-boot/issues/3","Improvement",1,0,0,"https://github.com/spring-guides/gs-spring-boot/commit/fc2632546bcaa78e52f2b6f0882264bc02fcfe05"
