"sample","issue_id","issue_number","issue_title","issue_state","issue_html","category","documentation","source code","configuration file","link for commit or pull request"
"spring-guides/gs-spring-boot-docker",399814428,66,"Improve the note regarding the external volume for /tmp in the Dockerfile","closed","https://github.com/spring-guides/gs-spring-boot-docker/issues/66","Improvement",1,0,1,"https://github.com/spring-guides/gs-spring-boot-docker/commit/d1455081bfaad93d9e1fa8988c40d4614652f2b0"
"spring-guides/gs-maven",22390192,5,"Completed Pom has <build> section but not explained in tutorial.","closed","https://github.com/spring-guides/gs-maven/issues/5","Improvement",1,0,0,"https://github.com/spring-guides/gs-maven/commit/08f0b69b62a33b0e6f299f51bbb390546e81020b"
"spring-guides/gs-maven",23475516,6,"Final pom shade plugin clarification","closed","https://github.com/spring-guides/gs-maven/issues/6","Improvement",1,0,0,"https://github.com/spring-guides/gs-maven/commit/91d26f7e86b5cbf5649639e6e2e39e553b05b10b"
"spring-guides/gs-uploading-files",313443996,43,"Leak in 'complete' FileSystemStorageService.java (","closed","https://github.com/spring-guides/gs-uploading-files/issues/43","Improvement",0,1,0,"https://github.com/spring-guides/gs-uploading-files/commit/a0a08fde6e182d98b851c923518cce9addc19c4b"
"spring-guides/gs-rest-service",119060852,37,"Increase memory in manifest.yml to 256M.","closed","https://github.com/spring-guides/gs-rest-service/issues/37","Improvement",0,0,1,"https://github.com/spring-guides/gs-rest-service/commit/3df696381688c01bc02b6f576d1549a82cb64bf8"
"spring-guides/gs-spring-boot-docker",467085374,71,"Add a note about the effect on classpath ordering of exploding the jar","closed","https://github.com/spring-guides/gs-spring-boot-docker/issues/71","Improvement",1,0,0,"https://github.com/spring-guides/gs-spring-boot-docker/commit/181a26f2b28f6c274d45af43e2655a782bfc9869"
"spring-guides/gs-spring-boot-docker",351926788,56,"Processes In Containers Should Not Run As Root","closed","https://github.com/spring-guides/gs-spring-boot-docker/issues/56","Improvement",1,0,1,"https://github.com/spring-guides/gs-spring-boot-docker/pull/58/files"
"spring-guides/gs-spring-boot-docker",91855998,9,"Importing into STS shows 'no codesets'.","closed","https://github.com/spring-guides/gs-spring-boot-docker/issues/9","Improvement",0,0,1,"https://github.com/spring-guides/gs-spring-boot-docker/commit/080742761fb366a476a8f71886dd3adcfa973bc7"
"spring-guides/gs-uploading-files",226729155,37,"Unsecure file upload","closed","https://github.com/spring-guides/gs-uploading-files/issues/37","Improvement",0,1,0,"https://github.com/spring-guides/gs-uploading-files/commit/1abde1046a36f8a2de2997c8244495729c817449"
"spring-guides/gs-uploading-files",224598742,36,"java.nio.file.FileAlreadyExistsException: [target]","closed","https://github.com/spring-guides/gs-uploading-files/issues/36","Improvement",0,1,0,"https://github.com/spring-guides/gs-uploading-files/commit/1abde1046a36f8a2de2997c8244495729c817449"
"spring-guides/gs-uploading-files",203519649,34,"In Uploading Files guide <pre> tag with id=""code-block-2"" and id=""code-block-6"" are duplicate","closed","https://github.com/spring-guides/gs-uploading-files/issues/34","Improvement",1,0,0,"https://github.com/spring-guides/gs-uploading-files/commit/a9778d5fd7d6195a3595904385d0f9b65dd31aa3"
"spring-guides/gs-uploading-files",194402762,33,"Incorporate /storage into tutorial","closed","https://github.com/spring-guides/gs-uploading-files/issues/33","Improvement",1,0,0,"https://github.com/spring-guides/gs-uploading-files/commit/6da1d882c6a513612ad8c839a08341bcaea9f835"
"spring-guides/gs-uploading-files",169619627,29,"application.properties: needs to be migrated to Spring Boot 1.4 too","closed","https://github.com/spring-guides/gs-uploading-files/issues/29","Improvement",1,0,1,"https://github.com/spring-guides/gs-uploading-files/commit/e6c68ede96e6f0cc8fa9570baed297887159f572"
"spring-guides/gs-uploading-files",157443914,22,"Stream Close","closed","https://github.com/spring-guides/gs-uploading-files/issues/22","Improvement",1,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/bc402eea88422278b51e3a4735be5ac371eab286"
"spring-guides/gs-uploading-files",52345361,11,"Text states that configured upload limit is 256KB but configuration sets the limit to 128KB","closed","https://github.com/spring-guides/gs-uploading-files/issues/11","Improvement",1,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/862f636c7a88642658c68e000baa051ce4e75439"
"spring-guides/gs-uploading-files",52247302,9,"Add controller method that shows how to serve the uploaded files again","closed","https://github.com/spring-guides/gs-uploading-files/issues/9","Improvement",1,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/bc402eea88422278b51e3a4735be5ac371eab2866"
"spring-guides/gs-uploading-files",28264276,4,"Limit upload size","closed","https://github.com/spring-guides/gs-uploading-files/issues/4","Improvement",0,1,0,"https://github.com/spring-guides/gs-uploading-files/commit/ca1e7c3e4cd957929ae6eb687e8b2a51cbc629e9"
"spring-guides/gs-multi-module",463756974,23,"The configuration used in this guide will not find repositories and entities defined in the library module","closed","https://github.com/spring-guides/gs-multi-module/issues/23","Improvement",1,0,0,"https://github.com/spring-guides/gs-multi-module/commit/1d226d71bc98ac4c6cf7a2809e6df19567b7bd06"
"spring-guides/gs-messaging-stomp-websocket",27440028,8,"Fix outdated gradle dependencies","closed","https://github.com/spring-guides/gs-messaging-stomp-websocket/issues/8","Improvement",0,0,1,"https://github.com/spring-guides/gs-messaging-stomp-websocket/commit/be03386efb38a2856873cdc78d66df23571478df"
"spring-guides/gs-messaging-stomp-websocket",23990428,3,"Use Tomcat 7.0.47 or higher","closed","https://github.com/spring-guides/gs-messaging-stomp-websocket/issues/3","Improvement",0,1,1,"https://github.com/spring-guides/gs-messaging-stomp-websocket/commit/4db466e4ccab67d1a9f4f0551868266a6bb1881a"
"spring-guides/gs-messaging-rabbitmq",561080729,29,"Wrong class link in the guide","closed","https://github.com/spring-guides/gs-messaging-rabbitmq/issues/29","Improvement",1,0,0,"https://github.com/spring-guides/gs-messaging-rabbitmq/commit/f7715676e13363bd8f210b6c956efb583df0d3b4"
"spring-guides/gs-messaging-rabbitmq",306458089,16,"Guide doesn't use the configured exchange/routing key","closed","https://github.com/spring-guides/gs-messaging-rabbitmq/issues/16","Improvement",1,1,0,"https://github.com/spring-guides/gs-messaging-rabbitmq/pull/17/commits/58630e7e0d9e2947211f03cf7b1d1e06608343c9"
"spring-guides/gs-messaging-rabbitmq",76106350,6,"Misleading Intro.","closed","https://github.com/spring-guides/gs-messaging-rabbitmq/issues/6","Improvement",1,0,0,"https://github.com/spring-guides/gs-messaging-rabbitmq/commit/ad1fcf37ea41c21253336f073a73cb58004c79d3"
"spring-guides/gs-messaging-jms",221762236,14,"Email pojo is not in guide","closed","https://github.com/spring-guides/gs-messaging-jms/issues/14","Improvement",1,0,0,"https://github.com/spring-guides/gs-messaging-jms/commit/5037c660385b43b25fd6803485caff7bc14c3be6"
"spring-guides/gs-messaging-jms",32057892,6,"Upgrade to latest ActiveMQ","closed","https://github.com/spring-guides/gs-messaging-jms/issues/6","Improvement",0,1,1,"https://github.com/spring-guides/gs-messaging-jms/pull/9/commits/33dcc2d2e10e329689501a89298912b60404c704?file-filters%5B%5D="
"spring-guides/gs-gradle",33422340,11,"Getting Started with Gradle guide does not run the application.","closed","https://github.com/spring-guides/gs-gradle/issues/11","Improvement",1,0,1,"https://github.com/spring-guides/gs-gradle/commit/ce017480b314bbdc1a3bed7727790ede47c46c8c"
"spring-guides/gs-gradle",27565528,7,"Explain how to change the name of the jar","closed","https://github.com/spring-guides/gs-gradle/issues/7","Improvement",1,0,1,"https://github.com/spring-guides/gs-gradle/commit/5158d50efdfe01cf418355031eb8e9f44f5f3dcf"
"spring-guides/gs-consuming-web-service",545720472,44,"Published guide has empty code blocks","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/44","Improvement",1,0,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/fc3658ad6473594db6a20d784a2429bdca7cf6c6"
"spring-guides/gs-consuming-web-service",107984010,9,"Find new public SOAP service","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/9","Improvement",1,1,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/a625386b76da56fb9adbe22bf56a75e6c41ffe30"
"spring-guides/gs-consuming-rest",107735304,13,"Guide doesn't work in a plain IDE due to the use of Lombok","closed","https://github.com/spring-guides/gs-consuming-rest/issues/13","Improvement",0,1,1,"https://github.com/spring-guides/gs-consuming-rest/commit/eb443a5d8d576af23a7b81b0f8461faa5ce3594e"
"spring-guides/gs-centralized-configuration",792609752,26,"The bootstrap phase is no longer enabled by default","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/26","Improvement",1,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/a0704e307c0344cdace697ec7f51e209c79c557b"
"spring-guides/gs-centralized-configuration",128097577,1,"Make it clearer that the config client is a separate application","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/1","Improvement",1,0,0,"https://github.com/spring-guides/gs-centralized-configuration/commit/b3d4c4caafb94fa15dc66d571686004e81d2c07c"
"spring-guides/gs-authenticating-ldap",41307611,6,"broken links in the summary section","closed","https://github.com/spring-guides/gs-authenticating-ldap/issues/6","Improvement",1,0,0,"https://github.com/spring-guides/gs-authenticating-ldap/commit/63913dcc9a2a46cc2eb17855e75d7dbf1be72705"
"spring-guides/gs-accessing-data-jpa",22484297,6,"Clean up some of the language","closed","https://github.com/spring-guides/gs-accessing-data-jpa/issues/6","Improvement",1,0,0,"https://github.com/spring-guides/gs-accessing-data-jpa/commit/9bb0901aca57a925a46160e11baed9e8895fe2a0"
"spring-guides/gs-validating-form-input",213660290,19,"Missing XML Namespace?","closed","https://github.com/spring-guides/gs-validating-form-input/issues/19","Improvement",0,1,0,"https://github.com/spring-guides/gs-validating-form-input/commit/0f26b424e03efe32666f5d8d168de081009bb939"
"spring-guides/gs-validating-form-input",48254922,10,"Code of result.html isn't attached to guide page","closed","https://github.com/spring-guides/gs-validating-form-input/issues/10","Improvement",1,0,0,"https://github.com/spring-guides/gs-validating-form-input/commit/fd89558d5463d8bcb10b82b920f222a8885f11c1"
"spring-guides/gs-rest-hateoas",516865341,24,"Dead/incorrect links in the tutorial","closed","https://github.com/spring-guides/gs-rest-hateoas/issues/24","Improvement",1,0,0,"https://github.com/spring-guides/gs-rest-hateoas/commit/04cdeb0f1dbf60efb1b1a467ccde3c5c5fe0d46c"
"spring-guides/gs-reactive-rest-service",804338953,20,"Broken build sections","closed","https://github.com/spring-guides/gs-reactive-rest-service/issues/20","Improvement",1,0,1,"https://github.com/spring-guides/gs-reactive-rest-service/commit/e90b5dcccbdc2ba2184f5811e238935763ec16caa"
"spring-guides/gs-reactive-rest-service",298084857,2,"Test always succeeds","closed","https://github.com/spring-guides/gs-reactive-rest-service/issues/2","Improvement",0,1,0,"https://github.com/spring-guides/gs-reactive-rest-service/commit/7ed9cb9797de9a67e12f8070472017dab434c9ef"
"spring-guides/gs-integration",162666870,13,"Guide asks to create wrong directory","closed","https://github.com/spring-guides/gs-integration/issues/13","Improvement",1,1,1,"https://github.com/spring-guides/gs-integration/commit/7cced9598419b640b306b77c03452be2af4ddcad"
"spring-guides/gs-integration",113122710,11,"System.in does not pause","closed","https://github.com/spring-guides/gs-integration/issues/11","Improvement",0,0,1,"https://github.com/spring-guides/gs-integration/pull/12/commits/84fce872b8acc69cb68cb69a26773e459f62854e"
"spring-guides/gs-gateway",486280382,7,"spring-cloud.version Greenwich.SR1 is not matching springboot 2.1.6.RELEASE","closed","https://github.com/spring-guides/gs-gateway/issues/7","Improvement",0,0,1,"https://github.com/spring-guides/gs-gateway/commit/589be3dd3e79ad267f600226eba04ea9eedd5b71"
"spring-guides/gs-accessing-data-mongodb",23935630,4,"Misspelling in pom.xml artifactId","closed","https://github.com/spring-guides/gs-accessing-data-mongodb/issues/4","Improvement",0,0,1,"https://github.com/spring-guides/gs-accessing-data-mongodb/commit/be5d9d862fa9b4126df995554ee03e5234e00e8f"
"spring-guides/tut-spring-boot-oauth2",485426490,109,"Update Formatting to Use One Sentence Per Line","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/109","Improvement",1,0,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/pull/110/commits/32ac726d5cf39cfee6dc6f115fbda926b43e2ec4?file-filters%5B%5D="
"spring-guides/tut-spring-boot-oauth2",200930487,44,"In tutorial article, token services don't use the oAuth2RestTemplate","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/44","Improvement",1,1,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/ae76b52d524f904bb931d58e53b6de27c40f0415"
"spring-guides/tut-spring-boot-oauth2",142058762,11,"Example with multiple OAuth providers fails if providers require AuthenticationScheme.query","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/11","Improvement",0,1,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/8e7ab890330db4f6633e052ed1b8625b9475ab66"
"spring-guides/tut-spring-boot-oauth2",150616924,14,"BadCredentialException in client application","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/14","Modification",1,0,1,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/cdca246570885dee56bb08231475012d5a49f4d1"
"spring-guides/gs-scheduling-tasks",36350477,6,"Cannot autowire mongoRepositories inside the ScheduledTasks component","closed","https://github.com/spring-guides/gs-scheduling-tasks/issues/6","Modification",1,0,0,"https://github.com/spring-guides/gs-scheduling-tasks/commit/b001af2eaf9efd5d70f806767073b78f71f0ec19"
"spring-guides/gs-serving-web-content",27611362,7,"Can't upgrade to Spring Boot 1.0.0.RC3","closed","https://github.com/spring-guides/gs-serving-web-content/issues/7","Modification",0,0,1,"https://github.com/spring-guides/gs-serving-web-content/commit/73e0f9d3be2a69a4af1bcc61b34c4711b98f36d8"
"spring-guides/gs-service-registration-and-discovery",168717309,1,"Error when updating to 1.4 of Starter-Parent / Updating spring cloud dep to brixton","closed","https://github.com/spring-guides/gs-service-registration-and-discovery/issues/1","Modification",0,0,1,"https://github.com/spring-guides/gs-service-registration-and-discovery/commit/303043d1ff1d5b0d03606ddc2f9f3fabf21f3b23"
"spring-guides/gs-securing-web",27611337,9,"Unable to upgrade to Boot 1.0.0.RC3","closed","https://github.com/spring-guides/gs-securing-web/issues/9","Modification",1,0,1,"https://github.com/spring-guides/gs-securing-web/commit/193f55ada1b501b123289d2947bc81a27dbc506cc"
"spring-guides/gs-messaging-stomp-websocket",27790806,10,"Upgrade to latest stomp.js and correct example on how to connect","closed","https://github.com/spring-guides/gs-messaging-stomp-websocket/issues/10","Modification",0,1,0,"https://github.com/spring-guides/gs-messaging-stomp-websocket/commit/227751c461eb94fef3973f9ae26dd49221151eaff"
"spring-guides/gs-serving-web-content",125020008,10,"missing spring.thymeleaf.cache=false","closed","https://github.com/spring-guides/gs-serving-web-content/issues/10","Modification",1,0,1,"https://github.com/spring-guides/gs-serving-web-content/commit/d050ba60ca1046633cd7a7b83bb7fc515068fc46"
"spring-guides/gs-consuming-web-service",547197636,45,"Sample doesn't run under Java 11","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/45","Modification",0,0,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/f05716250937d5cf9129603db08e289e77affcea"
"spring-guides/tut-spring-boot-oauth2",219089716,52,"Server fails to start at ""Testing the OAuth2 Client"" part of tutorial","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/52","Modification",1,0,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/pull/54/commits/c569ad52c1a74eecaba52d684ef557efdaa4c2a3"
"spring-guides/tut-spring-boot-oauth2",207403622,45,"auth-server example fails for spring boot 1.5.1.RELEASE","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/45","Modification",0,1,1,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/0c12b2b278d4b9c74f9ba587e468546c42cbeb2e"
"spring-guides/tut-rest",313715149,52,"newer version","closed","https://github.com/spring-guides/tut-rest/issues/52","Question",1,1,1,"https://github.com/spring-guides/tut-rest/commit/7f3644ea186e5fa5db6312af00f926e273384125"
"spring-guides/gs-spring-boot",376767423,55,"Where to put the application.properties file","closed","https://github.com/spring-guides/gs-spring-boot/issues/55","Question",1,0,0,"https://github.com/spring-guides/gs-spring-boot/commit/6dbc22770a66e118a5a0d230e97fda27985cd3db"
"spring-guides/gs-actuator-service",32210936,6,"Jackson 2 is on the classpath?","closed","https://github.com/spring-guides/gs-actuator-service/issues/6","Question",1,0,0,"https://github.com/spring-guides/gs-actuator-service/commit/b4ce5fc20644771aea5f04fd12fca06160349b74"
"spring-guides/gs-authenticating-ldap",57858293,8,"Java 8 Support","closed","https://github.com/spring-guides/gs-authenticating-ldap/issues/8","Question",1,1,1,"https://github.com/spring-guides/gs-authenticating-ldap/commit/5d5348f01374712d629d1d509983630f2745d84c"
"spring-guides/gs-messaging-rabbitmq",48358098,4,"Not acknowledging receive","closed","https://github.com/spring-guides/gs-messaging-rabbitmq/issues/4","Question",1,1,0,"https://github.com/spring-guides/gs-messaging-rabbitmq/commit/8bcae5eb390929e0a8f78fc58077376c1fb594b6"
"spring-guides/gs-uploading-files",124251764,19,"MultipartFile.transferTo(File) vs. I/O loop","closed","https://github.com/spring-guides/gs-uploading-files/issues/19","Question",0,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/c536c798df41a716ea17444ae99923b75a08ca61"
"spring-guides/tut-spring-boot-oauth2",153666093,16,"missing code in spring tutorial authorization server","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/16","Question",1,0,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/bc97cbd742b784e507ef161fa8cca372adf7701c"
"spring-guides/tut-rest",579441327,91,"415 when attempting to post json object","closed","https://github.com/spring-guides/tut-rest/issues/91","Running",1,0,0,"https://github.com/spring-guides/tut-rest/commit/c16dd7c42e830d1b170dead2c45526cb3e20e559"
"spring-guides/gs-crud-with-vaadin",364815915,17,"Application failed to start","closed","https://github.com/spring-guides/gs-crud-with-vaadin/issues/17","Running",0,0,1,"https://github.com/spring-guides/gs-crud-with-vaadin/commit/851643493dffc071c3c5181d6566c3d44eb89452"
"spring-guides/gs-authenticating-ldap",40041479,4,"Null Pointer on Startup","closed","https://github.com/spring-guides/gs-authenticating-ldap/issues/4","Running",0,1,0,"https://github.com/spring-guides/gs-securing-web/commit/134efa3345e4839852aa8950782aa74976959498"
"spring-guides/gs-validating-form-input",26841015,5,"Guide is broken","closed","https://github.com/spring-guides/gs-validating-form-input/issues/5","Running",1,0,1,"https://github.com/spring-guides/gs-validating-form-input/commit/41b886da4457e8699360dae40c18fd218672bfcc"
"spring-guides/gs-reactive-rest-service",307702822,5,"Failed to handle request [GET http://127.0.0.1:8080/greeting]: Response status 404","closed","https://github.com/spring-guides/gs-reactive-rest-service/issues/5","Running",1,0,0,"https://github.com/spring-guides/gs-reactive-rest-service/commit/fc4d632078498e6af23d65926852b517a8a2fa73"
"spring-guides/gs-integration",172138583,14,"SAXParseException when running the project with Spring Boot 1.4.0","closed","https://github.com/spring-guides/gs-integration/issues/14","Running",0,0,1,"https://github.com/spring-guides/gs-integration/pull/15/commits/acf316a0ff5e0777a95896f125f27e3a8967169d"
"spring-guides/gs-batch-processing",60138122,8,"When running the tutorial, SELECT from the database happens before INSERT","closed","https://github.com/spring-guides/gs-batch-processing/issues/8","Running",1,1,0,"https://github.com/spring-guides/gs-batch-processing/commit/06a705e08b635650f963bb766276800c7905cea7"
"spring-guides/tut-spring-boot-oauth2",177021850,37,"At the ""Logout"" stage, the instructions don't match the code.","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/37","Running",1,0,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/1d29b2ed286bbfb14a641fbecbfabfedcc23c618"
"spring-guides/gs-centralized-configuration",207662748,5,"POST to http://localhost:8080/refresh results in 401 Unauthorized","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/5","Running",1,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/ac32d420e0f02fdaebd6b13f311d6419dcab7771"
"spring-guides/tut-rest",46679863,2,"Running security version doesn't grant me access","closed","https://github.com/spring-guides/tut-rest/issues/2","Running",0,1,1,"https://github.com/spring-guides/tut-rest/commit/828590b42a2b536463850d8f98f7d98ff3ee8827"
"spring-guides/gs-consuming-web-service",550123213,46,"Sample built with Gradle doesn't run with ""java -jar"" on Java 11","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/46","Running",0,0,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/39a509089c09d45833b112b6b2e9199f36449910"
"spring-guides/gs-serving-web-content",361359428,26,"Circular view path [greeting]: would dispatch back to the current handler URL [/greeting] again.","closed","https://github.com/spring-guides/gs-serving-web-content/issues/26","Running",1,0,0,"https://github.com/spring-guides/gs-serving-web-content/commit/8ca5fdf72e4f7913608339c778f4083b56f83159"
"spring-guides/gs-uploading-files",164231360,28,"download as files (or problem with binaries)","closed","https://github.com/spring-guides/gs-uploading-files/issues/28","Running",1,1,1,"https://github.com/spring-guides/gs-uploading-files/pull/30/commits/f60289da326c5f88e2fa9d4a834146c281393626"
"spring-guides/gs-crud-with-vaadin",487861203,42,"Unable to determine mode of operation","closed","https://github.com/spring-guides/gs-crud-with-vaadin/issues/42","Running",1,0,1,"https://github.com/spring-guides/gs-crud-with-vaadin/commit/1e4fb149316b780a7d169a1d351d94710e2aae39"
"spring-guides/gs-consuming-web-service",295467464,27,"WSDL returning no data","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/27","Running",1,1,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/9b651afbcb36611273dd59344bc429e60a3b1985"
"spring-guides/gs-consuming-web-service",112967782,13,"Error creating bean with name 'messageConverters' while running the application","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/13","Running",0,0,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/f6f39a953ee1605573b70a61e6346b136ebce4f3"
"spring-guides/gs-consuming-web-service",37048668,2,"Error occur when execute example with mvn: Unable to start embedded container;","closed","https://github.com/spring-guides/gs-consuming-web-service/issues/2","Running",1,0,1,"https://github.com/spring-guides/gs-consuming-web-service/commit/0619b59d3047772a156d822c034b6b551959bc2b"
"spring-guides/gs-consuming-rest",178822613,19,"Can't run the sample with no error","closed","https://github.com/spring-guides/gs-consuming-rest/issues/19","Running",1,0,0,"https://github.com/spring-guides/gs-consuming-rest/commit/b0cb78bd43b5e76c1954b74bdb4b9ff55fce4cdd"
"spring-guides/gs-consuming-rest",89932945,10,"Facebook URL isn't working as of now","closed","https://github.com/spring-guides/gs-consuming-rest/issues/10","Running",1,1,1,"https://github.com/spring-guides/gs-consuming-rest/commit/9e8aff7b303e9bdd59dad2ac629f79957c3ce29a"
"spring-guides/gs-centralized-configuration",308355689,7,"In spring cloud client when refresh method is posted (http://localhost:8080/refresh) got below error message","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/7","Running",1,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/4f9ea966ab93b34a912b8114a87969c353565ba9"
"spring-guides/gs-centralized-configuration",202756821,4,"Spring Cloud version in text is wrong (old)","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/4","Running",1,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/b04581d63e0f9a359a5e2daeada4ee4baae55ee6"
"spring-guides/gs-rest-hateoas",35794388,3,"Links switched to hal format","closed","https://github.com/spring-guides/gs-rest-hateoas/issues/3","Running",1,0,0,"https://github.com/spring-guides/gs-rest-hateoas/commit/9e5f6cac6617beb790adeb8a8e59c2cf0ec845b6"
"spring-guides/tut-spring-boot-oauth2",311125445,74,"Login links always showing in github module","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/74","Running",0,1,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/876680dcb4102dc9dcddee9c3635aac3b675893f"
"spring-guides/gs-crud-with-vaadin",704882020,66,"run.sh script should use maven wrapper","closed","https://github.com/spring-guides/gs-crud-with-vaadin/issues/66","Improvement",0,0,1,"https://github.com/spring-guides/gs-crud-with-vaadin/commit/148f7550829dcbc2b0a454e91e87547a2cb9065a"
"spring-guides/gs-producing-web-service",551850030,28,"Describe that an  explicit XSD file location is required in maven to generate source files","closed","https://github.com/spring-guides/gs-producing-web-service/issues/28","Improvement",0,0,1,"https://github.com/spring-guides/gs-producing-web-service/commit/7cb1d60583da33aae0ebbc6a62a0bc770467dfd8"
"spring-guides/gs-messaging-rabbitmq",20051336,2,"FIx this guide so it properly configures a queue, exchange, and binding","closed","https://github.com/spring-guides/gs-messaging-rabbitmq/issues/2","Improvement",1,1,0,"https://github.com/spring-guides/gs-messaging-rabbitmq/commit/dfa2edf564b5941433584365aa96f1355ea8a23e

https://github.com/spring-guides/gs-messaging-rabbitmq/commit/7af6f601f0fbba5d362c49c2c6e99218997b0cb3"
"spring-guides/gs-messaging-jms",846859058,30,"Guide page not rendering properly on spring getting started page","closed","https://github.com/spring-guides/gs-messaging-jms/issues/30","Improvement",1,0,1,"https://github.com/spring-guides/gs-messaging-jms/commit/ff1feb6321f3a73abf983993b8b0bbb163169761

https://github.com/spring-guides/gs-messaging-jms/commit/9c0fac9bd0218c936e5969bbd1c86215b1482d94"
"spring-guides/gs-gradle",34580561,13,"Guide has inconsistent behavior","closed","https://github.com/spring-guides/gs-gradle/issues/13","Importing",1,0,1,"https://github.com/spring-guides/gs-gradle/commit/ce017480b314bbdc1a3bed7727790ede47c46c8cc"
"spring-guides/gs-centralized-configuration",360621969,11,"management.security.enabled=false deprecated","closed","https://github.com/spring-guides/gs-centralized-configuration/issues/11","Improvement",0,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/ad915c2d8634e6b5d099c64615f4908589166736"
"spring-guides/gs-authenticating-ldap",97408717,10,"Use @EnableWebSecurity instead of deprected @EnableWebMvcSecurity.","closed","https://github.com/spring-guides/gs-authenticating-ldap/issues/10","Improvement",1,1,1,"https://github.com/spring-guides/gs-authenticating-ldap/commit/e2bee44edfbaa38434b592e45f12c3f70646f046"
"spring-guides/gs-authenticating-ldap",32103618,3,"Authentication enabled too early in guide","closed","https://github.com/spring-guides/gs-authenticating-ldap/issues/3","Improvement",1,0,1,"https://github.com/spring-guides/gs-authenticating-ldap/commit/83947274c2114b7e00658ddb9d9ade019fadb2f5"
"spring-guides/gs-accessing-data-rest",202565829,11,"cURL POST command does not work on Windows Command Prompt because single quotes are used","closed","https://github.com/spring-guides/gs-accessing-data-rest/issues/11","Improvement",1,0,0,"https://github.com/spring-guides/tut-react-and-spring-data-rest/pull/39/commits/6304d5c8e5af91b25df747fe9ee61b9357d05702?file-filters%5B%5D="
"spring-guides/gs-accessing-data-rest",28426768,1,"Correct rel used for a collection resource after upgrade to SD REST 2.0.1","closed","https://github.com/spring-guides/gs-accessing-data-rest/issues/1","Improvement",1,0,1,"https://github.com/spring-guides/gs-accessing-data-rest/commit/0230ae0744235e8635d9245619da91c02a8b11fa"
"spring-guides/gs-accessing-data-mysql",314430465,11,"not able to connect to db","closed","https://github.com/spring-guides/gs-accessing-data-mysql/issues/11","Question",1,0,0,"https://github.com/spring-guides/gs-accessing-data-mysql/commit/c4a33825aa092eedce6591f1cabf2dfa062b2d50"
"spring-guides/gs-batch-processing",644944684,40,"Use SpringApplication.exit and System.exit to ensure that the JVM exits upon job completion","closed","https://github.com/spring-guides/gs-batch-processing/issues/40","Improvement",1,1,0,"https://github.com/spring-guides/gs-batch-processing/pull/41/commits/12c370196a2db1717a32144f6b1923d9dd242c09?file-filters%5B%5D="
"spring-guides/gs-batch-processing",86761694,10,"Add clarification about s1 argument in importUserJob","closed","https://github.com/spring-guides/gs-batch-processing/issues/10","Improvement",1,0,0,"https://github.com/spring-guides/gs-batch-processing/commit/e9b154861dc1f3d6dc79c52aef648c315b111b06"
