"framework","sample","issue_id","issue_number","issue_title","issue_state","issue_html","category","documentation","source code","configuration file","link for commit or pull request"
"Android","googlesamples/easypermissions",170611747,36,"@AfterPermissionGranted should also be annotated with @Keep","closed","https://github.com/googlesamples/easypermissions/issues/137","Improvement",0,0,1,"https://github.com/googlesamples/easypermissions/commit/87f9d49ac16a1cd1c45f4531e830d57db45741b0"
"Android","googlesamples/android-testing",114945042,66,"Include javadoc jar in releases","closed","https://github.com/googlesamples/easypermissions/issues/123","Improvement",0,0,1,"https://github.com/googlesamples/easypermissions/commit/87f9d49ac16a1cd1c45f4531e830d57db45741b0"
"Android","googlesamples/android-play-billing",516504683,244,"Improve test coverage","closed","https://github.com/googlesamples/easypermissions/issues/112","Improvement",0,1,0,"https://github.com/googlesamples/easypermissions/pull/236/files"
"Android","googlesamples/android-testing-templates",100504166,4,"Annoteated methods not run when method is in super class","closed","https://github.com/googlesamples/easypermissions/issues/84","Improvement",0,1,1,"https://github.com/googlesamples/easypermissions/pull/85/commits/bec916f45ebaceb47df792b36bc2f1c3212e60e4"
"Android","googlesamples/android-FingerprintDialog",112572335,13,"RuntimeException has wrong message","closed","https://github.com/googlesamples/easypermissions/issues/36","Improvement",0,1,1,"https://github.com/googlesamples/easypermissions/pull/51/commits/e0dba22384e042260a031c6598564ebdbe71c4244"
"Android","googlesamples/android-play-billing",700094889,357,"Missing @RunWith(AndroidJUnit4.class) annotation in ServiceTestRuleSample","closed","https://github.com/android/testing-samples/issues/66","Improvement",0,1,1,"https://github.com/android/testing-samples/commit/7945ce63864516d6ef2f3e709d6c004699d0087d"
"Android","googlesamples/easypermissions",260478619,169,"We've detected that your app is using an old version of the Google Play Developer API. From December 1 2019, versions 1 and 2 of this API will no longer be available","closed","https://github.com/android/play-billing-samples/issues/244","Improvement",0,1,0,"https://github.com/android/play-billing-samples/commit/912d9562b6df41895588f1560905b4ca9e8ee7ee"
"Android","googlesamples/easypermissions",123771567,3,"app:assembleDebug task is executed when running unit tests from Android Studio","closed","https://github.com/googlesamples/android-testing-templates/issues/4","Improvement",0,1,0,"https://github.com/googlesamples/android-testing-templates/commit/57852eaf7df88ddaf828eca879a407f2249d5348"
"Android","googlesamples/android-play-location",275299089,111,"requestPermissions is not needed","closed","https://github.com/googlearchive/android-FingerprintDialog/issues/13","Improvement",0,1,0,"https://github.com/googlearchive/android-FingerprintDialog/pull/14/commits/e86daa0174352f8b1c391e4f17a820f3481ee4f0"
"Android","googlesamples/google-services",95469780,25,"TrivialDriveKotlin: Unnecessary safe call on a non-null receiver","closed","https://github.com/android/play-billing-samples/issues/357","Improvement",0,1,1,"https://github.com/android/play-billing-samples/commit/51e97690dd5343c2ab7970c0217e17cc177b7506"
