framework,full_name
aws-samples,aws-samples/amazon-sumerian-arcore-starter-app
aws-samples,aws-samples/amazon-workmail-demo-ews-push-notifications
aws-samples,aws-samples/aws-amazonmq-apachecamel-sample
aws-samples,aws-samples/amazon-kinesis-socket-server-sample
aws-samples,aws-samples/emr-tls-security
aws-samples,aws-samples/kubernetes-for-java-developers
aws-samples,aws-samples/amazon-mq-workshop
aws-samples,aws-samples/aws-xray-apache-kafka-sample
aws-samples,aws-samples/aws-dms-cdc-sample
aws-samples,aws-samples/aws-sqlagentjob-to-stepfunctions
aws-samples,aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app
aws-samples,aws-samples/aws-sam-java-rest
aws-samples,aws-samples/aws-cloudhsm-jce-examples
aws-samples,aws-samples/realtime-bushfire-alert-with-apache-flink-cep
aws-samples,aws-samples/aws-lambda-sap-oauth
aws-samples,aws-samples/cloudwatch-agent-demo-custom-metrics
aws-samples,aws-samples/iot-reference-architectures
aws-samples,aws-samples/aws-blog-athena-custom-jdbc-credentials
aws-samples,aws-samples/aws-transcribe-streaming-example-java
aws-samples,aws-samples/reinvent-2018-social-news-app
aws-samples,aws-samples/aws-greengrass-lambda-functions
aws-samples,aws-samples/amazon-sqs-java-temporary-queues-client-samples
aws-samples,aws-samples/amazon-rds-data-api-demo
aws-samples,aws-samples/amazon-kinesis-replay
aws-samples,aws-samples/crud4dynamo
aws-samples,aws-samples/aws-cloudhsm-on-aws-lambda-sample
aws-samples,aws-samples/amazon-kinesis-analytics-taxi-consumer
aws-samples,aws-samples/alexa-web-information-service-api-samples
aws-samples,aws-samples/alexa-top-sites-api-samples
aws-samples,aws-samples/aws-service-catalog-terraform-reference-architecture
aws-samples,aws-samples/amazon-emr-optimize-data-processing
aws-samples,aws-samples/amazon-kinesis-data-analytics-java-examples
aws-samples,aws-samples/amazon-polly-mp3-for-microsoft-word
aws-samples,aws-samples/amazon-kinesis-data-analytics-flinktableapi
aws-samples,aws-samples/aws-saas-factory-postgresql-rls
aws-samples,aws-samples/amazon-kinesis-analytics-beam-taxi-consumer
aws-samples,aws-samples/amazon-mq-migration-from-ibm-mq
aws-samples,aws-samples/aws-codebuild-polyglot-application
aws-samples,aws-samples/amazon-qldb-dmv-sample-java
aws-samples,aws-samples/aws-kms-pq-tls-example
aws-samples,aws-samples/amazon-textract-searchable-pdf
aws-samples,aws-samples/amazon-comprehend-medical-fhir-integration
aws-samples,aws-samples/amazon-chime-voiceconnector-transcription
aws-samples,aws-samples/rds-breakglass-user-management
aws-samples,aws-samples/busy-engineers-document-bucket
aws-samples,aws-samples/amazon-dynamodb-implementing-priority-queuing
aws-samples,aws-samples/faster-cryptography-in-java-with-aws
aws-samples,aws-samples/aws-glue-data-catalog-replication-utility
aws-samples,aws-samples/amazon-eks-jenkins-terraform
aws-samples,aws-samples/aws-codecommit-pull-request-approver-demo
aws-samples,aws-samples/aws-lambda-java-oracle-starter-kit
aws-samples,aws-samples/designing-cloud-native-microservices-on-aws
aws-samples,aws-samples/aws-quarkus-demo
aws-samples,aws-samples/rds-ssl-update
aws-samples,aws-samples/amazon-qldb-double-entry-sample-java
aws-samples,aws-samples/aws-sdk-js-tests
aws-samples,aws-samples/amazon-athena-train-amazon-sagemaker
aws-samples,aws-samples/amazon-kinesis-analytics-streaming-etl
aws-samples,aws-samples/s3-select-phonebook-search
aws-samples,aws-samples/amazon-automated-forecast
aws-samples,aws-samples/diy-code-signing-kms-private-ca
aws-samples,aws-samples/aws-sigv4-auth-cassandra-java-driver-examples
aws-samples,aws-samples/aws-codeguru-profiler-demo-application
aws-samples,aws-samples/amazon-cloudwatch-monitor-for-sap-netweaver
aws-samples,aws-samples/amazon-msk-client-authentication
aws-samples,aws-samples/aws-trusted-advisor-co-aggregator
aws-samples,aws-samples/amazon-codeguru-reviewer-sample-app
aws-samples,aws-samples/aws-ingesting-click-logs-using-terraform
aws-samples,aws-samples/jsii-native-java
aws-samples,aws-samples/jsii-java-benchmarking
aws-samples,aws-samples/k8s-rbac-iam-java-operator
aws-samples,aws-samples/redshift-jdbc-plugin-for-siteminder
aws-samples,aws-samples/kda-metrics-dashboard
aws-samples,aws-samples/aws-dms-msk-demo
aws-samples,aws-samples/amazon-mq-fifo-starter-kit
aws-samples,aws-samples/amazon-kinesis-low-level-producer-sample
aws-samples,aws-samples/mirrormaker2-msk-migration
aws-samples,aws-samples/clickstream-consumer-for-apache-kafka
aws-samples,aws-samples/clickstream-producer-for-apache-kafka
aws-samples,aws-samples/aws-saas-factory-ref-solution-metrics-analytics
aws-samples,aws-samples/pix-proxy-samples
aws-samples,aws-samples/amazon-aurora-mysql-with-mariadb-jdbc-driver
aws-samples,aws-samples/amazon-unified-streaming-etl
aws-samples,aws-samples/bcs-disaster-recovery-portal-common
aws-samples,aws-samples/lambda-java-blockchain
aws-samples,aws-samples/aws-iot-proxy-mobile-app-android
aws-samples,aws-samples/aws-kms-jce
aws-samples,aws-samples/aws-expense-handling-workflow
aws-samples,aws-samples/iot-all-the-things-special-projects-edition
aws-samples,aws-samples/aws-saas-factory-dynamic-policy-generation
aws-samples,aws-samples/serverless-webapp-mono-repo-ci-cd-java
aws-samples,aws-samples/saas-tenant-isolation-architecture
aws-samples,aws-samples/amazon-kinesis-data-analytics-flink-starter-kit
aws-samples,aws-samples/integration-sample-lambda-msk
aws-samples,aws-samples/aws-transcribe-speaker-identification-java
aws-samples,aws-samples/k8s-cloudwatch-operator
aws-samples,aws-samples/amazon-kinesis-data-analytics-flink-benchmarking-utility
aws-samples,aws-samples/aws-lambda-servlet
aws-samples,aws-samples/amazon-chime-voice-connector-automated-reports
aws-samples,aws-samples/building-java-apps-using-code-pipeline
aws-samples,aws-samples/amazon-athena-serverless-ehms-connector
aws-samples,aws-samples/efo-ltr-flink-sample
