,author,framework
5891,hrasheed-msft,Azure
6022,asikaria-msft,Azure
6080,GAcharyaOS,AWS
6150,rstrahan,AWS
6182,gv-tech,AWS
6190,cmitchAWS,AWS
6195,aliuy,Azure
6399,dhgoelmsft,Azure
6435,hovsepm,Azure
6821,microsoftopensource,Azure
6823,msftgits,Azure
7091,shoatman,Azure
7130,LuisBosquez,Azure
7134,arramac,Azure
7154,milismsft,Azure
7159,rloutlaw,Azure
7210,priyaravi20,Azure
7426,roygara,Azure
7521,amin-b,Azure
7545,brjohnstmsft,Azure
7546,EvanBoyle,Azure
7550,tiffanyachen,Azure
7632,jongio,Azure
7679,KarlErickson,Azure
7770,PatrickFarley,Azure
7772,wiazur,Azure
7781,JonathanGiles,Azure
7791,brunoborges,Azure
7837,viananth,Azure
7839,knithinc,Azure
7848,TheOnlyWei,Azure
7895,xscript,Azure
7916,sadigopu,Azure
7930,tylerfox,Azure
7945,JasonFreeberg,Azure
7983,edjez,Azure
7988,tyclintw,Azure
8023,blackchoey,Azure
8025,hamiltonha,Azure
8026,rpdome,Azure
8037,cjsingh8512,Azure
8047,mnriem,Azure
8058,jyotsnaravikumar,Azure
8099,kushagraThapar,Azure
8100,anfeldma-ms,Azure
8107,microsoft-github-operations[bot],Azure
8127,N-Usha,Azure
8167,sqshq,Azure
8171,elkolotfi,Azure
8175,Sam-WEI,Azure
8182,clevertension,Azure
8186,chidov,Azure
8199,thanus,Azure
8238,solo-yolo,Azure
8243,Zanoshky,Azure
8245,AlekseySpiridonov,Azure
8247,ddubson,Azure
8260,pcornelissen,Azure
8348,gitter-badger,Azure
8484,craigshoemaker,Azure
8538,rasavant-ms,Azure
8542,fedeoliv,Azure
8549,manishmsfte,Azure
8561,arjunattam,Azure
8562,balansubr,Azure
8587,yucwan,Azure
8595,grayzu,Azure
8649,jruaux,Azure
8800,dashjim,AWS
8802,zhnc9,AWS
9138,valnav,Azure
9144,parakhj,Azure
9147,SaeedAkhter-MSFT,Azure
9294,iambmelt,Azure
9518,kansrini,Azure
9606,prashanthyv,Azure
9719,diberry,Azure
9814,omri374,Azure
9836,Avery-Dunn,Azure
9838,idg-sam,Azure
9863,yevster,Azure
10189,arey,Azure
10218,mszarlinski,Azure
10282,verydapeng,Azure
10315,srenkens,Azure
10317,vladfau,Azure
10318,mklose,Azure
10319,craigsdennis,Azure
10320,tduchateau,Azure
10322,bram-atmire,Azure
10325,cyrille-leclerc,Azure
10327,boly38,Azure
10331,TejasM,Azure
10335,gordonad,Azure
10340,rstoyanchev,Azure
10342,cbeams,Azure
10343,trisberg,Azure
10344,majguo,Azure
10348,Eskibear,Azure
10360,jdubois,Azure
10452,AdelGhabboun,Azure
10472,GregoryGoldshteynMSFT,Azure
10497,tommoser,Azure
10534,ddematheu2,Azure
10554,paulomarquesc,Azure
10579,haukurstefansson,Azure
10637,abhirockzz,Azure
10660,venuvasu,AWS
10662,louayshaat,AWS
10664,AlexPinhel,AWS
10668,jeromevdl,AWS
10670,flochaz,AWS
10674,asenousy,AWS
10680,alex-m-aws,AWS
10692,bradygaster,Azure
10702,aliceqin12,Azure
10703,MSOneCode,Azure
10705,VaanPan,Azure
10987,aahill,Azure
10988,v-jaswel,Azure
11046,abandy,Azure
11053,alvabandy,Azure
11123,yzhong94,Azure
11165,tamirkamara,Azure
11239,ramya25,Azure
11259,TheovanKraay,Azure
11466,msangapu-msft,Azure
11487,michaeljqzq,Azure
11490,Juliako,Azure
11491,v-jizhang,Azure
11506,johndeu,Azure
11508,xpouyat,Azure
11524,invalid-email-address,Azure
11537,SnehaGunda,Azure
11655,dominicbetts,Azure
11697,JasonWHowell,Azure
