framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Spring,spring-guides/getting-started-guides,0.09588141173460624,9,9,9,9,33,1,32,1,0,0,0,0,9,3,1,17,0,17,12,10,15,0,0,0,0,15,0,272,54,203,150,32,19,0,0,0,114,138,117,21,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,72,17,17,17,17,9
Spring,spring-guides/gs-accessing-data-gemfire,0.10127471387386322,2,2,2,2,13,3,10,0,0,0,0,0,3,1,0,10,0,14,7,2,8,0,5,0,0,3,0,119,35,84,53,27,0,0,0,0,49,56,37,19,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,10,10,10,10,3
Spring,spring-guides/gs-accessing-data-jpa,0.36534877595840953,5,5,5,5,35,3,28,3,0,0,0,0,6,2,1,13,0,15,11,5,13,0,3,0,1,9,0,182,40,120,69,38,22,0,0,0,68,87,57,30,0,0,0,0,0,6,6,6,5,0,0,1,0,0,0,0,88,14,14,14,13,6
Spring,spring-guides/gs-accessing-data-mongodb,0.3983766622841358,6,6,6,5,30,5,23,1,0,0,0,0,6,2,0,11,0,13,11,8,13,0,1,0,0,12,0,190,56,116,69,33,18,0,0,0,63,84,57,27,0,0,0,0,0,7,7,7,5,0,0,1,0,0,0,0,47,13,13,13,11,6
Spring,spring-guides/gs-accessing-data-mysql,0.4424100460698052,5,5,5,5,18,0,16,1,0,0,0,0,6,2,0,11,0,11,9,4,11,0,1,0,0,10,0,127,31,90,60,14,11,0,0,0,43,60,47,13,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,73,11,11,11,11,6
Spring,spring-guides/gs-accessing-data-neo4j,0.4322338264901191,4,4,4,4,23,4,18,0,0,0,0,0,5,2,1,13,0,14,9,3,11,0,3,1,0,7,0,159,44,107,61,36,8,0,0,0,62,77,52,25,0,0,0,0,0,5,5,5,4,0,0,1,0,0,0,0,20,14,14,14,13,5
Spring,spring-guides/gs-accessing-data-rest,0.3152921472986539,5,5,5,5,21,2,19,0,0,0,0,0,6,2,0,15,0,16,14,5,16,0,2,0,0,14,0,224,56,153,90,54,15,0,0,0,63,84,66,18,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,16,15,15,15,15,6
Spring,spring-guides/gs-accessing-gemfire-data-rest,0.1024116795451846,3,3,3,3,15,2,13,0,0,0,0,0,4,1,1,10,0,11,10,5,11,0,1,0,0,10,0,206,50,141,95,45,15,0,0,0,67,81,67,14,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,16,10,10,10,10,4
Spring,spring-guides/gs-accessing-mongodb-data-rest,0.39379066849748295,5,5,5,5,21,2,19,0,0,0,0,0,6,2,0,15,0,16,14,5,16,0,2,0,0,14,0,221,58,148,85,54,15,0,0,0,61,82,64,18,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,16,15,15,15,15,6
Spring,spring-guides/gs-accessing-neo4j-data-rest,0.27708053061117727,5,5,5,5,21,2,19,0,0,0,0,0,6,2,0,15,0,16,14,5,16,0,2,0,0,14,0,230,58,157,94,54,15,0,0,0,66,87,69,18,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,16,15,15,15,15,6
