framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,exallium/RxRecyclerView,18,18,19,16,99,1,86,8,0,0,0,0,31,2,9,81,0,82,82,29,84,0,2,6,8,68,0,1389,173,693,310,307,529,0,0,0,353,492,284,208,0,0,0,0,0,55,50,58,23,0,0,17,0,0,0,17,766,129,122,133,88,17
Android,torryharris/Skycons,53,52,55,28,437,82,318,36,0,0,0,0,45,0,7,134,0,134,134,225,134,0,0,21,15,98,0,3911,976,2614,700,1809,407,0,0,0,1772,2108,661,1447,0,0,0,0,0,205,202,221,55,0,0,34,0,0,0,0,664,369,351,399,161,28
Android,chentao0707/SettingView,34,34,34,15,250,27,207,8,0,0,0,0,39,0,2,154,0,161,161,122,161,0,3,27,6,125,0,2602,454,2085,619,1261,93,0,0,0,1168,1578,615,963,0,0,0,0,0,141,137,143,17,0,0,30,0,0,0,0,60,397,393,399,156,15
Android,alt236/Bluetooth-LE-Library---Android,120,89,122,75,843,43,743,33,0,0,0,0,97,54,563,374,0,371,327,153,381,0,6,42,11,322,0,6111,874,4504,1970,2709,745,0,0,0,2971,3579,1852,1727,0,0,0,0,0,218,148,225,108,0,0,40,0,0,0,4,969,621,528,636,426,77
Android,yazhidev/Practice,62,52,63,42,445,27,360,40,0,0,0,0,69,6,4,242,0,242,236,204,242,0,0,44,49,149,0,4068,534,2909,1093,1634,630,0,0,0,1826,2266,1069,1197,0,0,0,0,0,151,125,161,58,0,0,42,0,0,0,0,727,438,408,454,263,42
Android,qkxyjren/LikeView,13,13,14,13,110,5,84,18,0,0,0,0,27,1,23,118,0,120,119,95,120,0,2,30,5,83,0,1682,198,1191,459,635,302,0,0,0,724,911,439,472,0,0,0,0,0,40,36,44,13,0,0,8,0,0,0,3,422,182,173,190,118,14
Android,toddway/ListOfThings,55,55,57,51,249,1,240,1,0,0,0,0,84,35,6,291,0,330,284,102,319,0,47,25,17,230,0,2913,553,2156,1020,832,217,0,0,0,1101,1552,957,595,0,0,0,0,0,99,99,116,58,0,0,35,0,0,0,1,718,395,395,418,303,58
Android,hongyangAndroid/android-percent-support-extend,12,12,12,10,89,4,75,5,0,0,0,0,26,13,13,85,0,85,73,38,86,0,1,17,12,56,0,1723,226,1177,369,552,321,0,0,0,494,692,316,376,0,0,0,0,0,32,32,34,11,0,0,11,0,0,0,0,693,184,181,192,86,16
Android,jacek-marchwicki/JavaWebsocketClient,50,50,50,47,309,4,262,28,0,0,0,0,129,12,3,307,0,323,313,90,325,0,13,22,1,289,0,4147,623,2515,1091,1133,1013,0,0,0,1106,1544,932,612,0,0,0,0,0,90,90,99,74,0,0,19,0,0,0,33,2050,377,377,387,337,50
Android,codeka/wwmmo,486,482,517,319,3237,158,2709,238,0,0,0,0,496,132,245,1946,0,2006,1794,999,1926,0,119,268,113,1426,0,33814,4799,25026,9064,14135,4163,0,0,0,12637,16987,8453,8534,0,0,0,0,0,1173,1164,1318,590,0,0,431,0,0,0,85,4812,4002,3934,4303,2435,285
