framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Spring,shzlw/poli,63,63,66,56,550,20,503,17,0,0,0,0,73,22,68,377,0,377,341,120,363,0,0,23,2,338,0,4977,761,4124,1958,2119,95,0,0,0,2230,2789,1607,1182,0,0,0,0,0,110,110,122,84,0,0,36,0,0,0,0,122,505,505,528,421,54
Spring,wyh-spring-ecosystem-student/spring-boot-student,386,385,393,315,2722,179,2001,518,0,0,0,0,393,122,169,1556,0,1710,1524,593,1646,0,170,100,9,1367,0,23816,4263,14601,7782,5883,5366,0,0,0,8110,10490,6577,3913,0,0,0,0,0,586,585,612,370,0,0,195,0,0,0,44,8927,2110,2109,2167,1671,358
Spring,Activiti/Activiti,3056,3043,3409,1974,20552,2258,16502,1260,0,0,0,0,2463,543,1449,13956,0,16480,15801,4058,16344,0,2379,405,1502,12058,0,244571,44503,154948,60763,83907,45477,0,0,0,87878,114814,55599,59215,0,0,0,0,0,6029,5977,6867,2568,0,0,2082,0,0,0,829,78464,23812,23696,25506,15007,2212
Spring,spring-projects/spring-security-oauth,898,896,941,624,5699,307,4766,537,0,0,0,0,1171,179,323,4213,0,4460,4299,1275,4478,0,308,293,398,3479,0,71603,10599,45183,22529,20445,16390,0,0,0,24214,31650,19021,12629,0,0,0,0,0,1811,1809,1927,930,0,0,539,0,0,0,472,26769,6430,6426,6677,4643,761
Spring,cheese10yun/spring-guide,77,76,77,74,427,26,362,27,0,0,0,0,87,26,0,203,0,206,177,110,203,0,9,28,11,155,0,3110,656,2329,1519,705,127,0,0,0,1241,1525,1210,315,0,0,0,0,0,83,82,83,74,0,0,7,0,0,0,0,254,217,216,217,203,84
Spring,dearbinge/dubbo-spring-boot-mybatis-redis,18,18,18,15,139,1,108,31,0,0,0,0,18,14,14,65,0,71,59,30,73,0,6,3,0,64,0,1026,126,542,287,202,364,0,0,0,306,409,264,145,0,0,0,0,0,28,28,28,15,0,0,12,0,0,0,6,257,94,94,94,67,18
Spring,abel533/Mapper,315,314,334,232,2421,78,1942,352,0,0,0,0,423,129,69,1837,0,1908,1795,545,1924,0,88,50,115,1671,0,32823,3930,18696,8406,9656,11150,0,0,0,9546,12968,6696,6272,0,0,0,0,0,604,601,661,308,0,0,233,0,0,0,394,14275,2691,2686,2850,1976,349
Spring,spring-guides/gs-uploading-files,14,14,15,14,67,3,63,0,0,0,0,0,16,2,0,49,0,61,54,12,56,0,13,0,0,43,0,645,137,482,278,142,29,0,0,0,238,312,224,88,0,0,0,0,0,19,19,20,18,0,0,4,0,0,0,0,108,62,62,64,53,16
Spring,liaokailin/springcloud,40,40,40,32,199,10,179,17,0,0,0,0,46,23,4,74,0,77,54,18,77,0,4,1,0,72,0,1197,205,865,542,241,144,0,0,0,440,581,441,140,0,0,0,0,0,48,48,48,32,0,0,14,0,0,0,0,656,92,92,92,74,32
Spring,ordina-jworks/microservices-dashboard,63,63,63,60,352,16,330,3,0,0,0,0,72,18,15,306,0,308,234,101,252,0,36,25,0,191,0,5011,838,2770,1450,1181,1455,0,0,0,1578,1921,1188,733,0,0,0,0,0,77,77,79,63,0,0,12,0,0,0,83,3116,330,330,333,312,69
Spring,tonyboxes/netty-chat,34,29,34,26,221,8,178,30,0,0,0,0,55,92,43,309,0,333,243,66,335,0,26,53,17,239,0,3730,391,2675,1104,1141,665,0,0,0,1096,1573,770,803,0,0,0,0,0,87,61,87,42,0,0,22,0,0,0,4,825,489,426,489,357,32
Spring,DSpace/DSpace,3276,3248,3540,1897,24310,1663,17363,4657,0,0,0,0,2433,1007,2064,13154,0,14866,13881,4596,14888,0,457,893,1177,12361,0,321530,42144,188304,78004,104516,91842,0,0,0,94766,125583,64920,60663,0,0,0,0,0,8163,8087,9102,3317,0,0,2720,0,0,0,1691,79035,28084,27865,30173,15904,2012
Spring,JThink/SkyEye,294,291,306,198,1705,61,1421,181,0,0,0,0,267,71,338,1207,0,1217,1177,531,1248,0,39,89,3,1117,0,16853,2514,10803,5223,4672,3538,0,0,0,5887,7878,4646,3232,0,0,0,0,0,593,589,632,263,0,0,202,0,0,0,47,7577,1834,1826,1885,1294,223
Spring,OysterQAQ/Pixiv-Illustration-Collection,22,22,22,15,133,1,128,4,0,0,0,0,29,3,64,107,0,107,67,71,70,0,0,15,0,55,0,1504,159,1274,672,664,123,0,0,0,723,861,564,297,0,0,0,0,0,37,37,39,17,0,0,13,0,0,0,0,117,165,164,178,109,26
Spring,cwenao/springboot_cwenao,52,52,54,46,330,38,229,53,0,0,0,0,56,19,5,145,0,163,143,56,162,0,18,4,3,137,0,2797,522,1420,848,396,861,0,0,0,777,1022,710,312,0,0,0,0,0,63,63,67,53,0,0,12,0,0,0,19,2027,185,185,193,156,55
Spring,binarywang/weixin-java-miniapp-demo,13,13,13,8,91,8,71,11,0,0,0,0,10,4,3,26,0,26,14,15,18,0,0,2,0,16,0,561,88,386,213,166,89,0,0,0,203,250,166,84,0,0,0,0,0,19,19,19,12,0,0,7,0,0,0,1,235,45,45,45,30,9
Spring,mattia-battiston/clean-architecture-example,55,55,55,53,253,14,227,0,0,0,0,0,73,1,48,301,0,313,309,104,310,0,14,116,12,168,0,3243,793,2426,1332,927,27,0,0,0,1391,1792,1158,634,0,0,0,0,0,70,70,72,55,0,0,16,0,0,0,0,47,329,329,331,303,70
Spring,ngbdf/redis-manager,148,143,156,95,801,12,717,54,0,0,0,0,128,113,87,889,0,963,851,291,964,0,58,42,26,838,0,11435,1558,8849,4175,4304,1046,0,0,0,4665,6326,3624,2702,0,0,0,0,0,313,305,358,149,0,0,139,0,0,0,13,1764,1490,1467,1571,987,109
Spring,jhipster/jhipster,103,103,105,94,780,20,572,155,0,0,0,0,194,31,98,920,0,922,775,323,806,0,12,40,43,711,0,12409,1849,7368,3548,3718,3213,0,0,0,4274,5400,2948,2452,0,0,0,0,0,178,178,185,116,0,0,47,0,0,0,88,3621,1084,1084,1104,952,108
Spring,nonocast/todolist,76,76,84,51,336,23,309,1,0,0,0,0,60,3,17,303,0,311,313,130,316,0,24,3,6,283,0,3014,583,2418,1358,780,28,0,0,0,1254,1681,1084,597,0,0,0,0,0,101,101,112,61,0,0,36,0,0,0,0,52,386,386,397,326,48
Spring,pkainulainen/gradle-examples,26,26,26,26,104,6,98,0,0,0,0,0,27,7,10,41,0,41,34,11,41,0,0,1,0,40,0,586,125,383,256,83,78,0,0,0,194,262,214,48,0,0,0,0,0,26,26,26,26,0,0,0,0,0,0,0,707,41,41,41,41,26
Spring,spring-projects/spring-xd,1735,1723,1795,1345,11576,519,9264,1451,0,0,0,0,1895,471,1041,9158,0,9424,9055,3447,9526,0,341,808,718,7659,0,165892,25543,94146,44516,43730,46611,0,0,0,50401,66107,37859,28248,0,0,0,0,0,3683,3604,3964,1865,0,0,1289,0,0,0,1603,60573,13990,13899,14599,9927,1546
