framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Spring,nosqlcoco/springboot-weapp-demo,53,53,56,40,379,12,301,65,0,0,0,0,44,6,21,90,0,99,93,84,99,0,9,2,2,86,0,2180,275,1565,895,617,349,0,0,0,933,1146,746,400,0,0,0,0,0,88,88,99,60,0,0,31,0,0,0,2,911,172,172,187,133,38
Spring,aws-samples/amazon-ecs-java-microservices,146,146,157,124,610,11,508,77,0,0,0,0,166,11,17,566,0,584,567,198,578,0,18,5,44,511,0,10533,1547,4872,3054,1079,4116,0,0,0,2371,3232,2381,851,0,0,0,0,0,225,225,247,159,0,0,79,0,0,0,192,6190,689,689,711,601,177
Spring,adobe/S3Mock,73,72,75,63,587,44,406,118,0,0,0,0,77,18,99,562,0,563,487,158,505,0,30,59,8,408,0,10005,1533,5907,3077,2958,2636,0,0,0,2984,3710,2278,1432,0,0,0,0,0,107,107,128,74,0,0,26,0,0,0,20,2838,714,709,754,579,62
Spring,tim232385/WebVideoBot,21,21,21,13,99,3,91,2,0,0,0,0,14,7,24,50,0,49,36,27,43,0,2,3,1,37,0,809,140,641,309,320,41,0,0,0,340,419,273,146,0,0,0,0,0,30,30,32,15,0,0,12,0,0,0,0,92,75,75,80,53,14
Spring,jhipster/jhipster-registry,86,86,89,73,551,20,466,42,0,0,0,0,82,13,34,310,0,316,283,122,296,0,15,34,3,244,0,4778,836,3531,1849,1522,447,0,0,0,2025,2505,1572,933,0,0,0,0,0,145,145,154,95,0,0,52,0,0,0,22,804,420,420,439,337,82
Spring,ysrc/Liudao,43,42,47,24,224,7,185,27,0,0,0,0,35,6,22,146,0,143,143,61,149,0,5,8,0,136,0,2198,372,1437,615,696,392,0,0,0,736,1002,552,450,0,0,0,0,0,64,61,75,34,0,0,24,0,0,0,0,646,253,250,307,190,25
Spring,apache/dubbo-admin,131,130,145,97,668,14,627,16,0,0,0,0,113,88,109,748,0,822,735,241,823,0,85,57,4,677,0,10903,1604,7327,3277,3579,2029,0,0,0,3890,5372,2946,2426,0,0,0,0,0,278,263,326,152,0,0,92,0,0,0,19,3970,1334,1316,1512,895,99
Spring,souyunku/SpringBootExamples,124,124,130,97,836,144,565,125,0,0,0,0,114,82,39,496,0,552,445,143,527,0,30,10,0,487,0,8071,1668,4312,2331,1662,2137,0,0,0,2378,3137,1967,1170,0,0,0,0,0,186,186,201,102,0,0,46,0,0,0,23,3888,656,656,684,504,110
Spring,opentracing-contrib/java-spring-cloud,107,107,110,94,522,8,460,39,0,0,0,0,148,19,44,404,0,408,333,123,352,0,18,29,3,302,0,6886,889,4256,2769,1212,1751,0,0,0,2259,2832,2064,768,0,0,0,0,0,142,142,152,103,0,0,47,0,0,0,22,3954,463,463,477,416,96
Spring,shmilyah/spring-cloud-components,23,23,23,23,79,2,74,2,0,0,0,0,27,13,2,49,0,52,39,13,52,0,5,0,2,45,0,696,130,508,356,87,67,0,0,0,245,323,261,62,0,0,0,0,0,25,25,25,23,0,0,2,0,0,0,0,333,51,51,51,49,25
Spring,sofastack/sofa-registry,710,708,768,536,5275,293,3987,797,0,0,0,0,709,172,426,3544,0,3935,3647,1465,3819,0,458,264,53,3044,0,66468,8741,36026,16730,16739,21854,0,0,0,18485,24773,14082,10691,0,0,0,0,0,1520,1503,1708,864,0,0,659,0,0,0,613,26293,5713,5693,6071,4041,583
Spring,feuyeux/jax-rs2-guide,172,172,174,157,1020,5,867,131,0,0,0,0,175,11,128,553,0,559,548,102,559,0,6,17,41,495,0,7746,1147,5848,3531,2132,778,0,0,0,3384,4257,2869,1388,0,0,0,0,0,237,236,240,168,0,0,76,0,0,0,6,1827,690,688,695,565,163
Spring,eclipse/hono,554,552,566,509,5439,169,3177,1794,0,0,0,0,612,500,881,6364,0,6569,4081,973,4581,0,328,735,646,2872,0,98971,12124,52115,22752,28265,34842,0,0,0,27730,34598,18548,16050,0,0,0,0,0,1252,1210,1367,753,0,0,467,0,0,0,501,25899,8531,8447,8794,6760,538
Spring,alibaba/nacos,667,666,726,448,4145,315,3392,311,0,0,0,0,740,640,910,3529,0,3692,3074,1264,3714,0,237,273,14,3190,0,65464,9919,40573,15901,22230,15086,0,0,0,21304,28904,14207,14697,0,0,0,0,0,1684,1669,1884,890,0,0,552,0,0,0,368,18295,6968,6947,7426,4435,461
Spring,yu199195/myth,240,238,253,203,1942,70,1285,549,0,0,0,0,270,72,132,723,0,809,694,443,766,0,124,72,2,568,0,18894,2685,8676,5078,3101,7542,0,0,0,4889,6125,4177,1948,0,0,0,0,0,372,369,395,239,0,0,139,0,0,0,303,13439,1026,1022,1065,787,261
Spring,cloudfoundry/java-buildpack-auto-reconfiguration,24,24,24,21,128,10,116,1,0,0,0,0,22,30,8,112,0,114,74,13,104,0,19,27,0,58,0,1401,279,775,393,298,350,0,0,0,392,534,337,197,0,0,0,0,0,32,32,33,22,0,0,7,0,0,0,6,1189,130,130,131,118,22
Spring,naturalprogrammer/spring-lemon,126,126,130,119,1131,171,768,144,0,0,0,0,163,45,126,653,0,687,574,216,619,0,27,28,90,474,0,12090,2798,7489,3946,3245,1875,0,0,0,3799,4634,3074,1560,0,0,0,0,0,179,178,190,137,0,0,47,0,0,0,3,2889,750,749,767,674,149
Spring,xuwujing/springBoot-study,202,201,217,172,1432,29,1031,347,0,0,0,0,218,168,105,909,0,1018,856,305,1024,0,119,39,12,854,0,17253,2440,9060,4443,3736,5873,0,0,0,4836,6365,3617,2748,0,0,0,0,0,333,320,385,204,0,0,100,0,0,0,717,8654,1362,1332,1501,968,273
Spring,spring-cloud/spring-cloud-sleuth,343,343,352,312,1821,41,1690,35,0,0,0,0,740,140,224,3209,0,3317,2759,970,2899,0,640,293,60,1906,0,43428,7418,28217,14910,10958,7935,0,0,0,13070,17290,10749,6541,0,0,0,0,0,608,606,650,400,0,0,214,0,0,0,139,12947,3908,3907,3982,3343,335
Spring,Coding/WebIDE-Backend,135,135,138,118,692,66,585,13,0,0,0,0,170,50,29,690,0,781,716,394,766,0,114,90,10,552,0,12811,3044,8568,4158,4007,1288,0,0,0,4659,6029,3295,2734,0,0,0,0,0,259,256,287,169,0,0,89,0,0,0,25,3859,1167,1161,1232,803,144
Spring,zhengyunfei/springboot-hadmin,113,113,120,75,709,30,535,144,0,0,0,0,77,25,22,345,0,379,358,126,383,0,23,6,22,332,0,5147,781,3225,1737,1231,1160,0,0,0,1772,2357,1468,889,0,0,0,0,0,159,159,171,90,0,0,62,0,0,0,13,2399,503,503,517,377,75
Spring,sofastack/sofa-tracer,516,515,553,394,3803,154,3071,481,0,0,0,0,505,262,423,2331,0,2469,2223,715,2485,0,175,176,140,1994,0,42586,4953,23484,11001,11537,14209,0,0,0,12601,16664,9186,7478,0,0,0,0,0,969,969,1054,572,0,0,338,0,0,0,380,20660,3611,3603,3804,2599,426
Spring,anilallewar/microservices-basics-spring-boot,44,44,44,41,326,7,191,121,0,0,0,0,43,9,13,123,0,129,120,33,129,0,8,10,4,107,0,2581,329,1385,795,487,884,0,0,0,695,946,623,323,0,0,0,0,0,111,111,111,105,0,0,23,0,0,0,11,1621,220,220,220,193,37
Spring,sanshengshui/netty-learning-example,171,168,175,147,1084,68,927,68,0,0,0,0,173,28,65,376,0,420,362,211,390,0,42,28,37,283,0,6197,1173,4493,2558,1671,533,0,0,0,2585,3270,2188,1082,0,0,0,0,0,259,245,271,170,0,0,81,0,0,0,14,2007,547,533,566,404,169
Spring,1ssqq1lxr/iot_push,100,94,103,72,494,6,433,39,0,0,0,0,112,58,64,434,0,481,346,185,404,0,54,45,36,269,0,6555,1091,4482,2262,2361,1048,0,0,0,2214,2886,1687,1199,0,0,0,0,0,216,187,232,101,0,0,78,0,0,0,10,2611,731,683,759,489,87
Spring,didi/tinyid,49,49,53,35,230,5,223,1,0,0,0,0,40,11,26,138,0,145,136,59,147,0,9,14,3,121,0,1793,303,1289,636,528,203,0,0,0,693,953,585,368,0,0,0,0,0,84,84,91,47,0,0,33,0,0,0,11,703,220,220,235,158,37
Spring,Zoctan/spring-boot-vue-admin,48,48,53,39,331,10,264,53,0,0,0,0,55,22,36,182,0,217,194,72,216,0,36,16,4,160,0,3096,411,1932,1133,667,759,0,0,0,1056,1338,919,419,0,0,0,0,0,70,70,78,51,0,0,15,0,0,0,15,1932,238,238,248,194,53
Spring,bitkylin/ClusterDeviceControlPlatform,419,389,445,338,2066,30,1769,215,0,0,0,0,378,115,263,1528,0,1551,1381,782,1496,0,96,147,50,1203,0,20022,2941,13201,6318,5767,3885,0,0,0,7606,10023,5837,4186,0,0,0,0,0,762,661,867,473,0,0,183,0,0,0,67,8406,2268,2146,2430,1717,369
Spring,roncoo/spring-boot-demo,476,476,476,437,2895,147,2104,641,0,0,0,0,497,145,131,1868,0,2096,1951,448,2096,0,228,39,104,1725,0,22695,4287,14448,8033,4681,4134,0,0,0,7767,10379,6700,3679,0,0,0,0,0,565,565,571,479,0,0,92,0,0,0,39,8180,2156,2156,2162,2011,451
Spring,qiurunze123/miaosha,274,274,280,229,1624,45,1266,283,0,0,0,0,295,156,197,1064,0,1192,1090,810,1246,0,135,48,37,1026,0,16845,2744,10804,5796,4393,3462,0,0,0,6028,7762,4842,2920,0,0,0,0,0,372,372,403,284,0,0,117,0,0,0,375,4203,1511,1511,1573,1195,282
Spring,system-sekkei/isolating-the-domain,103,103,104,103,414,15,374,18,0,0,0,0,108,17,4,499,0,527,486,193,503,0,122,9,0,372,0,4453,859,3139,1815,868,455,0,0,0,1555,2158,1507,651,0,0,0,0,0,133,133,136,112,0,0,24,0,0,0,100,1708,553,553,558,523,137
Spring,joshlong/boot-examples,15,15,15,14,60,2,56,0,0,0,0,0,41,6,8,111,0,114,108,41,114,0,30,1,9,74,0,1244,249,920,569,239,77,0,0,0,450,622,450,172,0,0,0,0,0,23,23,23,16,0,0,9,0,0,0,0,115,126,126,127,113,14
Spring,rubenlagus/TelegramBots,291,279,294,261,1333,17,1237,47,0,0,0,0,429,124,1058,3114,0,3206,3020,1064,3144,0,91,102,33,2918,0,31591,4782,22975,10237,10366,4618,0,0,0,10619,14907,8422,6485,0,0,0,0,0,834,798,1041,500,0,0,261,0,0,0,68,6611,4091,4055,4343,3408,292
Spring,whyalwaysmea/Spring-Security,78,78,78,65,432,38,340,53,0,0,0,0,75,1,3,173,0,181,184,106,185,0,10,6,12,157,0,2994,566,1784,1120,506,657,0,0,0,992,1277,943,334,0,0,0,0,0,94,94,95,67,0,0,25,0,0,0,10,2650,212,212,213,178,72
Spring,dangdangdotcom/config-toolkit,84,84,85,57,438,23,391,13,0,0,0,0,71,16,34,207,0,222,205,63,221,0,17,18,16,170,0,3517,625,2186,1048,946,708,0,0,0,1160,1595,970,625,0,0,0,0,0,124,124,133,73,0,0,62,0,0,0,19,2034,354,351,366,231,62
