framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,googlesamples/android-AccelerometerPlay,0,1,1,1,1,12,0,8,2,0,0,0,0,4,0,3,22,0,22,22,26,22,0,1,1,4,16,0,429,52,264,122,146,114,0,0,0,185,225,119,106,0,0,0,0,0,6,5,6,1,0,0,4,0,0,0,0,43,39,36,40,22,1
Android,googlesamples/android-AlwaysOn,0,1,1,1,1,19,3,11,4,0,0,0,0,4,0,6,12,0,12,12,16,12,0,1,2,0,9,0,396,68,198,77,117,130,0,0,0,123,146,68,78,0,0,0,0,0,3,3,3,1,0,0,2,0,0,0,0,66,20,20,20,12,1
Android,googlesamples/android-AppRestrictions,0,12,12,12,4,86,8,64,12,0,0,0,0,5,3,8,14,0,14,11,13,14,0,0,2,2,10,0,537,67,310,125,185,160,0,0,0,188,238,114,124,0,0,0,0,0,27,27,28,4,0,0,9,0,0,0,2,145,44,44,46,14,4
Android,googlesamples/android-BasicManagedProfile,0,6,6,6,5,53,0,41,10,0,0,0,0,6,3,4,31,0,31,28,3,31,0,0,12,2,17,0,682,60,439,166,242,186,0,0,0,219,285,138,147,0,0,0,0,0,17,17,17,9,0,0,8,0,0,0,1,269,68,62,72,37,5
Android,googlesamples/android-BasicMediaDecoder,0,7,7,8,4,74,7,42,24,0,0,0,0,8,7,3,24,0,26,19,13,26,0,2,4,1,19,0,757,108,382,136,220,268,0,0,0,198,272,125,147,0,0,0,0,0,20,19,23,11,0,0,7,0,0,0,0,205,67,66,73,36,3
Android,googlesamples/android-codelab-watchface,0,5,5,7,5,57,4,42,9,0,0,0,0,21,0,16,81,0,81,81,88,81,0,0,26,0,55,0,1538,235,994,390,553,309,0,0,0,592,734,342,392,0,0,0,0,0,19,19,23,5,0,0,10,0,0,0,0,157,132,132,145,81,5
Android,googlesamples/android-CommitContentSampleApp,0,2,2,2,1,25,2,18,5,0,0,0,0,3,1,3,8,0,8,7,8,8,0,0,4,0,4,0,250,31,165,55,100,56,0,0,0,102,125,51,74,0,0,0,0,0,6,6,6,3,0,0,2,0,0,0,0,34,22,22,23,12,1
Android,googlesamples/android-CommitContentSampleIME,0,2,2,3,2,20,1,16,2,0,0,0,0,4,1,5,11,0,11,10,6,11,0,0,4,0,7,0,286,30,214,77,126,43,0,0,0,114,151,72,79,0,0,0,0,0,9,9,9,9,0,0,5,0,0,0,0,20,32,32,35,27,1
Android,googlesamples/android-ConfirmCredential,0,2,2,2,1,16,0,12,3,0,0,0,0,2,0,4,8,0,8,8,1,8,0,0,5,2,1,0,204,20,135,55,79,49,0,0,0,73,89,51,38,0,0,0,0,0,4,4,4,1,0,0,3,0,0,0,0,36,17,17,17,8,1
Android,googlesamples/android-CustomNotifications,0,1,1,1,1,29,3,10,16,0,0,0,0,1,0,0,3,0,3,3,0,3,0,0,1,1,1,0,125,16,47,29,23,62,0,0,0,34,39,26,13,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,32,4,4,4,3,1
