framework,path,current_version,next_version,framework_release_date (YYYY-DD-MM),sample_update_date (YYYY-DD-MM) ,delay_in_days
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.4.0.RELEASE,1.4.1.RELEASE,2016/21/09,2016/23/09,2
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.4.1.RELEASE,1.4.2.RELEASE,2016/08/11,2016/08/11,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.4.2.RELEASE,1.4.3.RELEASE,2016/23/12,2016/23/12,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.4.3.RELEASE,1.5.0.RELEASE,2017/30/01,2017/26/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.5.0.RELEASE,1.4.4.RELEASE,2017/26/01,2017/26/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.4.4.RELEASE,1.5.0.RELEASE,2017/30/01,2017/30/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.5.0.RELEASE,1.5.1.RELEASE,2017/30/01,2017/31/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.5.1.RELEASE,1.5.2.RELEASE,2017/03/03,2017/03/03,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.5.2.RELEASE,1.5.3.RELEASE,2017/21/04,2017/21/04,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.5.3.RELEASE,1.5.4.RELEASE,2017/08/06,2017/26/07,48
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,1.5.4.RELEASE,2.0.0.RELEASE,2018/01/03,2018/01/03,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.0.0.RELEASE,2.0.1.RELEASE,2018/05/04,2018/05/04,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.0.1.RELEASE,2.0.2.RELEASE,2018/09/05,2018/09/05,0
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.0.2.RELEASE,2.0.3.RELEASE,2018/14/06,2018/18/06,4
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.0.3.RELEASE,2.0.5.RELEASE,2018/12/09,2018/17/09,5
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.0.5.RELEASE,2.0.8.RELEASE,2019/11/01,2019/20/03,67
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.0.8.RELEASE,2.1.3.RELEASE,2019/15/02,2019/20/03,33
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.1.3.RELEASE,2.1.4.RELEASE,2019/04/04,2019/22/04,18
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.1.4.RELEASE,2.1.6.RELEASE,2019/18/06,2019/22/06,3
Spring,repositories/spring-guides/gs-spring-boot-docker/initial/pom.xml,2.1.6.RELEASE,2.2.1.RELEASE,2019/06/11,2019/19/11,12
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.2.3.RELEASE,1.2.4.RELEASE,2015/04/06,2015/09/06,5
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.2.4.RELEASE,1.2.5.RELEASE,2015/02/07,2015/02/07,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.2.5.RELEASE,1.2.6.RELEASE,2015/16/09,2015/20/09,4
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.2.6.RELEASE,1.2.7.RELEASE,2015/16/10,2015/16/10,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.2.7.RELEASE,1.3.0.RELEASE,2015/16/11,2015/16/11,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.0.RELEASE,1.3.1.RELEASE,2015/18/12,2015/18/12,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.1.RELEASE,1.3.2.RELEASE,2016/22/01,2016/22/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.2.RELEASE,1.3.3.RELEASE,2016/26/02,2016/26/02,0
