ecosystem,group,nameProject,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,numberOfJavaFiles,CountDeclFunction,CountDeclInstanceMethod,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,RelativeMethodPublic,RelativeLineCode,CyclomaticPerMethod,RelativeLineComment,Commit,Contributor,lifetime,lifetime per commit,LifetimePerCont,BC,relativeBC,NBC,relativeNBC,total
Android,BOTTOM,android-BasicNotifications,71,364,86,25,4,24,4,2018-11-05T13:11:50Z,2,5.0,5.0,5.0,0.0,0.0,1.0,4.0,158.0,24.0,50.0,29.0,21.0,85.0,143.0,5.0,5.0,5.0,0.8,0.32,1.0,0.54,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,BOTTOM,android-BasicMediaDecoder,51,7126,83,20,6,25,0,2018-11-11T13:15:43Z,3,26.0,19.0,26.0,2.0,4.0,1.0,19.0,757.0,108.0,382.0,136.0,220.0,268.0,205.0,67.0,66.0,73.0,0.73,0.5,2.54,0.35,25,2,1525,61.0,762.0,50,66.7,25,33.3,75
Android,BOTTOM,android-StorageProvider,46,653,82,20,5,26,1,2018-10-11T08:47:02Z,10,80.0,58.0,80.0,0.0,16.0,3.0,61.0,1524.0,209.0,735.0,297.0,402.0,582.0,512.0,134.0,129.0,136.0,0.76,0.48,1.61,0.38,26,1,1525,58.0,1525.0,0,0.0,0,0.0,0
Android,BOTTOM,android-AccelerometerPlay,53,3313,80,23,1,1,1,2018-11-03T12:52:47Z,1,22.0,22.0,22.0,1.0,1.0,4.0,16.0,429.0,52.0,264.0,122.0,146.0,114.0,43.0,39.0,36.0,40.0,0.73,0.62,1.64,0.27,1,1,799,799.0,799.0,0,0.0,0,0.0,0
Android,BOTTOM,android-BasicNetworking,70,361,80,30,0,24,0,2018-11-09T18:29:16Z,9,56.0,38.0,56.0,0.0,2.0,2.0,52.0,969.0,124.0,391.0,161.0,185.0,454.0,448.0,79.0,73.0,80.0,0.93,0.4,1.3,0.47,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,BOTTOM,android-ClippingBasic,25,448,80,20,0,25,1,2018-11-14T03:57:16Z,10,62.0,44.0,62.0,0.0,2.0,4.0,56.0,1039.0,145.0,446.0,186.0,213.0,448.0,437.0,81.0,76.0,81.0,0.9,0.43,1.23,0.43,25,3,1593,63.0,531.0,0,0.0,0,0.0,0
Android,BOTTOM,android-CardReader,60,615,77,26,1,24,1,2018-10-22T03:25:30Z,11,71.0,50.0,71.0,0.0,3.0,4.0,64.0,1194.0,148.0,521.0,230.0,250.0,525.0,443.0,98.0,93.0,98.0,0.9,0.44,1.31,0.44,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,BOTTOM,android-SwipeRefreshLayoutBasic,55,137,76,21,0,24,0,2018-10-31T09:14:38Z,13,101.0,79.0,101.0,10.0,7.0,9.0,75.0,1868.0,263.0,957.0,474.0,540.0,649.0,649.0,147.0,142.0,154.0,0.74,0.51,1.41,0.35,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,BOTTOM,android-BasicTransition,39,308,75,14,1,24,1,2018-11-07T01:14:02Z,11,87.0,66.0,87.0,10.0,5.0,6.0,66.0,1469.0,215.0,721.0,303.0,361.0,533.0,517.0,131.0,123.0,138.0,0.76,0.49,1.41,0.36,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,BOTTOM,android-Timer,58,357,75,31,0,27,0,2018-10-03T19:51:43Z,6,32.0,30.0,32.0,0.0,12.0,2.0,18.0,617.0,97.0,360.0,176.0,187.0,160.0,229.0,55.0,55.0,62.0,0.56,0.58,1.72,0.26,27,1,1474,54.0,1474.0,162,100.0,0,0.0,162
