framework,path,version
spring,repositories/spring-guides/gs-accessing-data-gemfire/complete/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-accessing-data-gemfire/initial/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-validating-form-input/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-validating-form-input/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-testing-restdocs/complete/pom.xml,2.2.0.RELEASE
spring,repositories/spring-guides/gs-testing-restdocs/initial/pom.xml,2.2.0.RELEASE
spring,repositories/spring-guides/gs-spring-boot-for-azure/complete/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-spring-boot-for-azure/initial/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-rest-hateoas/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-rest-hateoas/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-reactive-rest-service/complete/pom.xml,2.2.4.RELEASE
spring,repositories/spring-guides/gs-reactive-rest-service/initial/pom.xml,2.2.4.RELEASE
spring,repositories/spring-guides/gs-messaging-redis/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-messaging-redis/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-managing-transactions/complete/pom.xml,2.1.8.RELEASE
spring,repositories/spring-guides/gs-managing-transactions/initial/pom.xml,2.1.8.RELEASE
spring,repositories/spring-guides/gs-integration/complete/pom.xml,2.2.0.RELEASE
spring,repositories/spring-guides/gs-integration/initial/pom.xml,2.2.0.RELEASE
spring,repositories/spring-guides/gs-handling-form-submission/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-handling-form-submission/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-gateway/complete/pom.xml,2.1.7.RELEASE
spring,repositories/spring-guides/gs-gateway/initial/pom.xml,2.1.7.RELEASE
spring,repositories/spring-guides/gs-contract-rest/complete/contract-rest-service/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-contract-rest/complete/contract-rest-client/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-contract-rest/initial/contract-rest-service/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-contract-rest/initial/contract-rest-client/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-circuit-breaker/complete/bookstore/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-circuit-breaker/complete/reading/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-circuit-breaker/initial/bookstore/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-circuit-breaker/initial/reading/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-caching-gemfire/complete/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-caching-gemfire/initial/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-caching/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-caching/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-batch-processing/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-batch-processing/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-async-method/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-async-method/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-actuator-service/complete/pom.xml,2.2.2.RELEASE
