AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,394426c1239a341e51d91822f7e025063cd3e43a,2013-06-12 12:16:48-05:00,0.8671303987503052,0.5687646567821503
1.0,1.0,1.0,1.0,4.25,0.25,4.0,0.0,1.0,2.75,0.75,0.0,,0.5,0.0,,,,0.5,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,5.25,0.25,5.0,2.75,2.0,0.0,,,,2.0,4.0,2.75,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,class,,,394426c1239a341e51d91822f7e025063cd3e43a,2013-06-12 12:16:48-05:00,0.8671303987503052,0.5687646567821503
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,4.0,1.0,394426c1239a341e51d91822f7e025063cd3e43a,2013-06-12 12:16:48-05:00,0.8671303987503052,0.5687646567821503
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,68fd44911f3cce56f21c4b96391d2ff24167b5b7,2013-06-12 14:03:21-05:00,0.8671303987503052,0.5687646567821503
1.0,1.0,1.0,1.0,4.25,0.25,4.0,0.0,1.0,2.75,0.75,0.0,,0.5,0.0,,,,0.5,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,5.25,0.25,5.0,2.75,2.0,0.0,,,,2.0,4.0,2.75,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,class,,,68fd44911f3cce56f21c4b96391d2ff24167b5b7,2013-06-12 14:03:21-05:00,0.8671303987503052,0.5687646567821503
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,4.0,1.0,68fd44911f3cce56f21c4b96391d2ff24167b5b7,2013-06-12 14:03:21-05:00,0.8671303987503052,0.5687646567821503
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,bbb7d0f696c0bf5ee7ae3845d33afd5eac121b3c,2013-06-12 14:10:03-05:00,0.8671303987503052,0.5687646567821503
1.0,1.0,1.0,1.0,4.25,0.25,4.0,0.0,1.0,2.75,0.75,0.0,,0.5,0.0,,,,0.5,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,5.25,0.25,5.0,2.75,2.0,0.0,,,,2.0,4.0,2.75,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,class,,,bbb7d0f696c0bf5ee7ae3845d33afd5eac121b3c,2013-06-12 14:10:03-05:00,0.8671303987503052,0.5687646567821503
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,4.0,1.0,bbb7d0f696c0bf5ee7ae3845d33afd5eac121b3c,2013-06-12 14:10:03-05:00,0.8671303987503052,0.5687646567821503
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,332d33d1c9a4dbb939879c5c769229683619c314,2013-06-13 15:27:00-04:00,0.8671303987503052,0.5687646567821503
