framework,path,A,M,D,total_actions,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
spring,spring-guides/tut-rest,138,179,86,403,176,6,1,95,0,4,47,0,6,2,0,1,0,0,66,0,57,0,0,0
spring,spring-guides/gs-vault-config,38,415,6,459,13,18,12,147,6,4,74,0,0,4,0,4,0,0,177,149,147,0,0,0
spring,spring-guides/gs-spring-boot,42,593,5,640,43,22,16,170,8,52,94,0,0,3,1,4,0,0,231,167,170,0,0,0
spring,spring-guides/gs-rest-service,109,740,69,918,58,31,24,191,14,128,102,0,0,15,4,4,0,4,352,181,189,0,0,0
spring,spring-guides/gs-spring-boot-docker,41,348,6,395,14,17,17,95,7,0,75,0,0,4,1,6,0,0,160,98,95,0,0,0
spring,spring-guides/gs-scheduling-tasks,68,552,31,651,78,25,20,179,12,87,21,0,0,3,0,4,0,0,233,165,177,0,0,0
spring,spring-guides/gs-maven,30,154,7,191,13,2,2,26,0,36,67,0,1,3,0,4,0,0,39,0,26,0,0,0
spring,spring-guides/gs-crud-with-vaadin,43,293,1,337,62,13,11,107,8,0,20,0,0,1,0,4,0,0,117,90,107,0,0,0
spring,spring-guides/gs-uploading-files,76,644,26,746,97,33,20,174,12,62,89,0,3,3,0,4,0,0,253,174,174,0,0,0
spring,spring-guides/gs-testing-web,43,203,1,247,36,10,8,62,7,0,38,0,0,1,0,4,0,0,84,60,62,0,0,0
spring,spring-guides/gs-serving-web-content,46,520,8,574,22,23,14,158,8,52,77,0,0,3,0,4,0,0,217,160,158,0,0,0
spring,spring-guides/gs-service-registration-and-discovery,109,694,56,859,40,48,34,255,22,74,55,0,0,3,0,6,0,0,329,247,255,0,0,0
spring,spring-guides/gs-securing-web,123,638,78,839,72,26,20,250,12,71,91,0,0,3,0,4,0,0,295,169,170,0,0,0
spring,spring-guides/gs-rest-service-cors,63,464,19,546,28,17,14,145,8,8,86,0,0,11,4,4,0,2,220,152,145,0,0,0
spring,spring-guides/gs-relational-data-access,51,553,18,622,14,24,20,169,10,74,80,0,0,3,0,4,0,0,228,169,169,0,0,0
spring,spring-guides/gs-producing-web-service,51,471,9,531,32,18,12,154,8,4,92,0,0,3,0,4,0,0,206,164,152,0,0,0
spring,spring-guides/gs-multi-module,57,272,5,334,33,16,8,108,6,0,23,0,0,1,0,4,0,0,140,108,108,0,0,0
spring,spring-guides/gs-messaging-stomp-websocket,99,490,58,647,47,27,16,159,10,13,80,0,0,7,0,4,0,0,287,166,153,0,0,0
spring,spring-guides/gs-messaging-rabbitmq,59,571,22,652,46,27,20,167,10,67,87,0,0,3,1,4,0,0,226,165,167,0,0,0
spring,spring-guides/gs-messaging-jms,98,556,66,720,26,26,20,225,10,68,82,0,0,3,0,4,0,0,259,173,169,0,0,0
spring,spring-guides/gs-gradle,32,160,11,203,10,11,9,0,6,37,62,0,0,4,0,0,0,0,66,21,0,0,0,0
spring,spring-guides/gs-consuming-web-service,43,423,4,470,25,15,12,141,6,2,82,0,0,4,2,4,0,1,177,152,141,0,0,0
spring,spring-guides/gs-consuming-rest,55,581,18,654,30,23,18,178,10,64,89,0,0,3,0,4,0,0,242,172,178,0,0,0
spring,spring-guides/gs-client-side-load-balancing,67,559,27,653,18,30,26,210,16,4,75,0,0,3,2,6,0,0,263,221,210,0,0,0
spring,spring-guides/gs-centralized-configuration,125,691,71,887,41,63,40,246,26,74,65,0,0,4,0,4,0,0,332,243,246,0,0,0
spring,spring-guides/gs-authenticating-ldap,79,581,37,697,82,35,20,189,12,70,34,0,0,4,0,4,0,0,256,176,182,0,0,0
