framework,path,A,M,D,total_actions,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
google,googlesamples/android-AutofillFramework,14295,7223,1241,22759,795,36,1310,2986,2,24,0,2,57,0,2,0,91,980,17069,44,0,0,39,0
google,googlesamples/android-play-location,385,420,80,885,128,66,19,229,25,51,0,10,0,0,0,0,61,0,390,173,0,0,39,0
google,googlesamples/google-services,708,1386,451,2545,164,90,45,211,27,91,0,7,2,10,2,0,0,51,1961,382,0,0,32,0
google,googlesamples/easypermissions,79,439,15,533,251,26,13,42,4,51,0,0,0,0,0,0,0,0,149,88,0,0,11,0
google,googlesamples/android-testing,613,1467,51,2131,245,142,29,411,27,119,0,2,1,7,9,0,14,0,1333,819,0,0,131,0
google,googlesamples/android-Camera2Basic,88,88,6,182,20,13,2,59,2,25,0,6,2,0,0,0,9,0,72,28,0,0,8,0
google,googlesamples/android-credentials,109,42,0,151,30,9,4,37,4,9,0,0,0,1,0,0,0,0,57,18,0,0,4,0
google,googlesamples/android-EmojiCompat,62,27,1,90,7,8,2,15,2,8,0,2,0,0,0,0,7,0,39,15,0,0,3,0
google,googlesamples/android-instant-apps,607,581,331,1519,113,93,19,386,18,61,0,16,0,8,0,0,42,12,802,445,0,0,130,0
google,googlesamples/android-nearby,198,97,54,349,66,16,7,95,6,17,0,0,0,0,0,0,0,0,151,33,0,0,9,0
google,googlesamples/android-AppUsageStatistics,48,58,3,109,11,9,1,29,1,15,0,3,0,0,0,0,0,0,40,17,0,0,1,0
google,googlesamples/android-custom-lint-rules,51,39,6,96,23,11,7,2,3,12,0,0,0,0,0,0,3,0,39,19,0,0,2,0
google,googlesamples/android-play-billing,517,232,170,919,139,36,10,173,10,34,0,5,0,0,0,0,136,40,458,87,0,0,34,0
google,googlesamples/android-vision,221,141,5,367,127,30,9,82,9,5,0,1,0,0,0,0,0,0,118,57,0,0,22,0
google,googlesamples/android-ads,482,671,139,1292,232,108,14,309,18,66,0,22,0,0,0,0,0,16,632,274,0,0,86,0
google,googlesamples/android-SpeedTracker,93,168,92,353,57,14,3,79,3,24,0,4,0,0,0,0,0,0,169,83,0,0,17,0
google,googlesamples/android-BluetoothLeGatt,44,60,4,108,8,10,1,42,1,21,0,4,0,0,0,0,0,0,45,20,0,0,2,0
google,googlesamples/android-Camera2Raw,44,49,1,94,9,9,1,24,1,15,0,2,0,0,0,0,0,0,33,16,0,0,2,0
google,googlesamples/android-WifiRttScan,59,1,0,60,4,2,1,24,1,3,0,1,0,0,0,0,0,0,24,2,0,0,1,0
google,googlesamples/android-ActionBarCompat-ShareActionProvider,47,48,4,99,10,7,1,42,1,16,0,4,0,0,0,0,0,0,45,15,0,0,4,0
google,googlesamples/android-testdpc,660,1839,94,2593,1590,8,6,833,6,19,0,0,3,1,0,0,0,0,325,182,0,0,63,0
google,googlesamples/android-PictureInPicture,95,65,1,161,12,9,2,54,2,12,0,6,0,0,0,0,12,0,52,18,0,0,4,0
google,googlesamples/android-ActivitySceneTransitionBasic,57,69,56,182,29,11,4,53,2,21,0,6,0,0,0,0,0,0,56,22,0,0,4,0
google,googlesamples/android-Camera2Video,89,74,5,168,11,13,2,53,2,23,0,6,2,0,0,0,7,0,76,27,0,0,4,0
google,googlesamples/android-Notifications,153,95,28,276,62,5,1,53,1,12,0,3,0,0,0,0,0,0,166,28,0,0,7,0
google,googlesamples/android-BasicAccessibility,54,64,4,122,19,10,1,40,1,20,0,4,0,0,0,0,0,0,62,20,0,0,4,0
google,googlesamples/android-XYZTouristAttractions,136,175,135,446,65,12,3,123,3,18,0,5,0,0,0,0,0,0,218,71,0,0,14,0
google,googlesamples/android-WearVerifyRemoteApp,49,45,48,142,12,9,2,42,2,10,0,2,0,0,0,0,0,0,63,28,0,0,5,0
