framework,path,number_of_forks,forks_ahead,ratio
Android,googlesamples/android-CardView,211,5,0.023696682464454975
Android,googlesamples/android-CardReader,71,2,0.028169014084507043
Android,googlesamples/android-CardEmulation,81,6,0.07407407407407407
Android,googlesamples/android-BorderlessButtons,53,0,0.0
Android,googlesamples/android-BluetoothAdvertisements,124,9,0.07258064516129033
Android,googlesamples/android-BeamLargeFiles,33,0,0.0
Android,googlesamples/android-BatchStepSensor,45,1,0.022222222222222223
Android,googlesamples/android-BasicTransition,43,1,0.023255813953488372
Android,googlesamples/android-BasicSyncAdapter,125,6,48
Android,googlesamples/android-BasicNotifications,76,6,0.07894736842105263
Android,googlesamples/android-BasicNetworking,81,1,0.012345679012345678
Android,googlesamples/android-BasicMultitouch,30,3,0.1
Android,googlesamples/android-BasicMediaRouter,26,0,0.0
Android,googlesamples/android-BasicMediaDecoder,68,2,0.029411764705882353
Android,googlesamples/android-BasicManagedProfile,71,2,0.028169014084507043
Android,googlesamples/android-BasicImmersiveMode,19,1,0.05263157894736842
Android,googlesamples/android-BasicGestureDetect,69,24,0.34782608695652173
Android,googlesamples/android-BasicContactables,31,1,0.03225806451612903
Android,googlesamples/android-BasicAndroidKeyStore,54,2,0.037037037037037035
Android,googlesamples/android-AutoBackupForApps,27,2,0.07407407407407407
Android,googlesamples/android-AsymmetricFingerprintDialog,90,1,0.011111111111111112
Android,googlesamples/android-AppShortcuts,174,9,0.05172413793103448
Android,googlesamples/android-AppRestrictionSchema,22,0,0.0
Android,googlesamples/android-AppRestrictions,23,1,0.043478260869565216
Android,googlesamples/android-AppRestrictionEnforcer,32,0,0.0
Android,googlesamples/android-AdvancedImmersiveMode,32,1,0.03125
Android,googlesamples/android-ActiveNotifications,92,2,0.021739130434782608
Android,googlesamples/android-ActionBarCompat-Styled,49,0,0.0
Android,googlesamples/android-ActionBarCompat-ListPopupMenu,42,0,0.0
Android,googlesamples/android-ActionBarCompat-Basic,39,1,0.02564102564102564
Android,googlesamples/android-key-attestation,16,1,0.0625
