framework,full_name
Android,googlesamples/android-AutofillFramework 
Android,googlesamples/android-play-location 
Android,googlesamples/google-services 
Android,googlesamples/easypermissions 
Android,googlesamples/android-testing 
Android,googlesamples/android-Camera2Basic 
Android,googlesamples/android-credentials 
Android,googlesamples/android-EmojiCompat 
Android,googlesamples/android-instant-apps 
Android,googlesamples/android-nearby 
Android,googlesamples/android-AppUsageStatistics 
Android,googlesamples/android-custom-lint-rules 
Android,googlesamples/android-play-billing 
Android,googlesamples/android-vision 
Android,googlesamples/android-ads 
Android,googlesamples/android-SpeedTracker 
Android,googlesamples/android-BluetoothLeGatt 
Android,googlesamples/android-Camera2Raw 
Android,googlesamples/android-WifiRttScan 
Android,googlesamples/android-ActionBarCompat-ShareActionProvider 
Android,googlesamples/android-testdpc 
Android,googlesamples/android-PictureInPicture 
Android,googlesamples/android-ActivitySceneTransitionBasic 
Android,googlesamples/android-Camera2Video 
Android,googlesamples/android-Notifications 
Android,googlesamples/android-BasicAccessibility 
Android,googlesamples/android-XYZTouristAttractions 
Android,googlesamples/android-WearVerifyRemoteApp 
Android,googlesamples/android-WearSpeakerSample 
Android,googlesamples/android-WearHighBandwidthNetworking 
Android,googlesamples/android-WearDrawers 
Android,googlesamples/android-WearComplicationProvidersTestSuite 
Android,googlesamples/android-WearAccessibilityApp 
Android,googlesamples/android-WatchFace 
Android,googlesamples/android-RuntimePermissionsWear 
Android,googlesamples/android-JumpingJack 
Android,googlesamples/android-DataLayer 
Android,googlesamples/android-AlwaysOn 
Android,googlesamples/android-MediaEffects 
Android,googlesamples/android-DirectBoot 
Android,googlesamples/leanback-showcase 
Android,googlesamples/android-MessagingService 
Android,googlesamples/androidtv-sample-inputs 
Android,googlesamples/leanback-homescreen-channels 
Android,googlesamples/android-play-publisher-api 
Android,googlesamples/androidtv-Leanback 
Android,googlesamples/android-BluetoothChat 
Android,googlesamples/android-MediaRecorder 
Android,googlesamples/android-fit 
Android,googlesamples/android-DisplayingBitmaps 
Android,googlesamples/android-testing-templates 
Android,googlesamples/android-ActivityInstrumentation 
