,framework,sample,watcher,watcher_repo
214942,googlearchive,googlearchive/android-Camera2Basic,lvm0306,lvm0306/MTextureView
214982,googlearchive,googlearchive/android-Camera2Basic,linceln,linceln/android-Camera2Basic
215072,googlearchive,googlearchive/android-Camera2Basic,renhui,renhui/RHCamera2
215322,googlearchive,googlearchive/android-Camera2Basic,mikelhpdatke,mikelhpdatke/HighCameraFPS
215327,googlearchive,googlearchive/android-Camera2Basic,liuq96,liuq96/MediaLearn
215356,googlearchive,googlearchive/android-Camera2Basic,qinxiandiqi,qinxiandiqi/Camera2Demo
215603,googlearchive,googlearchive/android-Camera2Basic,dmitriy-chernysh,dmitriy-chernysh/sm.camera.demo
215744,googlearchive,googlearchive/android-Camera2Basic,yeecho,yeecho/MvpDemo
215751,googlearchive,googlearchive/android-Camera2Basic,alguojian,alguojian/AndroidCustomizeCamera
215836,googlearchive,googlearchive/android-Camera2Basic,and2long,and2long/FaceCompare
215970,googlearchive,googlearchive/android-Camera2Basic,hcz017,hcz017/android-Camera2Basic
215998,googlearchive,googlearchive/android-Camera2Basic,SomebodyLuo,SomebodyLuo/My_AS_Ku_Dan
216003,googlearchive,googlearchive/android-Camera2Basic,AndGirl,AndGirl/BaseDemo
216129,googlearchive,googlearchive/android-Camera2Basic,pnbd,pnbd/FilmDig
216160,googlearchive,googlearchive/android-Camera2Basic,EdgarNg1024,EdgarNg1024/wk
216324,googlearchive,googlearchive/android-Camera2Basic,wangcan26,wangcan26/CameraCVGLView
216356,googlearchive,googlearchive/android-Camera2Basic,capsane,capsane/SimpleCamera
216631,googlearchive,googlearchive/android-Camera2Basic,teacherMa,teacherMa/CameraDemo
216649,googlearchive,googlearchive/android-Camera2Basic,SelfImprLYJ,SelfImprLYJ/MyCamera
216677,googlearchive,googlearchive/android-Camera2Basic,way1989,way1989/android-Camera2Basic
216682,googlearchive,googlearchive/android-Camera2Basic,way1989,way1989/ApeHeartRate
216689,googlearchive,googlearchive/android-Camera2Basic,way1989,way1989/Camera2Raw
216972,googlearchive,googlearchive/android-Camera2Basic,Nickyaozc,Nickyaozc/instagram
216974,googlearchive,googlearchive/android-Camera2Basic,doctorji,doctorji/androidvideomusic
217054,googlearchive,googlearchive/android-Camera2Basic,TakayukiHoshi1984,TakayukiHoshi1984/DeviceConnect-AndroidSandbox
217314,googlearchive,googlearchive/android-Camera2Basic,fanluo,fanluo/BaiduOCR
217533,googlearchive,googlearchive/android-Camera2Basic,july1992,july1992/hevc-h265-camera2-mediacodc-
217547,googlearchive,googlearchive/android-Camera2Basic,july1992,july1992/VideoDemo1
217584,googlearchive,googlearchive/android-Camera2Basic,lucloner,lucloner/baiduFaceSDK
217591,googlearchive,googlearchive/android-Camera2Basic,lucloner,lucloner/Zhao-s_Project
217908,googlearchive,googlearchive/android-Camera2Basic,Blossomyyh,Blossomyyh/QRcode
217920,googlearchive,googlearchive/android-Camera2Basic,ChanningJacobs,ChanningJacobs/roomtips-android
217924,googlearchive,googlearchive/android-Camera2Basic,nerjok,nerjok/timemanager
218010,googlearchive,googlearchive/android-Camera2Basic,MinorPeng,MinorPeng/LearnDemo
218039,googlearchive,googlearchive/android-Camera2Basic,pritesh25,pritesh25/MyJetpackExample
218104,googlearchive,googlearchive/android-Camera2Basic,huang122124,huang122124/GrduateDesign
218404,googlearchive,googlearchive/android-Camera2Basic,66668,66668/googleDemo_Camera2
218412,googlearchive,googlearchive/android-Camera2Basic,66668,66668/MediaPlayerDemo
218442,googlearchive,googlearchive/android-Camera2Basic,feisher,feisher/CamTest2
218609,googlearchive,googlearchive/android-Camera2Basic,xuexiangjys,xuexiangjys/mace_demo
218802,googlearchive,googlearchive/android-Camera2Basic,JYangkai,JYangkai/Player
219014,googlearchive,googlearchive/android-Camera2Basic,xinchen281158,xinchen281158/Camera2SampleDemo
219034,googlearchive,googlearchive/android-Camera2Basic,Frank1481906280,Frank1481906280/GlCV4Android
219092,googlearchive,googlearchive/android-Camera2Basic,Memory-Z,Memory-Z/Z_inz
219095,googlearchive,googlearchive/android-Camera2Basic,swolf0011,swolf0011/NYBase
219203,googlearchive,googlearchive/android-Camera2Basic,nicochofly,nicochofly/Test4Camera2
219319,googlearchive,googlearchive/android-Camera2Basic,Fitz01110001,Fitz01110001/FitzCamera
219323,googlearchive,googlearchive/android-Camera2Basic,FDoubleman,FDoubleman/Camera2
219328,googlearchive,googlearchive/android-Camera2Basic,FDoubleman,FDoubleman/shudu
219361,googlearchive,googlearchive/android-Camera2Basic,wangshengyang1996,wangshengyang1996/Camera2Demo
219366,googlearchive,googlearchive/android-Camera2Basic,wangshengyang1996,wangshengyang1996/GLCameraDemo
219551,googlearchive,googlearchive/android-Camera2Basic,DengQiSong,DengQiSong/VideoStudy
219638,googlearchive,googlearchive/android-Camera2Basic,mm-sgf,mm-sgf/EsCamera
219646,googlearchive,googlearchive/android-Camera2Basic,mm-sgf,mm-sgf/MediaSimple
219963,googlearchive,googlearchive/android-Camera2Basic,MrYeLiang,MrYeLiang/Android-Camera2-Preview
220034,googlearchive,googlearchive/android-Camera2Basic,lzhm216,lzhm216/AndroidTest
220067,googlearchive,googlearchive/android-Camera2Basic,matyignacio,matyignacio/AguasRiojanas
220069,googlearchive,googlearchive/android-Camera2Basic,matyignacio,matyignacio/PresionAguasRiojanas
220136,googlearchive,googlearchive/android-Camera2Basic,garyckhsu,garyckhsu/Camera2Test
220202,googlearchive,googlearchive/android-Camera2Basic,zhuchuanwu,zhuchuanwu/hc_camera
220374,googlearchive,googlearchive/android-Camera2Basic,DongSu-Park,DongSu-Park/SNS_Project
220447,googlearchive,googlearchive/android-Camera2Basic,lqxue,lqxue/CameraPreview
220497,googlearchive,googlearchive/android-Camera2Basic,tunmengsmile,tunmengsmile/camera2
220610,googlearchive,googlearchive/android-Camera2Basic,vaisaga,vaisaga/ArcfaceDemo_support_AndroidCamera2
220684,googlearchive,googlearchive/android-Camera2Basic,alex4dev,alex4dev/MyInstaClone
220779,googlearchive,googlearchive/android-Camera2Basic,ProgrammerBill,ProgrammerBill/AndroidSimpleDemos
220780,googlearchive,googlearchive/android-Camera2Basic,XuHg-zjcn,XuHg-zjcn/SH-3DScaner
220823,googlearchive,googlearchive/android-Camera2Basic,YufanWangYuki,YufanWangYuki/Android_CU
221098,googlearchive,googlearchive/android-Camera2Basic,jebai0521,jebai0521/CameraSampleXXX
221195,googlearchive,googlearchive/android-Camera2Basic,nikenking,nikenking/Camera2BasicDemo
221415,googlearchive,googlearchive/android-Camera2Basic,Alvin3225,Alvin3225/CaptureDemo
221609,googlearchive,googlearchive/android-ElevationBasic,morristech,morristech/ModuleLoader
221817,googlearchive,googlearchive/android-ElevationBasic,baoyongzhang,baoyongzhang/BeanPaste
221923,googlearchive,googlearchive/android-ElevationBasic,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
221927,googlearchive,googlearchive/android-ElevationBasic,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
222226,googlearchive,googlearchive/android-ClippingBasic,morristech,morristech/ModuleLoader
222300,googlearchive,googlearchive/android-ClippingBasic,baoyongzhang,baoyongzhang/BeanPaste
222392,googlearchive,googlearchive/android-ClippingBasic,jibuji,jibuji/android-tint-demos
222449,googlearchive,googlearchive/android-ClippingBasic,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
222453,googlearchive,googlearchive/android-ClippingBasic,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
222559,googlearchive,googlearchive/android-ClippingBasic,subinkrishna,subinkrishna/SlidingTabsBasicSample
222589,googlearchive,googlearchive/android-ClippingBasic,raghunandankavi2010,raghunandankavi2010/SamplesAndroid
222596,googlearchive,googlearchive/android-ClippingBasic,dejavu1988,dejavu1988/Android-SyncAdapterDemo
223052,googlearchive,googlearchive/android-ClippingBasic,gavinliu,gavinliu/Android-Demos
223395,googlearchive,googlearchive/androidtv-VisualGameController,oksep,oksep/Demo
223474,googlearchive,googlearchive/androidtv-VisualGameController,xiaoyanit,xiaoyanit/guitai
223744,googlearchive,googlearchive/android-NavigationDrawer,morristech,morristech/ModuleLoader
224035,googlearchive,googlearchive/android-NavigationDrawer,johnjohndoe,johnjohndoe/Android-Developers-Samples
224042,googlearchive,googlearchive/android-NavigationDrawer,johnjohndoe,johnjohndoe/BasicContactables
224153,googlearchive,googlearchive/android-NavigationDrawer,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
224157,googlearchive,googlearchive/android-NavigationDrawer,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
224390,googlearchive,googlearchive/android-NavigationDrawer,subinkrishna,subinkrishna/SlidingTabsBasicSample
224555,googlearchive,googlearchive/android-NavigationDrawer,afarber,afarber/android-questions
224656,googlearchive,googlearchive/android-NavigationDrawer,androidboss,androidboss/NavigationDrawer
224661,googlearchive,googlearchive/android-NavigationDrawer,androidboss,androidboss/SparseArrayTest
224838,googlearchive,googlearchive/android-NavigationDrawer,hustjs,hustjs/AndroidPractice
225630,googlearchive,googlearchive/identity-toolkit-android,ameijer,ameijer/NostalgiaApp
229888,googlearchive,googlearchive/android-PdfRendererBasic,zfanji,zfanji/UserManual-PdfRenderer
239358,googlearchive,googlearchive/android-DoneBar,androidboss,androidboss/NavigationDrawer
240262,googlearchive,googlearchive/android-MediaRouter,liqy,liqy/Hello-RxJava
240519,googlearchive,googlearchive/android-MediaRouter,vtchkn,vtchkn/android-BasicAccessibility
240946,googlearchive,googlearchive/android-RepeatingAlarm,yhdesai,yhdesai/BluetoothChat
240947,googlearchive,googlearchive/android-RepeatingAlarm,yhdesai,yhdesai/BorderlessButtons
241428,googlearchive,googlearchive/android-SlidingTabsColors,morristech,morristech/ModuleLoader
241595,googlearchive,googlearchive/android-SlidingTabsColors,vojkovladimir,vojkovladimir/ZNU-Schedule
241636,googlearchive,googlearchive/android-SlidingTabsColors,subinkrishna,subinkrishna/SlidingTabsBasicSample
241657,googlearchive,googlearchive/android-SlidingTabsColors,cherifyass,cherifyass/Smart-ebike
242095,googlearchive,googlearchive/android-SlidingTabsColors,liqy,liqy/Hello-RxJava
242173,googlearchive,googlearchive/android-SlidingTabsColors,pranavlathigara,pranavlathigara/ACN-Android-Framework
242228,googlearchive,googlearchive/android-SlidingTabsColors,jacobabrahamb4,jacobabrahamb4/android-source-codes
242321,googlearchive,googlearchive/android-SlidingTabsColors,iseegr8tfuldeadppl,iseegr8tfuldeadppl/TiabIsHard
242459,googlearchive,googlearchive/android-StorageProvider,morristech,morristech/ModuleLoader
243085,googlearchive,googlearchive/android-SwipeRefreshListFragment,morristech,morristech/coinbase-android
243140,googlearchive,googlearchive/android-SwipeRefreshListFragment,morristech,morristech/LOLCode
243150,googlearchive,googlearchive/android-SwipeRefreshListFragment,morristech,morristech/ModuleLoader
243406,googlearchive,googlearchive/android-SwipeRefreshListFragment,subinkrishna,subinkrishna/SlidingTabsBasicSample
243478,googlearchive,googlearchive/android-SwipeRefreshListFragment,droibit,droibit/AndroidWearSamples.Xamarin
243501,googlearchive,googlearchive/android-SwipeRefreshListFragment,dejavu1988,dejavu1988/Android-SyncAdapterDemo
243574,googlearchive,googlearchive/android-SwipeRefreshListFragment,PanGuDaShen,PanGuDaShen/Android-NiceTab-Ri
243904,googlearchive,googlearchive/android-SwipeRefreshListFragment,wgl0419,wgl0419/MarketTest
243905,googlearchive,googlearchive/android-SwipeRefreshListFragment,wgl0419,wgl0419/myQQ_Android
244135,googlearchive,googlearchive/android-TextLinkify,morristech,morristech/ModuleLoader
244674,googlearchive,googlearchive/android-TextLinkify,liqy,liqy/Hello-RxJava
245087,googlearchive,googlearchive/android-TextLinkify,MariShunxiang,MariShunxiang/AndroidSamples
245995,googlearchive,googlearchive/android-MediaEffects,morristech,morristech/ModuleLoader
246090,googlearchive,googlearchive/android-MediaEffects,crossle,crossle/MediaPlayerSurface
246197,googlearchive,googlearchive/android-MediaEffects,ivoryworks,ivoryworks/PGMA
246441,googlearchive,googlearchive/android-MediaEffects,MaTriXy,MaTriXy/Course-Exercises
246484,googlearchive,googlearchive/android-MediaEffects,subinkrishna,subinkrishna/SlidingTabsBasicSample
246544,googlearchive,googlearchive/android-MediaEffects,GuiTom,GuiTom/sampleCode_Android_Opengl-ES-Book
247568,googlearchive,googlearchive/android-CardView,hpsoar,hpsoar/AndroidDemos
250289,googlearchive,googlearchive/android-HdrViewfinder,jkYishon,jkYishon/android6.0
250493,googlearchive,googlearchive/android-HdrViewfinder,uncannyRishabh,uncannyRishabh/HdrViewfinder_ft._TextureView
251768,googlearchive,googlearchive/android-MediaBrowserService,nazmulidris,nazmulidris/mediasession-mediaplayer
252485,googlearchive,googlearchive/android-MediaBrowserService,leejh3224,leejh3224/MediaPlayerAndroid
252527,googlearchive,googlearchive/android-MediaBrowserService,wq316476051,wq316476051/Demo4Any
252698,googlearchive,googlearchive/android-MediaBrowserService,mitchtabian,mitchtabian/Spotify-Clone
252919,googlearchive,googlearchive/android-MediaBrowserService,konatsup,konatsup/MusicAppAndroid
253070,googlearchive,googlearchive/android-MediaBrowserService,Shubham7819,Shubham7819/Application080719
253213,googlearchive,googlearchive/android-MediaBrowserService,KewenC,KewenC/MediaMusic
253876,googlearchive,googlearchive/attendee-checkin,morristech,morristech/coinbase-android
253931,googlearchive,googlearchive/attendee-checkin,morristech,morristech/LOLCode
256914,googlearchive,googlearchive/android-FingerprintDialog,MaTriXy,MaTriXy/AuthenticationExample
259067,googlearchive,googlearchive/android-FingerprintDialog,kaihavice,kaihavice/mynote
259171,googlearchive,googlearchive/android-FingerprintDialog,siddeshpillai,siddeshpillai/background-service
262411,spring-guides,spring-guides/tut-rest,afeiluo,afeiluo/web_spring_boot
262681,spring-guides,spring-guides/tut-rest,RezaGholamzad,RezaGholamzad/spring.io
262713,spring-guides,spring-guides/tut-rest,hankh0412,hankh0412/rest-jpa
262882,spring-guides,spring-guides/tut-rest,karolpawlak,karolpawlak/Springboot-REST-API
263987,spring-guides,spring-guides/tut-rest,garzarobm,garzarobm/TTS8Weeks
264118,spring-guides,spring-guides/tut-rest,NawafSwe,NawafSwe/Payroll
264121,spring-guides,spring-guides/tut-rest,NawafSwe,NawafSwe/spring-boot
264238,spring-guides,spring-guides/tut-rest,escapin,escapin/spring-rest-service
264415,spring-guides,spring-guides/tut-rest,SatYu26,SatYu26/PayRoll-API
265288,googlearchive,googlearchive/android-Camera2Video,IvonLiu,IvonLiu/fishackathon-2016
265289,googlearchive,googlearchive/android-Camera2Video,IvonLiu,IvonLiu/focal-distance
265303,googlearchive,googlearchive/android-Camera2Video,morristech,morristech/android-9358-app
265533,googlearchive,googlearchive/android-Camera2Video,dh06IRL,dh06IRL/AgilCam-Android
265676,googlearchive,googlearchive/android-Camera2Video,anthonyburdi,anthonyburdi/Android-Data-Logger
265677,googlearchive,googlearchive/android-Camera2Video,anthonyburdi,anthonyburdi/computer-vision-demo
265805,googlearchive,googlearchive/android-Camera2Video,kmturley,kmturley/cordova-plugin-media-custom
265936,googlearchive,googlearchive/android-Camera2Video,eneim,eneim/Wordy
266030,googlearchive,googlearchive/android-Camera2Video,ameijer,ameijer/NostalgiaApp
266091,googlearchive,googlearchive/android-Camera2Video,yung-yu,yung-yu/Camera2ApiDemo
266220,googlearchive,googlearchive/android-Camera2Video,abhinav-adtechs,abhinav-adtechs/GDG-IWD-ServerSide
266233,googlearchive,googlearchive/android-Camera2Video,abhinav-adtechs,abhinav-adtechs/PractoHackApp
266236,googlearchive,googlearchive/android-Camera2Video,abhinav-adtechs,abhinav-adtechs/RxMapFuncs
266238,googlearchive,googlearchive/android-Camera2Video,abhinav-adtechs,abhinav-adtechs/server-side-extended
266334,googlearchive,googlearchive/android-Camera2Video,YoungLeeForeverBoy,YoungLeeForeverBoy/nina
266797,googlearchive,googlearchive/android-Camera2Video,abertschi,abertschi/memory-lane
266904,googlearchive,googlearchive/android-Camera2Video,mohanrajsambath,mohanrajsambath/CameraWorkSapce
266920,googlearchive,googlearchive/android-Camera2Video,mohanrajsambath,mohanrajsambath/MyWorkspace
266978,googlearchive,googlearchive/android-Camera2Video,xiaye13579,xiaye13579/VideoRecorder
267011,googlearchive,googlearchive/android-Camera2Video,DonLiangGit,DonLiangGit/Facetrack
267058,googlearchive,googlearchive/android-Camera2Video,rahul-lohra,rahul-lohra/Selfie-App
267126,googlearchive,googlearchive/android-Camera2Video,lizhifeng-sky,lizhifeng-sky/RecordVideo
267130,googlearchive,googlearchive/android-Camera2Video,lizhifeng-sky,lizhifeng-sky/VideoEdit
267239,googlearchive,googlearchive/android-Camera2Video,vtthach,vtthach/20170106_Sample_CameraModule
267272,googlearchive,googlearchive/android-Camera2Video,MartinRGB,MartinRGB/android_camera_experiment
267331,googlearchive,googlearchive/android-Camera2Video,werbhelius,werbhelius/MediaUtils
267365,googlearchive,googlearchive/android-Camera2Video,therajanmaurya,therajanmaurya/Remote-Camera-App
267533,googlearchive,googlearchive/android-Camera2Video,hzbcdut,hzbcdut/FlashLight
268033,googlearchive,googlearchive/android-Camera2Video,GDPCCoder,GDPCCoder/Study
268071,googlearchive,googlearchive/android-Camera2Video,lytcom,lytcom/Camera2Kit
268072,googlearchive,googlearchive/android-Camera2Video,lytcom,lytcom/CameraKitView
268105,googlearchive,googlearchive/android-Camera2Video,jitarun,jitarun/material-camera-master
268119,googlearchive,googlearchive/android-Camera2Video,Edeneast13,Edeneast13/AmberCam
268169,googlearchive,googlearchive/android-Camera2Video,baby518,baby518/CameraChecker
268196,googlearchive,googlearchive/android-Camera2Video,floatingmuseum,floatingmuseum/FloatingMuseum
268426,googlearchive,googlearchive/android-Camera2Video,AhmedNader65,AhmedNader65/Pro-autocue-Android-Teleprompter
268446,googlearchive,googlearchive/android-Camera2Video,wangrling,wangrling/appscoll
268447,googlearchive,googlearchive/android-Camera2Video,wangrling,wangrling/camera
268449,googlearchive,googlearchive/android-Camera2Video,wangrling,wangrling/MultiMedia
268670,googlearchive,googlearchive/android-Camera2Video,JoeAndroid,JoeAndroid/ShortVideo
268719,googlearchive,googlearchive/android-Camera2Video,13767004362,13767004362/Camera2App
268954,googlearchive,googlearchive/android-Camera2Video,huyn,huyn/opencv
269296,googlearchive,googlearchive/android-Camera2Video,mikelhpdatke,mikelhpdatke/HighCameraFPS
269313,googlearchive,googlearchive/android-Camera2Video,Neilcc,Neilcc/ZMulitimedia
269461,googlearchive,googlearchive/android-Camera2Video,action-hong,action-hong/VideoAudioStudy
269658,googlearchive,googlearchive/android-Camera2Video,Nanamare,Nanamare/android_pose_estimation_mace
269798,googlearchive,googlearchive/android-Camera2Video,WangLavida,WangLavida/MediaDemo
270081,googlearchive,googlearchive/android-Camera2Video,zhaweijin,zhaweijin/camera
270288,googlearchive,googlearchive/android-Camera2Video,LEEHOR,LEEHOR/fanoftruck
270302,googlearchive,googlearchive/android-Camera2Video,LEEHOR,LEEHOR/Three
270573,googlearchive,googlearchive/android-Camera2Video,thinkermsandi,thinkermsandi/uno-capture
270579,googlearchive,googlearchive/android-Camera2Video,caiminjie,caiminjie/DualStreamDemo
270734,googlearchive,googlearchive/android-Camera2Video,JYangkai,JYangkai/Player
270767,googlearchive,googlearchive/android-Camera2Video,yuqianglianshou,yuqianglianshou/RecordVideoDemo
270826,googlearchive,googlearchive/android-Camera2Video,LillteZheng,LillteZheng/Camera
270897,googlearchive,googlearchive/android-Camera2Video,nicochofly,nicochofly/Test4Camera2
270911,googlearchive,googlearchive/android-Camera2Video,Fitz01110001,Fitz01110001/FitzCamera
270917,googlearchive,googlearchive/android-Camera2Video,Memory-Z,Memory-Z/Z_inz
271019,googlearchive,googlearchive/android-Camera2Video,mm-sgf,mm-sgf/EsCamera
271027,googlearchive,googlearchive/android-Camera2Video,mm-sgf,mm-sgf/MediaSimple
271162,googlearchive,googlearchive/android-Camera2Video,parsa-ra,parsa-ra/camera2-sync-imu
271217,googlearchive,googlearchive/android-Camera2Video,swolf0011,swolf0011/NYBase
271282,googlearchive,googlearchive/android-Camera2Video,nansir,nansir/BaseCamera2
271299,googlearchive,googlearchive/android-Camera2Video,nansir,nansir/SuperCamera
271305,googlearchive,googlearchive/android-Camera2Video,nansir,nansir/WisdomSite
271313,googlearchive,googlearchive/android-Camera2Video,vaisaga,vaisaga/ArcfaceDemo_support_AndroidCamera2
271412,googlearchive,googlearchive/android-Camera2Video,SomebodyLuo,SomebodyLuo/My_AS_Ku_Dan
271641,googlearchive,googlearchive/android-Camera2Video,Alvin3225,Alvin3225/CaptureDemo
272502,googlearchive,googlearchive/androidtv-Leanback,dextorer,dextorer/BuildingForAndroidTV
273134,googlearchive,googlearchive/androidtv-Leanback,hitherejoe,hitherejoe/AndroidTvBoilerplate
273150,googlearchive,googlearchive/androidtv-Leanback,hitherejoe,hitherejoe/PictureInPicturePlayground
273986,googlearchive,googlearchive/androidtv-Leanback,kibotu,kibotu/common.android.utils
275000,googlearchive,googlearchive/androidtv-Leanback,songwenju,songwenju/AndroidTVStudy
277971,googlearchive,googlearchive/android-JobScheduler,morristech,morristech/ModuleLoader
278104,googlearchive,googlearchive/android-JobScheduler,baoyongzhang,baoyongzhang/BeanPaste
278496,googlearchive,googlearchive/android-JobScheduler,brandhill,brandhill/AndroidExample
278676,googlearchive,googlearchive/android-JobScheduler,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
278680,googlearchive,googlearchive/android-JobScheduler,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
278857,googlearchive,googlearchive/android-JobScheduler,wangyun137,wangyun137/BitmapCache
279017,googlearchive,googlearchive/android-JobScheduler,TonyTangAndroid,TonyTangAndroid/SlidingTabsBasic
279250,googlearchive,googlearchive/android-JobScheduler,liqy,liqy/Hello-RxJava
279435,googlearchive,googlearchive/android-JobScheduler,dejavu1988,dejavu1988/Android-SyncAdapterDemo
279722,googlearchive,googlearchive/android-JobScheduler,Leaking,Leaking/Android_Learning_Demo
279784,googlearchive,googlearchive/android-JobScheduler,owenlwg,owenlwg/AndroidProgramGuide
279920,googlearchive,googlearchive/android-JobScheduler,ChenQingZhen,ChenQingZhen/BluetoothProj
280329,googlearchive,googlearchive/android-JobScheduler,ha271923,ha271923/BluetoothBLEChat
280333,googlearchive,googlearchive/android-JobScheduler,ha271923,ha271923/MyBasicAppComponents
280870,googlearchive,googlearchive/android-JobScheduler,ainiyiwan,ainiyiwan/GoogleNotificationStudy
281232,googlearchive,googlearchive/android-JobScheduler,NatureDay,NatureDay/DisplayingBitmaps
281570,googlearchive,googlearchive/android-JobScheduler,iamliujie1023,iamliujie1023/myDemo
281744,googlearchive,googlearchive/android-JobScheduler,Ericliu001,Ericliu001/PlaySyncAdapter
282934,googlearchive,googlearchive/android-JobScheduler,narakai,narakai/ConstraintLayoutExamples
283687,googlearchive,googlearchive/android-JobScheduler,raghunandankavi2010,raghunandankavi2010/SamplesAndroid
285760,googlearchive,googlearchive/android-FloatingActionButtonBasic,vicmns,vicmns/InboxLikeFabs
285762,googlearchive,googlearchive/android-FloatingActionButtonBasic,vicmns,vicmns/MaterialShowcaseView
285797,googlearchive,googlearchive/android-FloatingActionButtonBasic,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
285801,googlearchive,googlearchive/android-FloatingActionButtonBasic,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
285977,googlearchive,googlearchive/android-FloatingActionButtonBasic,morristech,morristech/ModuleLoader
286447,googlearchive,googlearchive/android-FloatingActionButtonBasic,wangyun137,wangyun137/BitmapCache
286744,googlearchive,googlearchive/android-FloatingActionButtonBasic,tun-lin,tun-lin/HappyShop
287584,googlearchive,googlearchive/android-ActionBarCompat-ShareActionProvider,zaenury,zaenury/android-ActionBarCompat-ShareActionProvider
288011,googlearchive,googlearchive/android-BasicNetworking,morristech,morristech/ModuleLoader
288551,googlearchive,googlearchive/android-BluetoothLeGatt,seanpenney,seanpenney/senior_project
288711,googlearchive,googlearchive/android-BluetoothLeGatt,androidroadies,androidroadies/My-Examples-Demo-
288813,googlearchive,googlearchive/android-BluetoothLeGatt,evan2048,evan2048/Phantom2Vplus_Voicecontrol_AAT
288814,googlearchive,googlearchive/android-BluetoothLeGatt,Fakher-Hakim,Fakher-Hakim/android-BluetoothLeGatt
288960,googlearchive,googlearchive/android-BluetoothLeGatt,gujiaogu,gujiaogu/BluetoothLeDemo
289042,googlearchive,googlearchive/android-BluetoothLeGatt,Jiaxin-li,Jiaxin-li/BLEController
289089,googlearchive,googlearchive/android-BluetoothLeGatt,rohit-jain,rohit-jain/pallette-app
289202,googlearchive,googlearchive/android-BluetoothLeGatt,lidong1665,lidong1665/Android-ble
289257,googlearchive,googlearchive/android-BluetoothLeGatt,ChenQingZhen,ChenQingZhen/BluetoothProj
289323,googlearchive,googlearchive/android-BluetoothLeGatt,huxiaoqiao,huxiaoqiao/MyBLE_Gatt
289379,googlearchive,googlearchive/android-BluetoothLeGatt,zhsh2980,zhsh2980/BlueToothHeadphone
289549,googlearchive,googlearchive/android-BluetoothLeGatt,xielipeng,xielipeng/LearAndroid
289630,googlearchive,googlearchive/android-BluetoothLeGatt,hjh2881,hjh2881/BandTest
289631,googlearchive,googlearchive/android-BluetoothLeGatt,hjh2881,hjh2881/BluetoothTest
289720,googlearchive,googlearchive/android-BluetoothLeGatt,pranavlathigara,pranavlathigara/BTLEUart
289803,googlearchive,googlearchive/android-BluetoothLeGatt,a404318964,a404318964/IntelligentGateTest
289829,googlearchive,googlearchive/android-BluetoothLeGatt,kevinvane,kevinvane/android_ble_gatt
289904,googlearchive,googlearchive/android-BluetoothLeGatt,beiying,beiying/FitManager
289927,googlearchive,googlearchive/android-BluetoothLeGatt,clawpo,clawpo/haoqingDemo201702
290003,googlearchive,googlearchive/android-BluetoothLeGatt,AlexZhuo,AlexZhuo/Zhaoxuan
290276,googlearchive,googlearchive/android-BluetoothLeGatt,chris118,chris118/android-ble
290282,googlearchive,googlearchive/android-BluetoothLeGatt,chris118,chris118/android-ibeacon
290340,googlearchive,googlearchive/android-BluetoothLeGatt,ljpww72729,ljpww72729/at-blink
290385,googlearchive,googlearchive/android-BluetoothLeGatt,wangchang163,wangchang163/BleDemo
290427,googlearchive,googlearchive/android-BluetoothLeGatt,Arudinne,Arudinne/Wrench-Mask-App
290619,googlearchive,googlearchive/android-BluetoothLeGatt,NCookies,NCookies/nRF_communication
290947,googlearchive,googlearchive/android-BluetoothLeGatt,FENG-MASTER,FENG-MASTER/Temperaturer
290988,googlearchive,googlearchive/android-BluetoothLeGatt,wekingtan1991,wekingtan1991/BleDemo_6.0
291183,googlearchive,googlearchive/android-BluetoothLeGatt,gin-cc,gin-cc/HeartRate
291512,googlearchive,googlearchive/android-BluetoothLeGatt,BetterManLyl,BetterManLyl/MyApplication2
291531,googlearchive,googlearchive/android-BluetoothLeGatt,nishu0f0,nishu0f0/WirelessCameraConnector-Android
291642,googlearchive,googlearchive/android-BluetoothLeGatt,FireworkRaindrop,FireworkRaindrop/FireHelper
291752,googlearchive,googlearchive/android-BluetoothLeGatt,zBlueBird,zBlueBird/DarkBlue
291753,googlearchive,googlearchive/android-BluetoothLeGatt,zBlueBird,zBlueBird/weather
291861,googlearchive,googlearchive/android-BluetoothLeGatt,HYVincent,HYVincent/BluetoothDemo
291874,googlearchive,googlearchive/android-BluetoothLeGatt,HYVincent,HYVincent/GoogleBleApi
291920,googlearchive,googlearchive/android-BluetoothLeGatt,Yasamanro,Yasamanro/TheBreakingHand
292148,googlearchive,googlearchive/android-BluetoothLeGatt,yxuan1996,yxuan1996/BlunoBasic5
292444,googlearchive,googlearchive/android-BluetoothLeGatt,chinajames,chinajames/BluetoothSmart
292460,googlearchive,googlearchive/android-BluetoothLeGatt,ZhaoShuyin,ZhaoShuyin/ZsyAndroid
