,framework,sample,watcher,watcher_repo
107001,googlesamples,googlesamples/easypermissions,liuxin1234,liuxin1234/EasyReadingAndroidMVP
107005,googlesamples,googlesamples/easypermissions,liuxin1234,liuxin1234/NbVolunteerAndroidWork
107094,googlesamples,googlesamples/easypermissions,66668,66668/PermissionStudy
107963,googlesamples,googlesamples/easypermissions,zhuzhushang,zhuzhushang/common_dialog
108073,googlesamples,googlesamples/easypermissions,gooderman,gooderman/common-as
110075,googlesamples,googlesamples/easypermissions,RahulJanagouda,RahulJanagouda/GeoAlert
112394,googlesamples,googlesamples/easypermissions,loongX,loongX/AndroidDemo
113590,googlesamples,googlesamples/easypermissions,jinhuizxc,jinhuizxc/EasyPermissions
113591,googlesamples,googlesamples/easypermissions,jinhuizxc,jinhuizxc/EasyPermissionTest
113940,googlesamples,googlesamples/easypermissions,Demo-H,Demo-H/Android
113942,googlesamples,googlesamples/easypermissions,Demo-H,Demo-H/Manager
113945,googlesamples,googlesamples/easypermissions,Demo-H,Demo-H/Tup
114059,googlesamples,googlesamples/easypermissions,Kuloud,Kuloud/Permission
115334,googlesamples,googlesamples/easypermissions,watayouxiang,watayouxiang/Permission
119218,googlesamples,googlesamples/easypermissions,dabingZhang,dabingZhang/Scan
119930,googlesamples,googlesamples/easypermissions,xdjm,xdjm/AS2Aide
120060,googlesamples,googlesamples/easypermissions,blezede,blezede/EasyPermissions
121804,googlesamples,googlesamples/easypermissions,zyy123392,zyy123392/anjian_Andriod
122099,googlesamples,googlesamples/easypermissions,JamesGZM,JamesGZM/easypermissions
122160,googlesamples,googlesamples/easypermissions,13018585117,13018585117/HXYPay
122717,googlesamples,googlesamples/easypermissions,flayone,flayone/MyPersonalDemo
124097,googlesamples,googlesamples/easypermissions,jaychou2012,jaychou2012/PolicyLib
140302,googlesamples,googlesamples/androidtv-sample-inputs,Fleker,Fleker/ChannelSurfer
140303,googlesamples,googlesamples/androidtv-sample-inputs,Fleker,Fleker/CumulusTV
140421,googlesamples,googlesamples/androidtv-sample-inputs,prashant31191,prashant31191/AzGallary
140422,googlesamples,googlesamples/androidtv-sample-inputs,prashant31191,prashant31191/AzGallary2
140756,googlesamples,googlesamples/androidtv-sample-inputs,mkjensen,mkjensen/danish-media-license
141094,googlesamples,googlesamples/androidtv-sample-inputs,diegofn,diegofn/ColombiaTV-AndroidTV
141830,googlesamples,googlesamples/androidtv-sample-inputs,h4091,h4091/WliveTV
142152,googlesamples,googlesamples/android-vision,takahirom,takahirom/PlayQRCode
142213,googlesamples,googlesamples/android-vision,DonLiangGit,DonLiangGit/Facetrack
143595,googlesamples,googlesamples/android-vision,Gnzlt,Gnzlt/AndroidVisionQRReader
143639,googlesamples,googlesamples/android-vision,mitola,mitola/Do_you_smile
143722,googlesamples,googlesamples/android-vision,hnaoto,hnaoto/BookTracker-Alpha
143932,googlesamples,googlesamples/android-vision,wax911,wax911/Vision-Barcode-Scanner
144096,googlesamples,googlesamples/android-vision,prathanbomb,prathanbomb/mlkit-vision-quickstart
144190,googlesamples,googlesamples/android-vision,zhorizon,zhorizon/SuperDuo
144201,googlesamples,googlesamples/android-vision,hbaxamoosa,hbaxamoosa/alexandria
144335,googlesamples,googlesamples/android-vision,kuanyingchou,kuanyingchou/udacity-barcode
144359,googlesamples,googlesamples/android-vision,miguelcamposdev,miguelcamposdev/pmdm
144398,googlesamples,googlesamples/android-vision,mananwason,mananwason/Re.Wise
144587,googlesamples,googlesamples/android-vision,IhorKlimov,IhorKlimov/Alexandria_Udacity
144655,googlesamples,googlesamples/android-vision,jbc25,jbc25/boniatillo
144712,googlesamples,googlesamples/android-vision,yatatsu,yatatsu/PrettyQR
144752,googlesamples,googlesamples/android-vision,Hatem-tmi,Hatem-tmi/food-facts
144808,googlesamples,googlesamples/android-vision,pdrogfer,pdrogfer/alexandria
144824,googlesamples,googlesamples/android-vision,pdrogfer,pdrogfer/P3-Udacity
144875,googlesamples,googlesamples/android-vision,ikbenpinda,ikbenpinda/sm7-d4nw2
144973,googlesamples,googlesamples/android-vision,iamshahjahan,iamshahjahan/MyApplication
