framework,repository,forks,stargazers,watchers,openedIssues,closedIssues,commits,openedPullRequests,closedPullRequests,updatedAt,projects,lifetime,lifetime per commit
Spring,spring-guides/gs-messaging-jms,106,52,52,5,21,199,2,17,2020-03-26 02:02:37,0,2573,12.92964824120603
Spring,spring-guides/gs-gradle,365,91,91,5,24,140,4,16,2020-04-17 15:14:37,0,2573,18.37857142857143
Spring,spring-guides/gs-consuming-web-service,117,78,78,0,48,127,0,11,2020-03-27 07:46:22,0,2269,17.866141732283463
Spring,spring-guides/gs-consuming-rest,200,83,83,2,42,220,1,27,2020-04-29 11:13:49,0,2575,11.704545454545455
Spring,spring-guides/gs-client-side-load-balancing,32,29,29,2,10,128,1,7,2020-04-15 07:24:31,0,2381,18.6015625
Spring,spring-guides/gs-centralized-configuration,76,34,34,1,19,224,0,12,2020-05-05 07:24:30,0,2573,11.486607142857142
Spring,spring-guides/gs-authenticating-ldap,98,49,49,2,35,217,0,22,2020-05-04 17:12:54,0,2568,11.834101382488479
Spring,spring-guides/gs-accessing-mongodb-data-rest,83,42,42,0,21,111,0,17,2020-04-02 00:35:47,0,2259,20.35135135135135
Spring,spring-guides/gs-accessing-data-rest,169,97,97,0,31,123,0,17,2020-05-05 14:19:29,0,2262,18.390243902439025
Spring,spring-guides/gs-accessing-data-mysql,143,74,74,1,35,139,0,18,2020-04-24 08:58:58,0,2381,17.1294964028777
Spring,spring-guides/gs-accessing-data-jpa,209,116,116,9,42,215,0,33,2020-04-22 01:16:25,0,2491,11.586046511627908
Spring,spring-guides/getting-started-guides,144,266,266,45,79,113,3,30,2020-05-05 14:16:12,0,2381,21.07079646017699
Spring,spring-guides/gs-accessing-data-gemfire,21,9,9,4,10,204,2,8,2020-01-13 09:14:07,0,2507,12.28921568627451
Spring,spring-guides/gs-validating-form-input,95,63,63,2,29,203,1,20,2020-04-13 19:03:49,0,2556,12.591133004926109
Spring,spring-guides/gs-testing-restdocs,13,4,4,0,7,35,0,7,2020-01-15 22:26:46,0,1148,32.8
Spring,spring-guides/gs-spring-boot-for-azure,11,0,0,3,4,113,3,3,2019-12-23 17:42:31,0,2381,21.07079646017699
Spring,spring-guides/gs-rest-hateoas,70,52,52,1,24,205,0,20,2020-02-27 02:55:00,0,2538,12.38048780487805
Spring,spring-guides/gs-reactive-rest-service,49,41,41,3,15,134,0,10,2020-05-05 12:06:06,0,2381,17.76865671641791
Spring,spring-guides/gs-messaging-redis,67,58,58,1,17,201,0,13,2020-04-26 21:16:11,0,2561,12.74129353233831
Spring,spring-guides/gs-messaging-gcp-pubsub,20,4,4,8,18,126,4,14,2020-04-15 02:51:23,0,2381,18.896825396825395
Spring,spring-guides/gs-managing-transactions,38,17,17,3,11,171,3,9,2019-11-26 19:08:34,0,2490,14.56140350877193
Spring,spring-guides/gs-integration,33,7,7,2,21,185,2,17,2020-02-06 09:26:19,0,2506,13.545945945945945
Spring,spring-guides/gs-handling-form-submission,53,26,26,5,19,165,1,16,2020-04-26 04:04:20,0,2484,15.054545454545455
Spring,spring-guides/gs-gateway,34,39,39,1,6,120,1,3,2020-04-28 14:33:06,0,2381,19.841666666666665
Spring,spring-guides/gs-contract-rest,16,3,3,1,10,134,1,6,2020-04-07 14:25:07,0,2381,17.76865671641791
Spring,spring-guides/gs-circuit-breaker,65,38,38,1,20,128,0,14,2020-05-05 02:05:31,0,2381,18.6015625
Spring,spring-guides/gs-caching-gemfire,23,4,4,2,8,187,2,8,2019-11-26 19:07:54,0,2498,13.358288770053475
Spring,spring-guides/gs-caching,52,36,36,1,14,116,0,14,2020-03-28 21:10:15,0,2381,20.525862068965516
Spring,spring-guides/gs-batch-processing,253,117,117,1,37,220,0,26,2020-04-24 02:54:54,0,2546,11.572727272727272
Spring,spring-guides/gs-async-method,62,62,62,0,22,179,0,15,2020-05-02 16:03:53,0,2484,13.87709497206704
Spring,spring-guides/gs-actuator-service,89,45,45,1,26,214,0,21,2020-01-22 16:45:09,0,2554,11.934579439252337
Spring,spring-guides/gs-accessing-vault,6,3,3,2,7,114,2,6,2019-11-26 19:07:35,0,2381,20.885964912280702
Spring,spring-guides/gs-accessing-neo4j-data-rest,25,7,7,2,19,128,0,15,2020-01-22 20:18:52,0,2259,17.6484375
Spring,spring-guides/gs-accessing-gemfire-data-rest,12,4,4,2,6,111,2,5,2019-11-26 19:07:25,0,2253,20.2972972972973
Spring,spring-guides/gs-accessing-data-neo4j,36,20,20,3,33,219,1,23,2020-02-24 17:14:04,0,2560,11.689497716894977
Spring,spring-guides/gs-accessing-data-mongodb,121,77,77,7,29,203,0,19,2020-04-08 11:40:54,0,2490,12.266009852216749
Spring,spring-guides/tut-spring-boot-oauth2,554,648,648,26,98,101,10,33,2020-05-06 10:57:32,0,1635,16.18811881188119
Spring,spring-guides/quoters,4,5,5,1,3,9,1,3,2019-03-20 22:27:55,0,2086,231.77777777777777
