"framework","repository","forks","diskUsage_KB","stargazers","watchers","issues","commits","pullRequests","updatedAt","projects"
"Android","andrebts/login-basics",142,427,400,30,8,28,5,"2019-06-28T15:02:12Z",0
"Android","tvbarthel/ChaseWhisplyProject",272,14505,495,62,8,873,5,"2019-06-23T04:51:05Z",0
"Android","matthewrkula/AnimatedPathView",59,447,315,13,5,9,0,"2019-06-26T14:14:44Z",0
"Android","yewei02538/HiPermission",208,5493,1046,27,28,23,1,"2019-06-19T01:45:05Z",0
"Android","kaaes/spotify-web-api-android",133,2656,310,27,100,191,77,"2019-06-26T12:36:05Z",0
"Android","jaikydota/Android-ImagesPickers",65,15606,210,5,24,60,0,"2019-06-18T02:02:28Z",0
"Android","AndroidMsky/RandomTextView",41,129,239,7,8,37,0,"2019-06-29T12:02:17Z",0
"Android","yaa110/Piclice",40,1791,176,9,0,17,0,"2019-05-28T11:57:12Z",0
"Android","AlexKorovyansky/android-fb-like-slideout-navigation",174,444,388,52,12,13,3,"2019-04-03T02:36:41Z",0
"Android","linroid/FilterMenu",136,3110,808,24,21,46,3,"2019-06-17T09:31:06Z",0
"Android","flavienlaurent/singleinputform",14,5743,206,9,2,11,1,"2018-12-05T15:27:16Z",0
"Android","cping/LGame",146,903062,371,74,25,756,3,"2019-07-01T06:12:16Z",0
"Android","ww6015132/SilkySignature",38,121,199,8,7,23,2,"2019-06-15T02:21:06Z",0
"Android","iDevicesInc/SweetBlue",49,53405,313,38,232,1755,222,"2019-06-25T19:52:41Z",0
"Android","vikramkakkar/ImageTransition",55,11822,621,16,5,14,1,"2019-06-14T14:09:35Z",0
"Android","mikepenz/ItemAnimators",51,124743,271,7,6,86,4,"2019-07-01T14:21:36Z",0
"Android","andraskindler/quickscroll",158,1869,459,25,9,13,5,"2019-06-12T13:31:14Z",0
"Android","ganyao114/SandHook",101,22485,365,28,13,423,7,"2019-07-01T16:33:22Z",0
"Android","MindorksOpenSource/AndroidTensorFlowMNISTExample",102,16111,434,26,4,29,3,"2019-06-25T11:20:19Z",0
"Android","hitherejoe/AndroidTvBoilerplate",27,5399,179,7,2,16,1,"2019-05-13T01:58:19Z",0
"Android","z56402344/AnimTextView",67,916,416,8,1,10,0,"2019-06-21T02:12:51Z",0
"Android","codekidX/storage-chooser",127,611,608,22,85,258,22,"2019-06-25T11:54:44Z",0
"Android","lukaspili/Reactive-Billing",36,143,249,9,16,43,8,"2019-06-08T10:57:24Z",0
"Android","jiang111/ProgressView",31,425,172,5,0,22,0,"2018-08-26T12:36:49Z",0
"Android","TakuSemba/MultiSnapRecyclerView",255,48606,1814,50,16,99,4,"2019-06-29T17:01:48Z",0
"Android","Slyce-Inc/SlyceMessaging",182,1634,973,41,33,121,23,"2019-06-21T02:11:06Z",0
"Android","mkch/android-wifi-connecter",143,254,244,89,26,33,2,"2019-06-20T05:45:38Z",0
"Android","xiongwei-git/GankApp",65,8925,263,13,6,27,0,"2019-06-14T09:56:23Z",0
"Android","androidthings/sample-tensorflow-imageclassifier",182,32075,594,47,18,53,3,"2019-07-01T04:57:06Z",0
"Android","mdg-iitr/RotatingText",147,4299,1352,23,15,63,8,"2019-06-28T09:30:28Z",0
"Android","dimorinny/show-case-card-view",20,2731,148,3,7,52,3,"2019-04-10T00:43:14Z",0
"Android","litesuits/android-lite-go",52,41,191,13,3,6,0,"2019-05-23T03:17:56Z",0
"Android","medyo/android-about-page",254,937,1743,48,67,260,63,"2019-06-27T18:28:16Z",0
"Android","nicolasjafelle/PagingListView",121,928,387,27,14,45,9,"2019-06-23T03:09:08Z",0
"Android","shangmingchao/PopupList",81,290,256,4,6,43,0,"2019-06-10T07:26:04Z",0
"Android","jpardogo/FlabbyListView",156,5788,754,44,4,42,2,"2019-06-04T14:13:17Z",0
"Android","ankushsachdeva/emojicon",153,4289,286,32,58,11,8,"2019-05-27T11:38:25Z",0
"Android","yangchong211/YCShopDetailLayout",28,3557,239,4,5,19,0,"2019-07-02T00:58:02Z",0
"Android","arturogutierrez/Badges",58,568,171,9,8,30,5,"2019-06-14T04:26:51Z",0
"Android","hnvn/flutter_image_cropper",74,13086,323,11,51,31,7,"2019-06-28T08:43:31Z",0
"Android","SpikeKing/wcl-permission-demo",160,147,344,25,4,13,0,"2019-06-20T13:07:02Z",0
"Android","secure-software-engineering/FlowDroid",82,12634,201,22,133,250,42,"2019-07-01T20:23:04Z",0
"Android","jacobrosenthal/react-native-ble",45,247,163,12,42,124,18,"2019-06-15T15:56:46Z",0
"Android","guozhengXia/OkHttpUtils",95,31892,172,9,1,10,0,"2019-06-28T06:23:38Z",0
"Android","yanzhenjie/NoHttp",875,54486,3649,199,215,209,9,"2019-06-30T03:05:38Z",0
