author,Unnamed: 0,framework,code_sample_events,code_sample_repositories,code_sample_PullRequestEvent,code_sample_ForkEvent,code_sample_IssuesEvent,general_project_events,general_project_repositories,general_project_IssuesEvent,general_project_IssueCommentEvent,general_project_PushEvent,general_project_ForkEvent,general_project_DeleteEvent,general_project_PullRequestEvent,general_project_WatchEvent,general_project_CommitCommentEvent,general_project_CreateEvent,general_project_PullRequestReviewEvent,language_Python,language_JavaScript,language_TypeScript,language_Jupyter Notebook,language_Go,language_Java,language_C++,language_Groovy,language_Shell,language_HTML,code_sample_PushEvent,code_sample_PullRequestReviewEvent,code_sample_IssueCommentEvent,code_sample_CreateEvent,code_sample_PullRequestReviewCommentEvent,code_sample_DeleteEvent,code_sample_MemberEvent,code_sample_ReleaseEvent,general_project_ReleaseEvent,code_sample_WatchEvent,language_C,language_PLpgSQL,language_R,general_project_PublicEvent,language_None,language_HCL,general_project_PullRequestReviewCommentEvent,language_Kotlin,language_Rust,language_Ruby,language_CSS,language_PHP,language_Swift,language_C#,language_Dockerfile,language_OCaml,general_project_GollumEvent,language_PowerShell,language_Vue,general_project_MemberEvent,language_Bicep,language_Scala,language_GCC Machine Description,language_TeX,language_SCSS,language_FreeMarker,language_Nix,language_Emacs Lisp,language_WebAssembly,language_XSLT,language_ActionScript,language_CoffeeScript,language_Objective-C,language_Dart,code_sample_CommitCommentEvent,language_Jinja
jmprieur,4550,Azure,51.0,9.0,8.0,0.0,0.0,208.0,5.0,8.0,56.0,30.0,0.0,12.0,4.0,0.0,0.0,5.0,55.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selvasingh,5717,Azure,9.0,2.0,0.0,1.0,1.0,15.0,5.0,1.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoftopensource,6821,Azure,112.0,16.0,0.0,0.0,0.0,172.0,36.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,12.0,10.0,0.0,0.0,0.0,5.0,0.0,35.0,0.0,109.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jongio,7632,Azure,16.0,7.0,7.0,0.0,0.0,33.0,11.0,6.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KarlErickson,7679,Azure,2.0,1.0,0.0,0.0,0.0,76.0,5.0,2.0,60.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PatrickFarley,7770,Azure,35.0,1.0,16.0,1.0,0.0,11.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brunoborges,7791,Azure,2.0,1.0,0.0,1.0,0.0,147.0,22.0,9.0,23.0,83.0,2.0,3.0,10.0,2.0,0.0,8.0,5.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheOnlyWei,7848,Azure,79.0,5.0,22.0,0.0,0.0,119.0,12.0,6.0,37.0,56.0,1.0,1.0,8.0,0.0,0.0,3.0,6.0,13.0,3.0,34.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,28.0,0.0,6.0,12.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xscript,7895,Azure,9.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JasonFreeberg,7945,Azure,33.0,6.0,9.0,3.0,3.0,267.0,27.0,6.0,25.0,195.0,2.0,0.0,14.0,0.0,0.0,14.0,10.0,17.0,11.0,25.0,0.0,0.0,112.0,0.0,0.0,0.0,117.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
