framework,path,A,M,D,total_actions,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
spring,mukeshupreti2006/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spring,hraffaele/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,pratapsarkar1/gs-spring-boot,6,12,4,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
spring,sergiovlvitorino/gs-spring-boot,0,5,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0
spring,ericjaystevens/gs-spring-boot,6,37,1,44,2,0,0,0,0,0,0,0,0,9,32,0,0,0,1,0,0,0,0,0
spring,saichandmanthena/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spring,vineettrivedi/gs-spring-boot,2,26,1,29,8,0,0,1,0,0,0,0,0,0,18,0,0,0,2,0,1,0,0,0
spring,sjung7674/gs-spring-boot,2,8,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
spring,Melvina-Raj/gs-spring-boot,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,manuelkasiske4idealo/gs-spring-boot,5,9,1,15,4,0,0,0,0,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0
spring,sanbrar/gs-spring-boot,1,27,0,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0
spring,dosborne118/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spring,cybodelic/gs-spring-boot,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,aironprez/gs-spring-boot,2,2,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,basantchoudhary2022/gs-spring-boot,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
spring,jackkoppa/gs-spring-boot,8,17,25,50,27,2,2,2,1,0,2,0,0,1,2,2,0,0,10,4,2,0,0,0
spring,deemwar/gs-spring-boot,2,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
spring,TheKoguryo/gs-spring-boot,1,3,16,20,3,3,3,2,1,0,1,0,0,1,3,1,0,0,3,1,2,0,0,0
spring,heyitstanyado/gs-spring-boot,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
spring,rho6019/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,szaghdoudi/gs-spring-boot,1,7,0,8,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
spring,jacobDinesenWork/gs-spring-boot,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,szaghdoudiStudent/gs-spring-boot,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
spring,bizm/gs-spring-boot,3,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
spring,CaliBitcoins/gs-spring-boot,7,0,0,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
spring,mlennard-utn/gs-spring-boot,2,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,grussoh/gs-spring-boot,5,5,0,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
spring,rajeevsh990/gs-spring-boot,1,2,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
spring,jweihsz/gs-spring-boot,0,2,20,22,5,3,3,1,1,0,2,0,0,1,1,1,0,0,5,1,1,0,0,0
spring,Krishna1609/gs-spring-boot,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
spring,tomturnerdesign/gs-spring-boot,2,10,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
spring,nachofree/gs-spring-boot,1,5,20,26,5,4,3,4,1,0,2,0,0,1,1,1,0,0,5,1,4,0,0,0
spring,garcimouche/gs-spring-boot,0,7,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,ronriley/gs-spring-boot,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,agboolas-basic/gs-spring-boot,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,chris-tn/gs-spring-boot,1,32,0,33,0,0,0,2,0,0,0,0,0,5,0,0,0,0,26,0,2,0,0,0
spring,mgfink/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,sandeepjindal81/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
