framework,path,A,M,D,total_actions,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
android,samizerouta/android-AutofillFramework,3,3,12764,12770,259,7,799,1322,0,0,0,0,25,0,0,0,0,492,9866,0,0,0,5,0
android,packmad/android-AutofillFramework,4,1522,12755,14281,258,9,886,1753,0,0,0,0,33,0,0,0,0,714,10628,2,0,0,4,0
android,polluxx/android-AutofillFramework,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,UVCC/android-AutofillFramework,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,wmh-demos/android-AutofillFramework,2,26,0,28,20,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
android,bourica2017/android-AutofillFramework,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
android,gaoliyao/android-AutofillFramework,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,dlarsonks/android-AutofillFramework,3,16,0,19,3,1,0,11,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0
android,ccstaylightc/android-AutofillFramework,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
android,sandeepgoyalsoftmine/location-samples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,Robert77a691/location-samples,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,mpa19/location-samples,0,4,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,dejandobnikar/location-samples,1,4,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
android,kielack/location-samples,1,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
android,SardarKhan299/location-samples,0,5,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
android,MeghanaBasutkar2/location-samples,40,0,0,40,9,2,1,10,1,0,0,0,0,0,0,0,0,0,17,2,0,0,2,0
android,Szauren/android-play-location,1,5,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
android,SyedAhmedJamil/android-play-location,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
android,Scienticious/android-play-location,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
android,pask23/android-play-location,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
android,jossbar/android-play-location,3,12,0,15,0,1,0,0,0,0,0,0,2,0,0,0,0,0,12,10,0,0,0,0
android,seaforester/android-play-location,4,8,0,12,2,1,0,1,1,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
android,Paucey/android-play-location,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,hjy1210/android-play-location,1,20,0,21,9,1,0,1,1,3,0,0,0,0,0,0,0,0,6,4,0,0,0,0
android,gudun-ku/android-play-location,0,7,0,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0
android,kimberlylo/android-play-location,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
android,ashoksurendran/android-play-location,0,29,0,29,0,0,0,9,0,0,0,0,0,0,0,0,0,0,20,19,0,0,9,0
android,wangwindlong/android-play-location,71,10,0,81,23,1,0,42,0,1,0,0,1,0,0,0,1,0,12,3,0,0,2,0
android,f8full/android-play-location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,ischwartz1/android-play-location,0,12,0,12,3,0,0,3,1,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0
android,vicpark/android-play-location,0,11,0,11,2,1,0,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0
android,jQrgen/android-play-location,29,6,6,41,11,2,1,8,1,0,0,0,0,0,0,0,5,0,15,5,0,0,2,0
android,satoshun-example/android-play-location,0,7,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
android,limpep/android-play-location,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,xdeng9/android-play-location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,maticn/android-play-location,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
android,KlausKrieger/android-play-location,11,55,0,66,35,0,0,14,0,0,0,0,0,0,0,0,0,1,16,7,0,0,3,0
android,TonyTangAndroid/android-play-location,0,11,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
android,namclu/android-play-location,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,abharadwaj28/android-play-location,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
