framework,sample,full_name,archived,created_at,description,forks,language,open_issues,closed_issues,stars,subscribers,updated_at,watchers,commits,downloads,development_time
Android,googlearchive/android-AutofillFramework,pritesh25/AndroidOreoBroadcastReceiver,0.0,2018-11-19 10:23:55,,0.0,Java,0.0,0.0,0.0,1.0,2018-11-21 07:12:59,0.0,3.0,0.0,1.0
Android,googlearchive/android-AutofillFramework,pritesh25/CoordinatorBehaviorExample,0.0,2018-10-23 11:37:57,,0.0,Java,0.0,0.0,0.0,2.0,2018-10-23 11:44:13,0.0,1.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,pritesh25/GUIDs,0.0,2018-12-19 11:27:18,,0.0,Java,0.0,0.0,0.0,1.0,2018-12-19 11:30:29,0.0,1.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,pritesh25/PaletteExample,0.0,2018-10-23 10:58:30,,0.0,Java,0.0,0.0,0.0,1.0,2018-10-23 11:02:29,0.0,1.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,pritesh25/RippleEffect,0.0,2018-10-23 11:31:51,,0.0,Java,0.0,0.0,0.0,1.0,2018-10-23 11:35:52,0.0,1.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,pritesh25/shared-element-transitions,0.0,2019-01-16 05:58:30,,0.0,Java,0.0,0.0,0.0,2.0,2019-01-16 06:03:06,0.0,1.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,pritesh25/SSFood,0.0,2019-08-26 05:27:50,,0.0,Java,0.0,0.0,0.0,1.0,2020-05-31 09:50:18,0.0,2.0,0.0,279.0
Android,googlearchive/android-AutofillFramework,yufeilong92/ActivityUiDialog_baiduTT,0.0,2018-03-05 02:45:51,,0.0,Java,0.0,0.0,0.0,1.0,2018-03-05 03:00:09,0.0,10.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,yufeilong92/baidudemo,0.0,2018-03-01 10:03:07,,0.0,Java,0.0,0.0,0.0,1.0,2018-03-02 00:45:56,0.0,3.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,yufeilong92/baiDuYuYin,0.0,2018-03-07 06:25:10,,0.0,Java,0.0,0.0,0.0,1.0,2018-03-07 06:30:11,0.0,1.0,0.0,0.0
Android,googlearchive/android-AutofillFramework,yufeilong92/VerifyViewDemo,0.0,2018-02-06 08:35:04,,0.0,Java,0.0,0.0,0.0,1.0,2018-02-06 08:41:44,0.0,3.0,0.0,0.0
Android,googlearchive/android-SimpleMediaPlayer,HusterYP/Music,0.0,2018-08-02 06:25:22,Source for music,0.0,Java,0.0,0.0,0.0,0.0,2018-08-02 06:50:46,0.0,1.0,0.0,0.0
Android,googlearchive/android-SimpleMediaPlayer,lakshmignarayanan/extreme-video-player,0.0,2018-10-23 06:19:24,,2.0,Java,0.0,3.0,0.0,1.0,2018-10-30 08:55:22,0.0,16.0,0.0,7.0
Android,googlearchive/leanback-showcase,RBWare/android-couch-potato,0.0,2016-04-21 18:51:22,"Changing and updating the traditional ""leanback"" library to be quite a bit more extensive",0.0,Java,0.0,0.0,0.0,0.0,2016-04-21 19:55:30,0.0,6.0,0.0,0.0
Android,googlearchive/leanback-showcase,hossain-khan/android-daily-headlines,0.0,2016-09-19 01:54:09,An app that provides daily headlines from popular news source.,1.0,Java,28.0,203.0,6.0,2.0,2021-05-05 09:34:18,6.0,520.0,0.0,1689.0
Android,googlearchive/leanback-showcase,rafaeltoledo/fragments-sandbox,0.0,2017-08-24 02:33:26,,0.0,Java,0.0,0.0,0.0,2.0,2018-07-04 19:24:05,0.0,23.0,0.0,314.0
